problema,n,inv1_ok,n_sonda,inv2_ok,falso_pos,ps_zero_fora,ps_pos_dentro,resid_med,sonda_med
BBOB_F1,201,201,102,102,0,True,True,0.007191658020019531,0.0911475419998169
BBOB_F17,201,201,102,102,0,True,True,0.0072460174560546875,0.09651637077331543
BBOB_F22,201,201,102,102,0,True,True,0.0073893070220947266,0.0924983024597168
BBOB_F37,201,201,102,102,0,True,True,0.007789134979248047,0.0989995002746582
BBOB_F49,201,201,102,102,0,True,True,0.008891820907592773,0.10081875324249268
BBOB_F5,201,201,102,102,0,True,True,0.007493019104003906,0.09620535373687744
BBOB_F55,201,201,102,102,0,True,True,0.010159492492675781,0.09772062301635742
DTLZ1,141,141,72,72,0,True,True,0.008133411407470703,0.11561977863311768
DTLZ2,241,241,122,122,0,True,True,0.009990692138671875,0.15308642387390137
DTLZ3,241,241,122,122,0,True,True,0.009801864624023438,0.17144453525543213
DTLZ4,241,241,122,122,0,True,True,0.009918212890625,0.16076016426086426
MMF1,41,41,22,22,0,True,True,0.006423234939575195,0.06513512134552002
MMF11_L,41,41,22,22,0,True,True,0.0064389705657958984,0.09250283241271973
MMF4,41,41,22,22,0,True,True,0.006418943405151367,0.07182967662811279
WFG2,441,441,222,222,0,True,True,0.010338783264160156,0.17940139770507812
WFG4,441,441,222,222,0,True,True,0.009937286376953125,0.1772855520248413
WFG5,441,441,222,222,0,True,True,0.010038137435913086,0.16801655292510986
WFG9,441,441,222,222,0,True,True,0.011176109313964844,0.17628109455108643
ZDT1,640,640,321,321,0,True,True,0.011754035949707031,0.25056958198547363
ZDT4,201,201,102,102,0,True,True,0.007302761077880859,0.09552955627441406
ZDT6,202,202,102,102,0,True,True,0.007517576217651367,0.09813594818115234
