problema,D,M,n_ger,E1_tot,E1_perm_ok,E1_id_ok,E1_clusters_med,E1_clusters_1,E1_falhas,E3_ideal_bate,E3_nadir_bate,E3_ref_algebra,E3_ref_man_bate,E3_ref_max_espelha,E3_ref_fonte,E4_fe_eq_ntrain_q,E4_inf,E4_q1,E4_ntrain_ok,E4_fitseries_len,E4_fs_nacum_ok,E4_fs_tempo_ok,E4_sol_id_eq_lote,E4_sid_novo,E4_sid_unicos
BBOB_F1,10,2,201,201,153,58,9.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",200,200,200,200,201,201,201,200,200,200
BBOB_F17,10,2,201,201,39,33,10.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",200,200,200,200,201,201,201,200,200,200
BBOB_F22,10,2,201,201,7,1,10.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",200,200,200,200,201,201,201,200,200,200
BBOB_F37,10,2,201,201,19,18,10.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",200,200,200,200,201,201,201,200,200,200
BBOB_F49,10,2,201,201,26,19,10.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",200,200,200,200,201,201,201,200,200,200
BBOB_F5,10,2,201,201,148,72,9.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",200,200,200,200,201,201,201,200,200,200
BBOB_F55,10,2,201,201,169,37,7.0,0,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 16, 18]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",200,200,200,200,201,201,201,200,200,200
DTLZ1,7,3,141,141,89,58,9.0,0,"[1, 2, 5, 7, 8, 9, 13, 16, 18, 19, 21, 22]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",140,140,140,140,141,141,141,140,140,140
DTLZ2,12,3,241,241,57,39,10.0,0,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",240,240,240,240,241,241,241,240,240,240
DTLZ3,12,3,241,241,96,83,10.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",240,240,240,240,241,241,241,240,240,240
DTLZ4,12,3,241,241,185,185,10.0,1,"[2, 3, 4, 5, 6, 7, 10, 11, 12, 22, 23, 25]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",240,240,240,240,241,241,241,240,240,240
MMF1,2,2,41,41,41,23,7.0,0,[],0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",40,40,40,40,41,41,41,40,40,40
MMF11_L,2,2,41,41,41,23,6.0,0,[],0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",40,40,40,40,41,41,41,40,40,40
MMF4,2,2,41,41,40,30,7.0,0,[2],0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",40,40,40,40,41,41,41,40,40,40
WFG2,22,2,441,441,156,145,10.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",440,440,440,440,441,441,441,440,440,440
WFG4,22,2,441,441,231,231,10.0,0,"[1, 4, 5, 6, 8, 10, 11, 12, 13, 15, 17, 18]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",440,440,440,440,441,441,441,440,440,440
WFG5,22,2,441,441,439,439,10.0,0,"[316, 364]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",440,440,440,440,441,441,441,440,440,440
WFG9,22,2,441,441,103,100,10.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",440,440,440,440,441,441,441,440,440,440
ZDT1,30,2,640,640,500,129,6.0,3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",600,639,639,639,640,640,640,639,600,600
ZDT4,10,2,201,201,2,0,9.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",200,200,200,200,201,201,201,200,200,200
ZDT6,10,2,202,202,28,19,10.0,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.0,0.0,0.0,0.0,"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",200,201,201,201,202,202,202,201,200,200
