igd,igd_plus,hv,gd,spacing,n_nd,fe
2.824273284955002,2.8112970162129414,0.0,2.1691776514079564,0.0,1,0
0.3344368809888132,0.33081051287551705,0.27067595719922594,0.18702162091062172,0.0,2,3
0.25565664779871655,0.17399592456545462,0.5296752450545464,0.072680272851995,0.0,2,6
0.25565664779871655,0.17399592456545462,0.5296752450545464,0.072680272851995,0.0,2,9
0.2347382072347554,0.15501023529792302,0.566822740234544,0.09645957330671408,0.09908560269656987,4,13
0.23376695742019507,0.15500582466328292,0.5747445259367306,0.22581812188613,0.14279320858525246,6,16
0.15897539732924681,0.11779195093222931,0.6182973994996295,0.18168306406357093,0.13747980001725868,7,19
0.1566466165070605,0.11540791714692065,0.6349349464916801,0.1491175290193325,0.18071033778685422,7,22
0.11886346901785252,0.08361201350717011,0.7098221048396426,0.09934132889977745,0.18151705136590177,7,25
0.11848203136208499,0.08338536357117841,0.7102259367236912,0.08763007084854821,0.1972521448244445,8,28
0.11523928998680084,0.07966234673657657,0.7206009917978152,0.0964186122620626,0.10963991106761077,10,32
0.11474258671314337,0.07936985062145882,0.7215830457199097,0.08775621132555454,0.11397128567542668,11,35
0.11474258671314337,0.07936985062145882,0.7215830457199097,0.08775621132555454,0.11397128567542668,11,38
0.11474258671314337,0.07936985062145882,0.7215830457199097,0.08775621132555454,0.11397128567542668,11,41
0.11454120410622554,0.07757388042351972,0.7247530926037414,0.08318793857124518,0.11488614056609618,11,44
0.11186115438930008,0.07457205980437336,0.7313105389499158,0.10411965240335597,0.08166049601155187,12,47
0.11186115438930008,0.07457205980437336,0.7313105389499158,0.10411965240335597,0.08166049601155187,12,51
0.09951723293057894,0.06343362509826872,0.7549001713379427,0.09638364415401848,0.07838544083925157,13,54
0.09951723293057894,0.06343362509826872,0.7549001713379427,0.09638364415401848,0.07838544083925157,13,57
0.08985098881044884,0.05550304704871828,0.7707364859978982,0.08957742506134073,0.07551392718998752,14,60
