celula,igd,igd_plus,hv,gd,spacing,n_nd,n
b1_T11smoke,0.08985098881044884,0.05550304704871828,0.7707364859978982,0.08957742506134073,0.07551392718998752,14,61
b1_R42,0.09951723293057894,0.06343362509826872,0.7549001713379427,0.09638364415401848,0.07838544083925157,13,61
b3_T11smoke,0.057455720788401735,0.046639448605926274,0.7707865800202137,0.07163333826741564,0.08251339867665856,16,61
b3_R42,0.05546167727101224,0.04504068083806485,0.7757923817719427,0.06798840008149913,0.080335050133562,17,61
