g,maxdX,wape,cob,corr,sig
1,0.0,0.3694681310358759,0.5835,0.4172666482484173,0.040356406942009926
2,0.0,0.0669445119993745,0.5095,0.9567287118999533,0.0032551998738199472
4,0.0,0.66540706504578,0.4695,0.17744870465232213,0.053375884890556335
6,0.0,0.06923683078772977,0.873,0.9750666262416038,0.02250841911882162
8,0.0,0.4913387702519464,0.675,0.24471215450503134,0.07979840785264969
10,0.0,0.34600340307189514,0.885,0.3966665144464598,0.12529383599758148
12,0.0,0.07781757988365381,0.948,0.9797809114477976,0.05716261453926563
14,0.0,0.17732400248839356,0.7755,0.8602850681407069,0.041006920859217644
16,0.0,0.5869651410630953,0.8475,0.180192179090949,0.17218025773763657
18,0.0,0.09511021716413469,0.914,0.9659733151929132,0.07007822766900063
20,0.0,0.24151650914863515,0.9315,0.7126617570467846,0.11475776135921478
22,0.0,0.21198130426555795,0.9075,0.8035701897212991,0.10263973101973534
24,0.0,0.6804113203510523,0.8575,0.19884883943663942,0.19254858791828156
26,0.0,0.35478973791203094,0.8875,0.38120729801506537,0.13573895394802094
28,0.0,0.2696269960063993,0.885,0.6581891082648007,0.11685492470860481
30,0.0,0.3002522820275548,0.8325,0.6743330312424125,0.1537976861000061
32,0.0,0.3915911073047498,0.7895,0.3030418532239544,0.10573569685220718
34,0.0,0.28041221470081057,0.7725,0.6424033794547499,0.09754487499594688
36,0.0,0.285238867805068,0.881,0.5847784067071102,0.1037462092936039
38,0.0,0.3375835289163136,0.689,0.5790537494679525,0.0943753756582737
40,0.0,0.469674843033717,0.846,0.27501458331899886,0.1671137437224388
42,0.0,0.5049080098861681,0.547,0.3087259897556285,0.10767093300819397
44,0.0,0.4818988921102525,0.547,0.35283787847749126,0.09751525148749352
46,0.0,0.47290089374040545,0.549,0.32931844563732626,0.08960310369729996
48,0.0,0.5537714457877129,0.469,0.2819147343059395,0.09445248916745186
