config,exp,problema,q,t_total,t_fit,t_busca,t_aval,t_sonda,cobertura,frac_aval
b1,main,BBOB_F1,1,327.114108,31.60072599351406,244.00033485889435,0.14133400000000007,11.744768999999993,0.878858957230938,0.00043206329700704954
b1,main,BBOB_F17,1,322.339422,28.423938043415546,241.71564722061157,0.20328899999999986,11.916405000000003,0.8756585760212323,0.0006306675079910016
b1,main,BBOB_F22,1,429.771871,39.16125491261482,318.35945069789886,0.17987999999999996,15.125282999999992,0.8674971392218308,0.0004185476345426059
b1,main,BBOB_F37,1,872.31913,78.35526002198458,609.6804358959198,0.19490599999999997,29.27794899999997,0.8225298818310958,0.00022343428373512795
b1,main,BBOB_F49,1,836.982062,74.50164101272821,582.3419395685196,0.6543320000000002,28.343361999999978,0.8194217125064834,0.0007817754163529495
b1,main,BBOB_F5,1,331.996878,31.615398950874805,247.68837082386017,0.15189100000000008,11.441140000000006,0.8762034225356028,0.0004575073142705881
b1,main,BBOB_F55,1,307.248087,29.343657054007053,228.66207265853882,1.0966930000000013,10.810439999999998,0.8784850878910301,0.0035694054622380815
b1,main,DTLZ1,1,186.891935,5.105785992927849,151.77104222774506,0.10394199999999999,5.052801999999999,0.8669907142899071,0.0005561609707770428
b1,main,DTLZ2,1,433.853162,55.86383707821369,308.4691447019577,0.17278900000000016,16.574157000000003,0.8783615314071894,0.000398266084320944
b1,main,DTLZ3,1,420.18939,40.95345389097929,309.38893312215805,0.174604,17.419320999999997,0.8756439852351754,0.0004155364322740277
b1,main,DTLZ7,1,1955.498847,762.7035710811615,960.8030017614365,0.28761499999999995,70.43137099999998,0.9175283133483728,0.000147080117403925
b1,main,MMF1,1,51.509144,0.4589499968569726,42.237389981746674,0.032261000000000005,1.3824800000000002,0.8563737921679235,0.0006263159799355238
b1,main,MMF11_L,1,42.792252,0.3578259979840368,34.48593091964722,0.035123000000000015,1.1907590000000001,0.8429011615848414,0.000820779425209966
b1,main,MMF16_20,1,1457.455979,415.88522148132324,846.4310085773468,0.2864610000000001,60.73731900000001,0.9079794032384082,0.00019654864649603257
b1,main,MMF4,1,42.070537,0.34535400103777647,33.91265392303467,0.032725000000000004,1.1376870000000001,0.8421195081030803,0.00077786028735502
b1,main,WFG1,1,3939.083494,1303.8977769613266,2101.4453134536743,0.7467189999999996,148.36613599999993,0.9023560812633542,0.0001895666850264534
b1,main,WFG2,1,1922.52319,768.0337551832199,930.4310431480408,0.500703,69.65769699999998,0.9199489543381063,0.00026044055156494624
b1,main,WFG4,1,1967.944945,791.2145451307297,946.6961122751236,0.3785429999999998,71.16601800000005,0.9194643493473612,0.00019235446650160215
b1,main,WFG5,1,1963.561048,776.4806846380234,959.0936118364334,0.37131499999999995,72.20955099999998,0.9208550782346019,0.00018910285492687159
b1,main,WFG9,1,1977.845326,768.7649955749512,976.3134995698929,1.3922109999999988,72.69970900000001,0.9197738525003568,0.0007039028692984857
b1,main,ZDT1,1,2791.3067629583334,1842.8821724653244,734.4986429214478,0.2229772083333332,79.60671204166673,0.9519593259683716,7.988273137597154e-05
b1,main,ZDT3,1,2731.5156188333335,1792.2062805891037,730.976310968399,0.21288837500000002,79.65744904166672,0.9529701792757708,7.793782086844792e-05
b1,main,ZDT4,1,317.575601,25.154019962996244,243.26062738895416,0.13954000000000008,11.203903,0.8809180852402777,0.0004393914380091186
b1,main,ZDT6,1,302.165333,23.975551836192608,229.09862685203552,0.150473,10.9756,0.8743565949977067,0.0004979823413429098
b3,main,BBOB_F1,1,74.965717,9.595275029540062,28.695347845554352,0.09238099999999996,3.831246,0.563114068195925,0.0012323099637665037
b3,main,BBOB_F17,1,67.222492,8.370558962225914,26.72062200307846,0.14604500000000004,3.6807650000000005,0.5789429967175923,0.0021725615289596824
b3,main,BBOB_F22,1,65.190847,8.161130994558334,25.64371508359909,0.148057,3.7532609999999997,0.5783965972731943,0.0022711317127080736
b3,main,BBOB_F37,1,63.247361,8.067782029509544,24.836442828178406,0.1362320000000001,3.694488,0.5808138755020616,0.002153955482822439
b3,main,BBOB_F49,1,70.268994,8.253692984580994,28.092341005802155,0.5951120000000002,4.005944,0.5827191718495806,0.00846905535605078
b3,main,BBOB_F5,1,76.06081,9.291537031531334,30.481071949005127,0.10545800000000011,3.9025890000000008,0.5756007065995807,0.0013864958840170136
b3,main,BBOB_F55,1,66.752369,8.454087033867836,25.48101896047592,1.0003959999999998,3.936659,0.5823338044278812,0.014986674105903265
b3,main,DTLZ1,1,40.325968,3.623279981315136,16.97504410147667,0.06926100000000007,2.7554120000000006,0.5808415332470582,0.0017175285166124237
b3,main,DTLZ2,1,105.963153,24.53155180811882,44.62605506181717,0.11244200000000003,7.259154999999999,0.7222246762507716,0.0010611424520370776
b3,main,DTLZ3,1,93.574671,23.10750901699066,38.0566428899765,0.12386099999999993,7.058255999999999,0.7303928314849983,0.0013236594761845322
b3,main,DTLZ4,1,87.664221,23.40247482061386,32.93544399738312,0.127196,8.341229999999998,0.7392564957372629,0.001450945420481179
b3,main,DTLZ7,1,794.436295,499.85623121261597,182.6262937784195,0.21331800000000015,53.910867,0.92720676865731,0.00026851492226950705
b3,main,MMF1,1,15.503765,0.271857007406652,4.388401925563812,0.023917,0.49454599999999993,0.3340299554960014,0.001542657541571354
