config,alg,exp,problema,semente,regime,status,q,tier,tem_bloco_timing,t_total,t_fit,t_busca,t_aval,t_sonda,t_desp,aval_ausente,aval_none,aval_zero_estrito,arquivo
b1,b1,main,BBOB_F1,42,online,ok,1,,True,327.114108,31.60072599351406,244.00033485889435,0.14133400000000007,11.744768999999993,,False,False,False,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F1/42/exp_main_b1_BBOB_F1_42.manifest.json
b1,b1,main,BBOB_F17,42,online,ok,1,,True,322.339422,28.423938043415546,241.71564722061157,0.20328899999999986,11.916405000000003,,False,False,False,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F17/42/exp_main_b1_BBOB_F17_42.manifest.json
b1,b1,main,BBOB_F22,42,online,ok,1,,True,429.771871,39.16125491261482,318.35945069789886,0.17987999999999996,15.125282999999992,,False,False,False,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F22/42/exp_main_b1_BBOB_F22_42.manifest.json
b1,b1,main,BBOB_F37,42,online,ok,1,,True,872.31913,78.35526002198458,609.6804358959198,0.19490599999999997,29.27794899999997,,False,False,False,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F37/42/exp_main_b1_BBOB_F37_42.manifest.json
b1,b1,main,BBOB_F49,42,online,ok,1,,True,836.982062,74.50164101272821,582.3419395685196,0.6543320000000002,28.343361999999978,,False,False,False,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F49/42/exp_main_b1_BBOB_F49_42.manifest.json
b1,b1,main,BBOB_F5,42,online,ok,1,,True,331.996878,31.615398950874805,247.68837082386017,0.15189100000000008,11.441140000000006,,False,False,False,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F5/42/exp_main_b1_BBOB_F5_42.manifest.json
b1,b1,main,BBOB_F55,42,online,ok,1,,True,307.248087,29.343657054007053,228.66207265853882,1.0966930000000013,10.810439999999998,,False,False,False,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/BBOB_F55/42/exp_main_b1_BBOB_F55_42.manifest.json
b1,b1,main,DTLZ1,42,online,ok,1,,True,186.891935,5.105785992927849,151.77104222774506,0.10394199999999999,5.052801999999999,,False,False,False,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/DTLZ1/42/exp_main_b1_DTLZ1_42.manifest.json
b1,b1,main,DTLZ2,42,online,ok,1,,True,433.853162,55.86383707821369,308.4691447019577,0.17278900000000016,16.574157000000003,,False,False,False,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/DTLZ2/42/exp_main_b1_DTLZ2_42.manifest.json
b1,b1,main,DTLZ3,42,online,ok,1,,True,420.18939,40.95345389097929,309.38893312215805,0.174604,17.419320999999997,,False,False,False,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/b1/DTLZ3/42/exp_main_b1_DTLZ3_42.manifest.json
