problema,D,n,n_init,wall_vm,busca_vm,aval_gravado,busca_mac,fator_vm_mac,aval_mac_med,aval_mac_min,aval_mac_max,us_por_aval,aval_vm_est,aval_vm_init,frac_wall,proxy_relatorio,proxy_sobre_medido
DTLZ2,12,2131,131,3.2655,0.1604,0.0,0.115,1.395,0.0468,0.0323,0.0569,22.0,0.0652,0.004,0.02,0.1403,2.15
MMF16_20,20,2219,219,3.3378,0.2064,0.0,0.1707,1.209,0.0592,0.0459,0.0644,26.7,0.0716,0.0071,0.0214,0.1517,2.12
WFG9,22,2241,241,6.8203,0.2439,0.0,0.1826,1.336,2.9179,2.6819,3.0855,1302.0,3.8979,0.4192,0.5715,3.1655,0.81
ZDT1,30,2329,329,3.3356,0.268,0.0,0.2508,1.069,0.0346,0.0151,0.0422,14.8,0.0369,0.0052,0.0111,0.118,3.19
ZDT4,10,2109,109,3.1561,0.1415,0.0,0.1024,1.382,0.0275,0.024,0.0381,13.0,0.038,0.002,0.012,0.1135,2.98
