problema,igd_plus,hv,melhor_piso,piso_igd,razao,rank,n_algs
ZDT6,0.0410921672654511,0.3138915763374528,nsga2,6.445675963031797,0.006375152505513623,2,16
BBOB_F5,0.0101328247170713,0.888044631520423,smsemoa,0.1192824482234564,0.08494816184598332,3,17
DTLZ7,0.1095217734963239,0.3653681191242002,nsga3,1.1247085866087754,0.09737791175450547,6,15
BBOB_F55,0.0677554515860199,1.028872388278575,nsga2,0.6061479210199184,0.11178039095145788,3,16
BBOB_F1,0.0276420881626532,0.9879527073255636,nsga2,0.1359531134257377,0.20332074393980146,4,17
ZDT1,0.0947769077463407,0.7054581983260835,nsga2,0.4440783896843883,0.213423823243684,7,16
ZDT3,0.1048392927317127,0.572921202867641,nsga2,0.3442625865872861,0.30453292578492613,4,15
WFG5,0.0301642307265236,0.3815529490018006,nsga2,0.0930752077028518,0.3240844846978448,1,16
MMF11_L,0.0119608514985232,1.0229981396761136,nsga3,0.0231565498976292,0.5165213104456363,1,17
MMF16_20,0.0189070252046334,0.7579661212671299,smsemoa,0.0316158421272363,0.5980237732888173,1,15
MMF1,0.0414094699653158,0.7855067032950505,nsga3,0.0570132770384747,0.7263127488246489,5,17
BBOB_F22,0.1220040990666506,0.8718748282146399,smsemoa,0.1591300073706684,0.7666944851102858,7,17
DTLZ2,0.1310105205192348,0.4119011750229103,smsemoa,0.1700820491933293,0.7702783517754859,5,16
MMF4,0.0316007876455594,0.4793245896647449,nsga3,0.0377119334276083,0.8379519365195149,10,17
BBOB_F37,0.2445803182962954,0.5604022729016197,smsemoa,0.2539185871646663,0.9632233741820757,10,17
ZDT4,51.4881282256026,0.0,nsga2,43.898268794314845,1.1728965546876122,9,17
WFG9,0.1159684229074495,0.2041296531788673,nsga3,0.0955346891283579,1.2138881066712572,8,16
WFG2,0.1503552511456059,0.544030376426208,nsga2,0.1227556938180429,1.2248332152191084,6,16
WFG1,0.6403787844593407,0.1097199676972016,smsemoa,0.4953917959793528,1.2926713555951395,10,14
DTLZ1,71.50718014512064,0.0,nsga2,45.34570273153767,1.5769339945720549,7,17
DTLZ3,226.4054921046576,0.0,smsemoa,129.76799112603217,1.7446944361246217,7,16
BBOB_F17,0.0374176535155687,1.084195173562256,nsga2,0.0206141256299147,1.8151462830550107,16,17
BBOB_F49,0.4231228710204722,0.5558282513003946,nsga2,0.2070601036537373,2.043478504811591,15,17
WFG4,0.1073144320689292,0.2240410801566997,smsemoa,0.044424346453198,2.4156670978150965,12,16
DTLZ4,0.7670386656928406,0.0,nsga3,0.2823977915542932,2.716163825046668,13,15
