problema,D,M,geracao,n,obj,theta_media,theta_min,theta_max,cond,autoval_min,chol_ok,sigma2,lnL_rec_iso,lnL_log
BBOB_F37,10,2,50,158,1,1.610266305118131,0.0019404213615264124,5.965886280015122,328.24807274145934,0.060429490730995676,1,812987.7731894657,-1026.3393785116598,360.27824933477456
BBOB_F37,10,2,100,208,0,0.5086029385255115,0.2443062881140545,1.3451094786359816,135544.63316826918,0.000716107245394697,1,340391.2660905634,-1043.0130282490084,648.6714121665761
BBOB_F37,10,2,100,208,1,1.2443640553584605,0.253035399564296,3.0265127663877798,3633.4578386378407,0.010921246864084912,1,863777.6334103978,-1306.8957234869936,518.6051217699603
BBOB_F37,10,2,150,258,0,0.6178218313154501,0.23177531183306863,1.1871183864738333,122774.0143848974,0.0008512189579343127,1,221019.92220774532,-1258.248239600509,847.0025985599164
BBOB_F37,10,2,150,258,1,1.1436297099425379,0.18535448764019244,3.8039896296779983,8951.488639075498,0.006227475190360256,1,833091.7588484967,-1579.7566369385684,686.4156627807846
BBOB_F37,10,2,200,308,0,0.6445965445670254,0.25695859901733925,1.163367199153593,242585.64106891555,0.0004938499380475856,1,196974.896137709,-1470.9139080159741,1079.1070679808613
BBOB_F37,10,2,200,308,1,1.0436351071866539,0.14580691699147522,2.6136688518657,29989.354076179818,0.002463917852664211,1,841042.4636471694,-1844.0822967008003,859.7981609565986
BBOB_F49,10,2,1,109,0,0.7763347353027259,0.012795168719273383,2.1832324476378586,1044.5235251238673,0.03234511851262355,1,1679047.3632159375,-714.1746372479795,246.60666653173956
BBOB_F49,10,2,1,109,1,899.7962216466603,0.04822880609796788,1000.0,1.0000000000031835,0.9999999999972982,1,57.270646909764814,-220.60445810603306,210.43695653189462
BBOB_F49,10,2,50,158,0,0.9823896855128723,0.021061349128188037,3.4452054672843473,9602.55278419614,0.004153931467866544,1,1013881.2128405188,-989.5610855107496,407.4994153660381
BBOB_F49,10,2,50,158,1,803.3213971126755,0.013222477788402702,1000.0,1.000000000004547,0.999999999997309,1,46.95968195526538,-304.093862823048,320.71846390320667
BBOB_F49,10,2,100,208,0,1.4626193718140783,0.18759194159990228,6.978507742212541,23429.805587367686,0.0016055686148412805,1,548866.378616457,-1257.6157165491695,601.6166386824959
BBOB_F49,10,2,100,208,1,818.4518347997498,8.639284286836215,1000.0,1.0000000020641306,0.9999999989675286,1,40.776065245118225,-385.6419084047067,438.7746549423268
BBOB_F49,10,2,150,258,0,1.4796020147301652,0.12279733240767479,8.622059380470763,118557.39419282286,0.00041562663816757206,1,458728.73988211766,-1510.1606476488805,795.7044628631834
BBOB_F49,10,2,150,258,1,272.0307752050364,0.001,1000.0,1.0942819653219187,0.9552336760354079,1,45.052790819944654,-491.209691138839,532.5398610535709
BBOB_F49,10,2,200,308,0,1.2443241851729332,0.29673862405188506,4.8345882290538436,582813.0469221452,0.00012476877229117934,1,489487.93496494985,-1742.3688434344235,986.4903853828843
BBOB_F49,10,2,200,308,1,999.9215487238229,999.6930713071295,1000.0,1.0000219000336497,0.999989050104131,1,40.77332613503998,-571.0363268469436,649.8973302668215
BBOB_F5,10,2,1,109,0,0.0010000001087851693,0.001,0.0010000003692767422,1162159553851.7188,9.363213477783402e-11,1,74277691.27306458,-141.20120458477686,405.08618211065567
BBOB_F5,10,2,1,109,1,0.18889232184054255,0.06644726210211147,0.5220392978347876,140684.15134797347,0.0005675684605288047,1,1613856.4088764791,-572.2242898985555,289.6174105499069
BBOB_F5,10,2,50,158,0,0.0010000000709906212,0.001,0.0010000003549531053,4013229442893049.0,3.931659237065208e-14,1,51652728.92927241,103.78105813187153,939.2931242821917
BBOB_F5,10,2,50,158,1,4.040477886820884,0.3701503360134054,7.956796794133774,182471.52658495272,0.00015741316868605687,1,107063.00629968224,-823.9487305020759,441.92257780160503
BBOB_F5,10,2,100,208,0,0.0010001234615986305,0.001,0.0010002224350912213,4368911405930525.5,4.755659546135249e-14,1,39479762.568075225,401.9683381202826,1501.5584527182518
BBOB_F5,10,2,100,208,1,3.6986054851969477,1.4061746740977146,9.304232364982735,7953262.432088041,7.540839677571997e-06,1,104638.87533153754,-958.7542397038319,699.1338243716434
BBOB_F5,10,2,150,258,0,0.0010000626264700743,0.001,0.0010002203593867808,4460195932208521.0,5.779008809015183e-14,1,32115326.88876486,685.6163332798797,2051.4704853451167
BBOB_F5,10,2,150,258,1,3.9044748194705514,1.0817125187029908,9.524436691381496,24514189.63152176,3.3973623178815536e-06,1,103948.71837122239,-1126.0994183160717,926.2487018781446
BBOB_F5,10,2,200,308,0,0.0010000741160404885,0.001,0.0010006360520172783,4496496136182141.0,6.843868894498175e-14,1,27508091.407567628,957.0902234669047,2587.7209729461565
BBOB_F5,10,2,200,308,1,5.1590390792748515,1.0461521544986032,17.670955495410794,15768881.529714888,5.566715987795904e-06,1,98328.81146162238,-1372.2693614782256,1109.8468741059219
BBOB_F55,10,2,1,109,0,703.4581456691482,0.00980194907017853,1000.0,1.00000000000273,0.9999999999982071,1,34.30927382601485,-192.6801551902251,180.39358000308252
BBOB_F55,10,2,1,109,1,799.8512355043936,0.001,1000.0,1.00000000000273,0.9999999999991159,1,24.868672025750072,-175.1416828568003,174.91341979667007
BBOB_F55,10,2,50,158,0,92.588100000863,0.001,566.1924843788182,60.4182619898941,0.03899902288605297,1,319.5986778081411,-452.3478233720099,278.6005004754066
BBOB_F55,10,2,50,158,1,15.122819700152851,0.011735389834647936,81.229649365618,1670.0470550328043,0.006440567325212577,1,28.89737473161376,-243.2724074882253,290.98734027285974
BBOB_F55,10,2,100,208,0,13.156153041845746,0.056264213384279865,39.3521066358213,5452.482089506578,0.004313450215334633,1,164.67874246265671,-461.8852104593096,428.2835567825421
BBOB_F55,10,2,100,208,1,74.76632619055175,0.6325161940524201,387.7665495191338,115.98599562975735,0.031612388003879784,1,71.54586011691673,-435.852906334485,410.80007184966775
BBOB_F55,10,2,150,258,0,198.69021014983062,0.012148446290289088,1000.0,23.442781856918653,0.0818237470557706,1,792.5495046559665,-858.8331269958403,336.7042183775952
BBOB_F55,10,2,150,258,1,16.981983452686006,0.07426564673111416,83.11867188220964,4107.5457653064705,0.006239929413828516,1,61.77781641968078,-442.8847367908046,637.4463350442859
BBOB_F55,10,2,200,308,0,197.0580860491414,0.001,999.999999999999,24.49892134638458,0.08117966749227322,1,826.560236625054,-1031.8320033059763,452.9074632676685
BBOB_F55,10,2,200,308,1,25.80013030186716,0.17053657354695873,91.79453834154955,1983.576882140437,0.011018072041794398,1,93.82817072792737,-620.9618026246718,718.0257799293464
DTLZ1,7,3,1,76,0,6.62553566887622,0.04184960226790458,32.58203509880126,3.909806697805993,0.5287004723464247,1,3050.410575176002,-303.39430564955995,141.21499107283006
DTLZ1,7,3,1,76,1,3.5325944280054413,0.03731190900397226,16.009913682222013,22.656727700900735,0.2432188267440947,1,2831.989992769421,-293.07948326100524,151.25708742461376
DTLZ1,7,3,1,76,2,24.035321255250626,0.02026343246299574,162.1598059149104,1.1010492287404183,0.9519055246627908,1,9378.33268056239,-347.5522554604126,146.1051208650697
DTLZ1,7,3,35,110,0,3.2161502318104147,0.05685968455513437,9.907145957037601,95.25796369785363,0.07810539228480234,1,2918.058263030618,-419.3544238385323,219.21163399664715
DTLZ1,7,3,35,110,1,3.892528282812918,0.1571896247924751,12.98632715872353,52.70670117610378,0.10195970784907751,1,2739.5726904604862,-422.19845559947754,224.54025507935003
DTLZ1,7,3,35,110,2,13.107283717158012,0.009585701666397307,84.49247397015884,4.9265742200016005,0.3640592544462584,1,10269.900118160764,-507.4472322966049,206.3598444932322
DTLZ1,7,3,70,145,0,11.132753772303749,0.002025529186718282,40.075861238312214,7.77669231206473,0.3074784130776966,1,3710.6640797034443,-593.9260168454412,275.3822027336096
DTLZ1,7,3,70,145,1,857.1389683518145,0.001000118215717778,1000.0,1.0000000000027376,0.9999999999991158,1,7422.297147202562,-646.1376810695191,211.97466172812642
DTLZ1,7,3,70,145,2,4.727351071314116,0.011680583184558594,15.102944572244946,46.64813083057364,0.11394900952255935,1,7215.224043592862,-628.2939036841566,294.6097168641151
DTLZ1,7,3,105,180,0,14.060729813473845,0.001,59.79031371268382,6.72992351374964,0.33708563918733625,1,3543.141868430819,-733.922898703579,394.12897044328724
DTLZ1,7,3,105,180,1,875.3801055150199,128.03136618106112,1000.0,1.0000000000027303,0.999999999998223,1,7931.366451152171,-808.0722552534531,257.1706540726124
DTLZ1,7,3,105,180,2,14.281075047337378,0.0018752117497769472,89.19374860848183,6.560213318227828,0.34214078635693157,1,9882.329721370666,-826.3027701571089,395.19543503160526
DTLZ1,7,3,140,215,0,55.21693598190074,0.001,320.101245926663,1.5744996669081235,0.7768499742717925,1,3615.3184158734075,-880.6966932104854,482.0495504629573
DTLZ1,7,3,140,215,1,44.555909341447986,0.0017761361992725015,182.94232866764426,1.8494221460747118,0.7018966995805661,1,7744.520165324612,-962.5415811796742,321.7279806798241
DTLZ1,7,3,140,215,2,19.975000306929125,0.001,123.94168982756625,4.316638725373526,0.4187413266077917,1,9692.978027407951,-985.7909319885994,471.9814051539522
DTLZ2,12,3,1,131,0,1.1430818811594812,0.0013941804343191495,8.955203389400822,154.38728733888647,0.12336630410673335,1,0.17119559264307938,150.38613195061095,308.5222459805783
DTLZ2,12,3,1,131,1,1.2364886664418782,0.0012004659795563431,8.428181089595688,115.86133225359933,0.14448681642832967,1,0.15299867900838446,153.12264633492873,321.38586194372465
DTLZ2,12,3,1,131,2,0.29930913073157145,0.059736640407547004,1.3858412722725313,15046.371965076922,0.0049134668443010215,1,0.6023699688149007,194.16565670913116,331.4426769286763
DTLZ2,12,3,60,190,0,0.39366393773271974,0.004211005863427842,1.038102403952668,18199.82144578819,0.004679448952414583,1,0.636558686930104,245.27578936770763,484.4013055119133
DTLZ2,12,3,60,190,1,1.7507020900102324,0.0018062378502808286,13.117012887584732,62.39303703410607,0.18290867558157076,1,0.23246068299979417,161.4098098907365,479.0000383201049
DTLZ2,12,3,60,190,2,0.17318182970548254,0.009039165807311378,0.8538755153209732,299917.80955430836,0.00043790080400610444,1,3.1059859011012607,252.24760639256345,539.7898197996489
DTLZ2,12,3,120,250,0,0.8652298058761837,0.0035818976458604126,2.934424540504698,2163.8088964107988,0.02138578546575316,1,0.29864971502921217,269.5501791699542,662.3523827807044
DTLZ2,12,3,120,250,1,0.41640196592324275,0.0022556075817359873,1.6355812264480534,35392.86666040107,0.00288259982586771,1,0.6945391144786177,313.74845013077106,635.587403376313
DTLZ2,12,3,120,250,2,0.18969350489682477,0.0015567281435333556,1.1009815422400895,583990.932426642,0.00027808248155221794,1,3.123219606564409,332.5707966645242,743.4049043885245
DTLZ2,12,3,180,310,0,0.661236686647264,0.007032883710333984,2.4502215875206947,45581.67521942431,0.0016606210975663607,1,0.38706219391173563,360.5666565231903,826.2625667525583
DTLZ2,12,3,180,310,1,0.6614018074170557,0.004908362874793917,2.9251405176428014,45532.189049368586,0.0016619362227387009,1,0.34232635951784857,379.54108018840657,791.4856258483371
DTLZ2,12,3,180,310,2,0.1062204331811707,0.001231735956741671,1.1456648688944833,49160550.80760331,4.849647328024542e-06,1,12.474519792305282,437.00106289572886,989.055697529646
DTLZ2,12,3,240,370,0,0.32217716151416853,0.031021699153874885,1.19277492261991,1294053.5353677531,0.00012901271732495198,1,1.1702293061516496,484.93941202899487,1008.3866146429955
DTLZ2,12,3,240,370,1,0.33607747599290305,0.001520475433389541,1.6535274505199313,1090536.5262684012,0.00014842658619355998,1,1.0821369406547323,482.4013143622738,991.0007206121311
DTLZ2,12,3,240,370,2,0.12453736953166146,0.001984014311590251,1.2803235090279736,48261688.19828568,5.529241252517854e-06,1,8.464154683014105,539.4914296348184,1336.4673466801135
DTLZ3,12,3,1,131,0,1.219190908801857,0.0031100804295839677,5.00440730870549,125.8127096688485,0.1379543924324427,1,86774.14805522277,-713.5944012273686,285.1946851885165
DTLZ3,12,3,1,131,1,7.5528921350952025,0.001,77.2306103448956,1.1475880227344262,0.9338470277228232,1,112007.97911936189,-761.5044322585866,278.71227704558464
DTLZ3,12,3,1,131,2,1.317838494090546,0.004634132805843252,7.883597071354854,94.79471872856375,0.16041809891319772,1,109509.25524028958,-733.1034801074243,263.82579074188084
DTLZ3,12,3,60,190,0,9.229943857563457,0.001,103.24734992082051,1.34366891676914,0.8675785195118599,1,113897.75097493178,-1106.0596052133717,445.5888225000241
DTLZ3,12,3,60,190,1,2.469502340937279,0.006343025853451138,19.07988224829401,17.15097451525142,0.2745786503511953,1,78779.31357894288,-1061.988266296446,386.911393064465
DTLZ3,12,3,60,190,2,2.5120840320203333,0.005631019958459077,18.13008395876171,16.13675686583748,0.28118848749339087,1,103244.60076163305,-1088.1343826014017,372.4619026053496
DTLZ3,12,3,120,250,0,2.667139567102746,0.0010922393946257796,18.4154575759005,14.43915865466818,0.299901596322318,1,78832.7173051958,-1399.6716304041825,586.0198004170936
DTLZ3,12,3,120,250,1,7.568547098442821,0.001000023026116026,79.54313176175354,1.6108361543945893,0.7945782501024831,1,117449.96482741796,-1459.085650986461,523.7917723581448
DTLZ3,12,3,120,250,2,3.335025045125391,0.10260318261201863,28.315873835817406,6.78663315706427,0.3992608425538714,1,107529.7810469349,-1443.583058116369,489.9903733967902
DTLZ3,12,3,180,310,0,2.556366675045193,0.0044888698951916295,15.827324106227934,19.009698219073318,0.2669650557961025,1,79361.13873430867,-1734.3399124290154,740.4562213265509
DTLZ3,12,3,180,310,1,4.243094974371859,0.002882631759693349,37.07525519775064,3.9767392417866616,0.5076518137771577,1,96106.63037025381,-1775.7819211325302,670.6812070127103
DTLZ3,12,3,180,310,2,2.6971660785072085,0.05713144733419301,15.895278341044179,15.580461195471415,0.28915092090014055,1,90331.98906001537,-1756.5367620685138,605.5439930125499
DTLZ3,12,3,240,370,0,4.648080129627645,0.005819873666088555,41.01280183959221,3.3378786089776487,0.5552815622110201,1,108144.89515655514,-2142.3347200266358,906.5847587581828
DTLZ3,12,3,240,370,1,13.557373674830329,0.0010110920780298802,153.74955456862202,1.109330278339415,0.9481682559973661,1,114601.55236301137,-2155.097504053213,818.1021692100869
DTLZ3,12,3,240,370,2,2.354660880681464,0.01586694968100922,9.132633468512807,26.75596067792969,0.23470683763429534,1,77721.57526939233,-2062.3921657894466,728.845083369373
DTLZ4,12,3,1,131,0,2.2188180479136266,0.001,7.161554257672236,15.359941832480704,0.35246102039234994,1,0.08017430057333941,172.56555983031646,286.2837930949848
DTLZ4,12,3,1,131,1,750.8522749246727,0.0010003019120079747,1000.0,1.0000000000027294,0.9999999999982117,1,0.032232011127844025,224.97908467325882,295.22274614172477
DTLZ4,12,3,1,131,2,42.92480135624126,0.001,515.075580528661,1.0000001050649465,0.9999999474676207,1,0.04291287447875799,206.23221228541792,495.0231018784672
DTLZ4,12,3,60,190,0,84.71829073364965,0.001183629659622496,845.0644981230481,1.5779765765829858,0.7768885278475924,1,0.4837116432117012,69.02109008627464,317.0789156787508
DTLZ4,12,3,60,190,1,111.48493428635409,0.0017692332055808469,822.6998983237431,1.3221881035058611,0.8614106998963745,1,0.1766340402177046,164.70886808385993,427.3120830440471
DTLZ4,12,3,60,190,2,83.33631970944276,0.001,1000.0,1.596969841749585,0.7713268051358938,1,0.25110596275108354,131.30577311591534,521.0311128431625
DTLZ4,12,3,120,250,0,334.14291399420597,0.001,1000.0,1.0053540358424604,0.9973301293760427,1,0.6582522249383138,52.270891130458644,388.2586444432379
DTLZ4,12,3,120,250,1,84.3062193757727,0.001,1000.0,1.5848935166293923,0.7748630817375268,1,0.3537217158978204,129.93188054263214,560.1768631309574
DTLZ4,12,3,120,250,2,82.2655500862622,0.001,560.5943113776692,1.6138562180316742,0.766469302883975,1,0.28811634534427655,155.5772339177612,469.41776677658316
DTLZ4,12,3,180,310,0,501.44475737666386,0.001,1000.0,1.0002748214209949,0.9998626081691372,1,0.7251772603806712,49.807569334438796,445.29339598695475
DTLZ4,12,3,180,310,1,167.72190328939124,0.001,1000.0,1.1076693800345834,0.9489176301525442,1,0.3533544883884585,161.24525538336607,591.6391733464824
DTLZ4,12,3,180,310,2,74.48984611577387,0.001,893.4775049399742,1.7430711786952806,0.7313966995900474,1,0.2860834212933846,194.01924288720804,965.8450052424472
DTLZ4,12,3,240,370,0,187.0828642760799,0.001,1000.0,3.5573240309364556,0.43885402627141584,1,0.8928417766893253,21.169102241524296,532.3226336619838
DTLZ4,12,3,240,370,1,184.0922293892866,0.001,1000.0,3.6120437485621446,0.43364723082331186,1,0.43769024976007775,153.06028394740252,637.8536134119137
DTLZ4,12,3,240,370,2,83.35865150951993,0.001,1000.0,7.8116813413717665,0.2269714396741331,1,0.33235302472190653,204.3853515682654,1242.0019603299397
DTLZ7,22,3,1,241,0,0.07832803497498665,0.001,1.7022167694497086,91297.05832057253,0.001986947328535443,1,0.03853143615004828,804.6964446701131,1789.1627631114884
DTLZ7,22,3,1,241,1,0.07310887851840622,0.001,1.5873953274049393,111090.67008888647,0.001663798564164828,1,0.03996999485746479,815.5413440202876,1788.0270169067135
DTLZ7,22,3,1,241,2,0.15493134035641434,0.001846301598873566,1.9178281739082514,12643.640192496236,0.010933506739805561,1,5.449750058552427,62.98387736460069,798.6068580567348
DTLZ7,22,3,110,350,0,0.07531064303903086,0.001,1.6358341468586812,7108998.175464223,3.539338966949492e-05,1,0.04388880355568194,1194.792431248562,2675.0619547009073
DTLZ7,22,3,110,350,1,0.11365135520767972,0.001,2.474775517817714,2259519.25265558,9.489808491325447e-05,1,0.03576340446531626,1090.566406574267,2607.573556538507
DTLZ7,22,3,110,350,2,0.2290814301627819,0.004156501817169981,3.1116708842830425,303078.62490105804,0.0004490943950681464,1,3.768805141913918,59.668802252353174,1379.6090014549222
DTLZ7,22,3,220,460,0,0.07375879258181336,0.001,1.6016164278299223,9798962.854212161,3.205633111978149e-05,1,0.04313318593957816,1580.5563163937477,3582.971081957
DTLZ7,22,3,220,460,1,0.045535496383360956,0.001,0.9800294475791084,39450002.17764568,9.177457683412725e-06,1,0.06311274466054762,1731.651065865543,3560.4420623864994
DTLZ7,22,3,220,460,2,0.17663198501108,0.001,1.9955453887000005,764033.8888513974,0.0002539731378172145,1,7.878493049144691,-9.786993057640473,2289.2219319742608
DTLZ7,22,3,330,570,0,0.0616594001584273,0.001,1.3355068034837698,20671369.007072024,1.9298355937752194e-05,1,0.04781093516013152,2035.4327763700653,4551.875688143191
DTLZ7,22,3,330,570,1,0.05773293229949516,0.001,1.2491147129975242,25129301.40927527,1.62265138265705e-05,1,0.0533998525309584,2045.7582597096289,4538.119631002763
DTLZ7,22,3,330,570,2,0.18930919887162814,0.001,2.169745012889335,704070.2231784844,0.00029321721867520427,1,6.501002849474087,-11.835891259081563,2978.8536890358114
DTLZ7,22,3,440,680,0,0.06186406452643133,0.001,1.3400094195424304,24332794.948130473,1.8935918338104567e-05,1,0.05118125677568641,2395.7440374774924,5549.8255306359
DTLZ7,22,3,440,680,1,0.06023529043826839,0.001,1.3041763896152319,26375028.204020068,1.764259592630248e-05,1,0.05136568683420906,2415.2444699910343,5571.383484235207
DTLZ7,22,3,440,680,2,0.20112005575172623,0.001,2.25204214936733,639991.7223974704,0.0003333212902291927,1,5.521645151838571,-15.946730186405944,3696.6511315627567
MMF1,2,2,1,21,0,718.3712588816032,624.9259366051979,811.8165811580086,1.0000660047058094,0.9999669987363357,1,0.0850098160534931,25.88237973552911,25.672514777000764
MMF1,2,2,1,21,1,1000.0,1000.0,1000.0,1.0000011551943886,0.9999994224030324,1,3.895293048201463,-14.277573591903831,27.836271441561045
MMF1,2,2,10,30,0,140.53391674960054,1.3550598039719857,279.7127736952291,40.836741884125765,0.048319516239853026,1,0.07413612255661355,41.07750079255479,62.23184432558405
MMF1,2,2,10,30,1,507.31430201929345,14.628604038586856,1000.0,11.017912719429777,0.16641825834723523,1,3.55503173983422,-18.31584887532826,44.53087269322088
MMF1,2,2,20,40,0,1.0,1.0,1.0,106895208271394.73,2.7990725601806903e-13,1,82946881.05216417,-116.5158048711445,-116.58678351443285
MMF1,2,2,20,40,1,0.007945049715178726,0.0079425251960353,0.007947574234322153,7093297143839479.0,5.624034789534724e-15,1,118423233347356.83,-130.6797329602433,-49.19473968953184
MMF1,2,2,30,50,0,1.000000000698732,0.9999626180298479,1.000037383367616,2058796480829027.2,1.7249527512203084e-14,1,671463090.5260758,-167.39480889324352,-167.34861376390592
MMF1,2,2,30,50,1,1.0,1.0,1.0,1957239660781041.2,1.814456719678957e-14,1,3329549093950.0957,-380.1163327181744,-278.43340773122344
MMF1,2,2,40,60,0,1.000000000698732,0.9999626180298479,1.000037383367616,2586617396268468.5,1.5911573683768505e-14,1,873752118.0609132,-165.0903170585769,-165.04652722950476
MMF1,2,2,40,60,1,1.0,1.0,1.0,2685397445968834.5,1.532628004964847e-14,1,4793495192551.138,-423.3844910436276,-300.8871197696364
MMF11_L,2,2,1,21,0,0.001,0.001,0.001,5542016884222245.0,3.787950985767101e-15,1,71.41186912119137,211.12553867596438,210.2524964950279
MMF11_L,2,2,1,21,1,331.2813674234456,7.45158766966075,655.1111471772305,1.056249592328915,0.9726513045491407,1,10.20043058235225,-24.38511432318469,26.977882008764073
MMF11_L,2,2,10,30,0,0.001,0.001,0.001,7230555694823440.0,4.147395581722181e-15,1,49.99864432517255,338.4214472505738,338.14775232415576
MMF11_L,2,2,10,30,1,17.610590354753846,3.085659317948126,32.135521391559564,467.9947184435248,0.009190011150417836,1,40.48824426625584,-40.75610722662897,43.696761601901
MMF11_L,2,2,20,40,0,0.0010003178484274354,0.001,0.0010006356968548708,7810191979921990.0,5.119186466128972e-15,1,37.49556848656094,479.42769131770353,479.44894416592444
MMF11_L,2,2,20,40,1,1.0,1.0,1.0,223620569660023.44,1.223114072027542e-13,1,344633343.5125914,-169.81514943090792,-52.124474990601925
