problema,D,M,geracao,n,obj,theta_media,theta_min,theta_max,cond,autoval_min,chol_ok,sigma2,lnL_rec_iso,lnL_log
BBOB_F1,10,2,1,109,0,0.0010000000000000002,0.001,0.001,1322581905349.7124,8.227624151539548e-11,1,75524103.91383065,-139.9630714058593,446.7640364520397
BBOB_F1,10,2,1,109,1,0.003463885181603557,0.0027463181645137,0.005296090858535715,31775584836.790646,3.4104143606890733e-09,1,6351052.344985065,-159.5391089877005,399.90241656791176
BBOB_F1,10,2,50,158,0,0.0010001541795959215,0.001,0.0010004640790279588,3256865146302333.0,4.8436442314966086e-14,1,52423104.37039321,-6.162236472000359,865.2457639470886
BBOB_F1,10,2,50,158,1,0.0010000781362021556,0.001,0.001000217999683702,3246021280701272.5,4.859825800921816e-14,1,52504276.72037734,-6.269684964396674,854.4353760996107
BBOB_F1,10,2,100,208,0,0.0010000090281143909,0.001,0.00100001503280979,3765951430276810.0,5.514337974724162e-14,1,40022951.592334434,119.34714964505656,1266.6068045682443
BBOB_F1,10,2,100,208,1,0.00100001024581959,0.001,0.0010000305770758767,3786892483337381.5,5.483844348325967e-14,1,40065992.93480219,119.22935196405228,1252.3975309234133
BBOB_F1,10,2,150,258,0,0.0010000025895720173,0.001,0.0010000258957201735,4194369369936399.5,6.141258788033947e-14,1,32756518.24694555,277.82545264823557,1701.972933138985
BBOB_F1,10,2,150,258,1,0.0010000025895720173,0.001,0.0010000258957201735,4194369369936399.5,6.141258788033947e-14,1,32820482.770002265,277.57379655041996,1683.2145904931715
BBOB_F1,10,2,200,308,0,0.0010001593969526216,0.001,0.0010004449658492748,4366369080817887.0,7.042420803654524e-14,1,34643394.52250224,438.78763337017153,2139.477286289599
BBOB_F1,10,2,200,308,1,0.001000166901374526,0.001,0.0010002180581728728,4372217035102048.0,7.033001296158012e-14,1,34620092.31049363,438.88413729464537,2117.4778427559118
BBOB_F17,10,2,1,109,0,3.84758427276038,0.001,37.927818834964334,4.668404516803724,0.5594356372052242,1,376336457772617.25,-1826.7801931225097,478.1213644717983
BBOB_F17,10,2,1,109,1,0.47121558866508106,0.008361189018441371,1.5593862265122782,6387.758759236193,0.008208757958716955,1,97115.17762000185,-513.4657394084967,242.23507047278434
BBOB_F17,10,2,50,158,0,4.064151594826439,0.001,40.09477431685893,5.822401019372597,0.493087500150892,1,403845619951557.0,-2653.615370528553,734.4457006491514
BBOB_F17,10,2,50,158,1,1.013076688200579,0.019877957002302247,2.7192447835413867,1009.0487323222249,0.03271170949577345,1,24340.285980343142,-717.3624088248978,373.51665742860195
BBOB_F17,10,2,100,208,0,3.853798455451676,0.001,38.00209296266126,11.916098491006734,0.33701628742457324,1,372085236199272.7,-3481.3353680970827,1023.1170553823598
BBOB_F17,10,2,100,208,1,0.8871156465095608,0.08251038242095965,2.2202152479400494,3989.983890079038,0.01224334749983169,1,24397.08563302873,-907.6310945270586,529.4385679635343
BBOB_F17,10,2,150,258,0,3.7951993563333075,0.001,37.30735727975776,19.464920671929345,0.26067863578476097,1,380587969020372.56,-4316.992945220748,1297.6120643915206
BBOB_F17,10,2,150,258,1,0.8952230196531936,0.1483421966259439,2.2611823003238563,5498.002555259914,0.010422169835989887,1,20609.94728851926,-1088.2248911411345,692.7078400457972
BBOB_F17,10,2,200,308,0,4.644288752349445,0.001,45.74844178557038,17.740379278960813,0.2475772280004048,1,412582869638962.6,-5169.9679458560295,1574.4559691181378
BBOB_F17,10,2,200,308,1,0.8690201324090449,0.012792448848161001,2.383067798988151,18976.531584043056,0.003696402454996876,1,19467.299011151368,-1257.5791389478713,870.1200998654994
BBOB_F22,10,2,1,109,0,0.2705701163028041,0.042163659005074065,0.9393208277430398,42209.64579737689,0.0016748692542573312,1,546164348500.955,-1303.8043291185363,291.84295709214246
BBOB_F22,10,2,1,109,1,0.12213289992077567,0.04398196543818175,0.3637733663884548,535681.562821857,0.00016658549770990556,1,3811961.049275976,-567.468481065971,273.468292407821
BBOB_F22,10,2,50,158,0,0.3516780717719842,0.0199322015777198,1.281964387661921,449129.585593435,0.0001968666609641224,1,392440763000.6675,-1861.3214483566453,452.1692552633649
BBOB_F22,10,2,50,158,1,0.7262099400301822,0.40698462956969883,1.0132627565353365,32952.134322921775,0.0015742895274660326,1,195685.7067167051,-824.063066104276,433.14817705434757
BBOB_F22,10,2,100,208,0,0.48009627035852215,0.05253200915127107,1.0270519528252493,1576619.8411894653,6.110693806236881e-05,1,206825517167.0879,-2403.1484795466836,648.7239493299987
BBOB_F22,10,2,100,208,1,0.7451949399389545,0.3208044141004673,1.03242580056851,287677.9612924615,0.0002351624053843212,1,175124.5219920197,-1039.8977109487287,645.994358005323
BBOB_F22,10,2,150,258,0,0.45709012728165244,0.08923993672545022,1.0828280653756959,4067692.913729779,3.0767194272568016e-05,1,215098486721.8809,-2921.5923951700606,865.197574868452
BBOB_F22,10,2,150,258,1,0.5662257221314778,0.2751705337251725,1.1762987262342746,1745493.6042294418,6.189093768776166e-05,1,279878.62392344134,-1234.9391164267631,872.5879810438164
BBOB_F22,10,2,200,308,0,0.4815703663306158,0.07130523734900926,1.4397728994625476,5033184.292789926,2.9499466165854307e-05,1,180193352916.0845,-3424.6230493664607,1107.0905615170166
BBOB_F22,10,2,200,308,1,0.6184440499511077,0.2784932030965632,1.536137935050255,1817433.5456780076,6.875902812763654e-05,1,215242.09448398685,-1414.0109698312215,1094.1555010633012
BBOB_F37,10,2,1,109,0,0.3063105460468651,0.11982145847444992,0.7331357642835921,35558.99539902246,0.0018844758681714415,1,621856.3761042088,-571.3622647612544,287.2314846559793
BBOB_F37,10,2,1,109,1,0.7682511977482281,0.03265091980878656,2.1342786093189168,1535.6446874767641,0.0227376964719187,1,2204333.793867488,-726.1054264929008,231.77237789316797
BBOB_F37,10,2,50,158,0,0.44140485046510286,0.2992082080229565,0.8116020884208586,53889.03761056374,0.00148797713514167,1,278737.8400012226,-781.4720613763355,474.05296890424563
