geracao,obj,WAPE,cob,correl,mu_absmax,n_validas,sig_nan
1,0,0.4696600272885633,1.0,0.3379860539943676,0.9173243641853333,2000,0
1,1,0.722176014583111,0.94,0.21145210754499433,7.234658241271973,2000,0
2,0,0.03391153161818763,0.4725,0.9950563668726362,1.007647156715393,2000,0
2,1,0.751850311294654,0.8725,0.09317712320287468,7.586042404174805,2000,0
4,0,0.3592349991043731,1.0,0.6566867525603555,0.984887957572937,2000,0
4,1,0.7794208928245859,0.7845,0.13280861500435298,7.597599506378174,2000,0
6,0,0.116752106668282,0.9605,0.9549244018368206,0.9909725189208984,2000,0
6,1,0.7760261389816531,0.793,0.2398910751474681,7.621344566345215,2000,0
8,0,0.015930216298910456,0.9405,0.9989424884610096,0.9929603934288025,2000,0
8,1,0.7621287343267581,0.811,0.23255903233499517,7.588749408721924,2000,0
10,0,0.016590683393957674,0.889,0.9990415820589809,0.9929958581924438,2000,0
10,1,0.7641547329928151,0.9055,0.1660649760217398,7.5697855949401855,2000,0
12,0,0.13118419941553067,0.652,0.9677464983840518,1.1847392320632935,2000,0
12,1,0.7404068137496665,0.9,0.21762390237663098,7.570044994354248,2000,0
14,0,2.7567469214391482,0.282,0.33461550105464294,15.801567077636719,2000,0
14,1,17.935119380544794,0.5425,-0.07159485913265265,581.3584594726562,2000,0
16,0,0.05620081594872824,0.7335,0.9916634965332354,1.0298784971237183,2000,0
16,1,0.9620086481288223,0.415,0.22919397908678862,9.66145133972168,2000,0
18,0,1.597671320871409,0.8105,0.0006136144028057545,7.184853553771973,2000,0
18,1,11.683501726263561,0.525,0.09610246091985705,287.14508056640625,2000,0
20,0,1.2542478879722263,0.2505,0.3609640930405759,9.517814636230469,2000,0
20,1,8.289670759826777,0.3275,0.034583243847671245,122.76372528076172,2000,0
22,0,0.7494582051669709,0.463,0.5652673245726054,3.4014854431152344,2000,0
22,1,0.8384292785915198,0.4935,0.23317454417139252,9.407626152038574,2000,0
24,0,0.5060001436349238,0.5775,0.6817009627458634,2.225588798522949,2000,0
24,1,5.233873154036834,0.611,-0.007445230946958396,110.59584045410156,2000,0
26,0,0.5451910251875113,0.3935,0.4742785968122074,2.729282855987549,2000,0
26,1,6.106832037714051,0.454,0.020891576637865672,126.97640991210938,2000,0
28,0,0.40999335354137484,0.399,0.7584450920200191,2.341186761856079,2000,0
28,1,3.53904104581613,0.6305,0.09059437425362005,96.10430145263672,2000,0
30,0,0.39480321197926765,0.316,0.7452559193010709,3.2206993103027344,2000,0
30,1,4.428058438815967,0.5745,0.06726559494107123,138.9974365234375,2000,0
32,0,0.39738441590675155,0.231,0.6588859473628025,2.384915590286255,2000,0
32,1,2.894186918766949,0.5705,0.16059698318192436,55.99367904663086,2000,0
34,0,0.28379548665830806,0.361,0.7846830340014813,2.2166144847869873,2000,0
34,1,2.1725570588508356,0.63,0.16786062150731118,30.40654754638672,2000,0
36,0,0.27662771830768945,0.2375,0.8054095956853284,2.3577630519866943,2000,0
36,1,0.7464824416790917,0.859,0.21733357180643087,8.910906791687012,2000,0
38,0,0.057666565817966045,0.722,0.9923293570922425,1.0346091985702515,2000,0
38,1,1.6885585159146401,0.447,0.178628438770216,30.779817581176758,2000,0
40,0,0.1352493843982509,0.5145,0.9254627236900663,1.2500338554382324,2000,0
40,1,5.598385346607679,0.476,0.028899582954259883,95.00210571289062,2000,0
