fonte,geracao,obj,n,lnL_log,lnL_rec,err_rec,lnL_grid,gap,log10th_grid1,log10th_grid2,th_min,th_max,sat_piso,sat_teto
T11_smoke,1,0,21,25.672417192389815,25.67241693628369,2.5610612652826603e-07,51.906754962321386,26.23433776993157,2.0,-2.5,989.4157585983935,994.9366606632009,0,0
T11_smoke,1,1,21,27.836271441561045,27.83627142613337,1.542767691375957e-08,29.447956866636833,1.6116854250757875,0.75,2.0,1000.0,1000.0,0,1
T11_smoke,2,0,22,55.32371706707408,55.32372514503317,8.077959094521248e-06,57.44077899416595,2.117061927091875,1.25,-0.5,0.2181300404448688,15.792842180767266,0,0
T11_smoke,2,1,22,30.249380553450017,30.249380515263862,3.818615468276221e-08,30.248737651307003,-0.0006429021430136572,1.5,2.75,34.59212168295487,566.4428865974498,0,0
T11_smoke,3,0,23,53.74832094955812,53.748327315116455,6.365558334664456e-06,60.831372801308504,7.083051851750383,2.0,-2.25,0.514990130885944,56.057067406559185,0,0
T11_smoke,3,1,23,31.817368682344448,31.817369191351982,5.090075347879974e-07,31.816798773207367,-0.0005699091370807707,0.25,3.0,1.8607911405357307,1000.0,0,1
T11_smoke,4,0,24,30.82423060279733,30.824230455710055,1.4708727391621323e-07,60.96365833288367,30.13942773008634,2.0,-1.25,21.443625970795637,363.39283484930826,0,0
T11_smoke,4,1,24,33.802990924998085,33.80299119748396,2.7248587741723895e-07,33.76591302356002,-0.03707790143806733,0.25,3.0,2.334893915653249,1000.0,0,1
T11_smoke,5,0,25,48.091791197337514,48.09179345011628,2.2527787635340246e-06,64.48630197106743,16.39451077372992,2.0,-1.25,9.233326258690752,13.20593527264467,0,0
T11_smoke,5,1,25,35.956875165344385,35.95687536571295,2.003685679596856e-07,35.925049073331685,-0.03182609201270026,0.25,3.0,2.6490357787255014,1000.0,0,1
T11_smoke,6,0,26,46.59734319973864,46.597342935834476,2.6390416252297655e-07,71.27545627620057,24.678113076461933,2.0,-1.25,19.461883979811716,25.538377936178627,0,0
T11_smoke,6,1,26,34.43720752745159,34.437208424244865,8.967932743075835e-07,34.948462006960185,0.5112544795085938,3.0,0.75,28.9893956884371,98.80789216817631,0,0
T11_smoke,7,0,27,-14.355824759747122,-14.927908899615204,0.5720841398680818,71.75249948493263,86.10832424467975,2.0,-1.25,0.001,0.0010026502983725822,1,0
T11_smoke,7,1,27,36.5372635638514,36.53726387965443,3.158030352778951e-07,37.76982161602446,1.2325580521730615,2.75,0.75,47.67205987073241,64.95909458792923,0,0
T11_smoke,8,0,28,73.58865928001316,73.58866399058827,4.710575112198967e-06,76.25915030721696,2.670491027203795,2.25,-1.25,0.09480127008298361,192.55625063753865,0,0
T11_smoke,8,1,28,38.17845105178957,38.178451459345695,4.0755612218390525e-07,39.83415952068664,1.6557084688970676,2.75,0.75,67.26546437377823,75.79492913999495,0,0
T11_smoke,9,0,29,-9.093400504274939,-9.134684332662346,0.04128382838740663,80.21799520869419,89.31139571296913,2.25,-1.25,0.001,0.001,1,0
T11_smoke,9,1,29,39.098694370095835,39.09869484131697,4.7122113500108753e-07,41.61430808030029,2.5156137102044553,2.75,0.75,32.744516288950116,782.4156533278265,0,0
T11_smoke,10,0,30,79.46091336485159,79.46099344256032,8.007770873064146e-05,85.64297076274093,6.182057397889338,2.25,-1.25,0.012066562744785363,204.36546822784476,0,0
T11_smoke,10,1,30,40.87872047737941,40.87872078618576,3.0880634938057483e-07,42.73705089329395,1.858330415914537,2.75,0.75,57.69554526254938,1000.0,0,1
T11_smoke,11,0,31,-3.1123036962650303,-3.2065318313161697,0.09422813505113936,91.1631284613541,94.27543215761914,2.25,-1.25,0.001,0.0010012977697124253,1,0
T11_smoke,11,1,31,-26.485667783655572,-26.69956680726858,0.21389902361300983,45.558659592752484,72.04432737640806,3.0,0.75,0.001,0.0010002179985038498,1,0
T11_smoke,12,0,32,-6.603644106155002,-7.099956717763746,0.49631261160874374,93.90293651104524,100.50658061720024,2.25,-1.25,0.001,0.0010025963032649085,1,0
T11_smoke,12,1,32,43.49316797289605,43.4931689186096,9.457135448087683e-07,46.95189761319449,3.4587296402984364,3.0,0.75,91.17668550830977,428.1058404143763,0,0
T11_smoke,13,0,33,52.479154373820876,52.479151122832775,3.2509881009445962e-06,98.6325451354796,46.15339076165873,2.25,-1.5,10.405875893518681,120.50075897420491,0,0
T11_smoke,13,1,33,-23.95470627516221,-24.027240234897306,0.07253395973509669,48.658914149850716,72.61362042501293,3.0,0.75,0.001,0.001,1,0
T11_smoke,14,0,34,-76.69018133572507,-76.69358584527987,0.0034045095547980964,102.45626742506019,179.14644876078526,2.25,-1.5,1.0,1.0,0,0
T11_smoke,14,1,34,-128.07229231963015,-128.08057634545946,0.008284025829311759,47.86721537047717,175.93950769010732,3.0,1.0,1.0,1.0,0,0
T11_smoke,15,0,35,-93.88723075180928,-93.88949328474351,0.002262532934224737,108.04222784107807,201.92945859288736,2.25,-1.5,1.0,1.0,0,0
T11_smoke,15,1,35,-159.15586381072978,-159.15959939538638,0.0037355846565958473,50.186072098776,209.3419359095058,3.0,1.0,1.0,1.0,0,0
T11_smoke,16,0,36,-5.994515571415604,-5.746524652697531,0.24799091871807377,113.59177920929831,119.58629478071391,2.25,-1.5,0.001,0.06758202561962191,1,0
T11_smoke,16,1,36,-59.88798967166315,-59.81305103139897,0.07493864026417896,51.112037072861696,111.00002674452485,3.0,0.75,0.001,0.10744016702182144,1,0
T11_smoke,17,0,37,43.55950025688041,43.55949987175716,3.8512325062356467e-07,118.51731671081299,74.95781645393258,2.25,-1.5,273.63799672816094,999.9421598842806,0,0
T11_smoke,17,1,37,46.98296691369319,46.98296669567193,2.180212632652001e-07,53.111111991138394,6.128145077445204,3.0,0.75,322.00692646896937,999.9777193077648,0,0
T11_smoke,18,0,38,-17.374761609791626,-17.37471995904262,4.1650749007970944e-05,124.34878691618468,141.7235485259763,2.25,-1.5,0.029503733845581033,999.5835729845974,0,0
T11_smoke,18,1,38,-168.8262109073206,-168.82838497792207,0.0021740706014838906,56.03358183668357,224.85979274400415,2.75,0.75,1.0001557083681676,1.0001557083681676,0,0
