problema,D,M,obj,n_gens,parado,frac_parado,piso,teto,lnL_ini,lnL_fim,lnL_max,lnL_min,lnL_sobe,gens_lnL_neg,frac_lnL_neg,theta_med_ini,theta_med_fim,tmin_viol,tmax_viol
BBOB_F1,10,2,0,200,0,0.0,199,0,446.7640364520397,2139.477286289599,2139.477286289599,446.7640364520397,1,0,0.0,0.001,0.0010002224829246374,0,0
BBOB_F1,10,2,1,200,0,0.0,192,0,399.90241656791176,2117.4778427559118,2117.4778427559118,323.49489583627053,1,0,0.0,0.004021204511524708,0.0010001090290864363,0,0
BBOB_F17,10,2,0,200,0,0.0,174,0,478.1213644717983,1574.4559691181378,1574.4559691181378,478.1213644717983,1,0,0.0,18.964409417482166,22.874720892785188,0,0
BBOB_F17,10,2,1,200,0,0.0,0,0,242.23507047278434,870.1200998654994,870.1200998654994,242.23507047278434,1,0,0.0,0.7838737077653598,1.197930123918156,0,0
BBOB_F22,10,2,0,200,0,0.0,0,0,291.84295709214246,1107.0905615170166,1107.0905615170166,290.012392511151,1,0,0.0,0.4907422433740569,0.7555390684057784,0,0
BBOB_F22,10,2,1,200,0,0.0,0,0,273.468292407821,1094.1555010633012,1096.0742859647953,273.468292407821,1,0,0.0,0.2038776659133183,0.9073155690734092,0,0
BBOB_F37,10,2,0,200,0,0.0,0,0,287.2314846559793,1079.1070679808613,1079.1070679808613,287.2314846559793,1,0,0.0,0.426478611379021,0.7101628990854661,0,0
BBOB_F37,10,2,1,200,0,0.0,4,0,231.77237789316797,859.7981609565986,859.7981609565986,231.77237789316797,1,0,0.0,1.0834647645638518,1.3797378844285875,0,0
BBOB_F49,10,2,0,200,0,0.0,0,0,246.60666653173956,986.4903853828843,986.4903853828843,246.60666653173956,1,0,0.0,1.098013808178566,2.5656634265528644,0,0
BBOB_F49,10,2,1,200,0,0.0,4,160,210.43695653189462,649.8973302668215,649.8973302668215,210.43695653189462,1,0,0.0,500.024114403049,999.8465356535647,0,0
BBOB_F5,10,2,0,200,0,0.0,194,0,405.08618211065567,2587.7209729461565,2587.7209729461565,321.51125215580055,1,0,0.0,0.001000000184638371,0.0010003180260086393,0,0
BBOB_F5,10,2,1,200,0,0.0,0,0,289.6174105499069,1109.8468741059219,1117.4041986039774,289.6174105499069,1,0,0.0,0.29424327996844957,9.358553824954699,0,0
BBOB_F55,10,2,0,200,0,0.0,11,35,180.39358000308252,452.9074632676685,607.7575278172897,180.39358000308252,1,0,0.0,500.0049009745351,500.0004999999995,0,0
BBOB_F55,10,2,1,200,0,0.0,18,32,174.91341979667007,718.0257799293464,823.6451632704157,174.91341979667007,1,0,0.0,500.0005,45.982537457548254,0,0
DTLZ1,7,3,0,140,0,0.0,20,3,141.21499107283006,482.0495504629573,484.4378569645499,141.21499107283006,1,0,0.0,16.311942350534583,160.0511229633315,0,0
DTLZ1,7,3,1,140,0,0.0,15,62,151.25708742461376,321.7279806798241,321.7279806798241,151.25708742461376,1,0,0.0,8.023612795612992,91.47205240192177,0,0
DTLZ1,7,3,2,140,0,0.0,18,3,146.1051208650697,471.9814051539522,493.4367620652907,146.1051208650697,1,0,0.0,81.0900346736867,61.97134491378313,0,0
DTLZ2,12,3,0,240,0,0.0,12,0,308.5222459805783,1008.3866146429955,1014.5256085677099,302.94871261669044,1,0,0.0,4.478298784917571,0.6118983108868925,0,0
DTLZ2,12,3,1,240,0,0.0,47,0,321.38586194372465,991.0007206121311,994.1510794145269,309.7917372111292,1,0,0.0,4.214690777787622,0.8275239629766604,0,0
