fonte,g,obj,n,lnL_log,lnL_rec,cond_log,grid_max,grid_arg,grid_cond,grid_s2,grid_ok,grid_ok_arg,grid_ok_cond,gap_bruto,gap_saudavel
T11_smoke,1,0,21,25.672417192389815,25.67241693628369,1.000001302949133,51.906754962321386,"(np.float64(2.0), np.float64(-2.5))",14108.41735760504,0.056759043293178435,51.906754962321386,"(np.float64(2.0), np.float64(-2.5))",14108.41735760504,26.23433776993157,26.23433776993157
T11_smoke,1,1,21,27.836271441561045,27.83627142613337,1.0000011551943886,29.447956866636833,"(np.float64(0.75), np.float64(2.0))",18.603641511419866,0.07893347197787628,29.447956866636833,"(np.float64(0.75), np.float64(2.0))",18.603641511419866,1.6116854250757875,1.6116854250757875
T11_smoke,10,0,30,79.46091336485159,79.46099344256032,145536.9743484423,85.64297076274093,"(np.float64(2.25), np.float64(-1.25))",197605.96804645238,0.03412841769130305,85.64297076274093,"(np.float64(2.25), np.float64(-1.25))",197605.96804645238,6.182057397889338,6.182057397889338
T11_smoke,10,1,30,40.87872047737941,40.9336642694214,16.732744943926303,42.73705089329395,"(np.float64(2.75), np.float64(0.75))",78.0043050071969,0.08002642013746848,42.73705089329395,"(np.float64(2.75), np.float64(0.75))",78.0043050071969,1.858330415914537,1.858330415914537
T11_smoke,25,0,45,-138.76669842323747,-138.99191565877442,1300366051505316.5,168.63891442493716,"(np.float64(2.25), np.float64(-1.5))",2094984164.4499073,0.03351616384147877,168.63891442493716,"(np.float64(2.25), np.float64(-1.5))",2094984164.4499073,307.40561284817466,307.40561284817466
T11_smoke,25,1,45,-225.13034485178906,-225.3998239419164,1300366051505316.5,72.7895354717746,"(np.float64(2.75), np.float64(0.75))",677.9176394630607,0.07660815259583936,72.7895354717746,"(np.float64(2.75), np.float64(0.75))",677.9176394630607,297.9198803235637,297.9198803235637
T11_smoke,40,0,60,-165.5024791839595,-165.57293144352468,2639583706658654.5,241.28915441096518,"(np.float64(2.75), np.float64(-2.25))",65291819763280.49,0.042522656751964365,211.2817972388711,"(np.float64(2.5), np.float64(-0.75))",948892924299.3872,406.7916335949247,376.7842764228306
T11_smoke,40,1,60,-188.23980944431378,-120.68668413399132,118604423401.19592,105.04500249760045,"(np.float64(3.0), np.float64(0.5))",736724.4688639675,0.08356575866358332,105.04500249760045,"(np.float64(3.0), np.float64(0.5))",736724.4688639675,293.2848119419142,293.2848119419142
R42,1,0,21,25.672514777000764,25.6725145207297,1.000086469268512,51.906754962321386,"(np.float64(2.0), np.float64(-2.5))",14108.41735760504,0.056759043293178435,51.906754962321386,"(np.float64(2.0), np.float64(-2.5))",14108.41735760504,26.234240185320623,26.234240185320623
R42,1,1,21,27.836271441561045,27.83627142613337,1.0000011551943886,29.447956866636833,"(np.float64(0.75), np.float64(2.0))",18.603641511419866,0.07893347197787628,29.447956866636833,"(np.float64(0.75), np.float64(2.0))",18.603641511419866,1.6116854250757875,1.6116854250757875
R42,10,0,30,62.23184432558405,62.231845337582,335.5253687349705,102.67895894281071,"(np.float64(2.0), np.float64(-2.25))",877577166.0248159,0.053815297739264675,102.67895894281071,"(np.float64(2.0), np.float64(-2.25))",877577166.0248159,40.44711461722666,40.44711461722666
R42,10,1,30,44.53087269322088,44.530874457345675,16.982557471537305,45.26888012818057,"(np.float64(3.0), np.float64(0.75))",1867.7336517550295,0.06627574459069796,45.26888012818057,"(np.float64(3.0), np.float64(0.75))",1867.7336517550295,0.738007434959691,0.738007434959691
R42,25,0,45,-126.71614126119016,-126.73302946590485,871025175132634.2,191.51889048472722,"(np.float64(2.25), np.float64(-2.75))",41084672130.4749,0.04402160320924978,191.51889048472722,"(np.float64(2.25), np.float64(-2.75))",41084672130.4749,318.23503174591735,318.23503174591735
R42,25,1,45,-250.44123349423796,-250.60520496437408,874928755427664.9,76.16545956101011,"(np.float64(3.0), np.float64(0.5))",8310.469834062893,0.06287876577570405,76.16545956101011,"(np.float64(3.0), np.float64(0.5))",8310.469834062893,326.60669305524806,326.60669305524806
R42,40,0,60,-165.04652722950476,-165.078950877363,2668952127573661.5,346.34993481580705,"(np.float64(2.25), np.float64(-3.0))",578274398437296.9,0.05028130620017787,265.2139636672577,"(np.float64(2.0), np.float64(-0.75))",496994166656.5964,511.3964620453118,430.26049089676246
R42,40,1,60,-300.8871197696364,-301.61515790418,2647905227762975.0,118.88823984870174,"(np.float64(3.0), np.float64(0.5))",169110.3762223182,0.06341611981159981,118.88823984870174,"(np.float64(3.0), np.float64(0.5))",169110.3762223182,419.77535961833814,419.77535961833814
