geracao,obj,WAPE,cob,correl,mu_absmax,n_validas,sig_nan
1,0,0.45851030590158115,1.0,0.3925286755055084,0.9424025416374207,2000,0
1,1,0.722176014583111,0.94,0.21145210754499433,7.234658241271973,2000,0
2,0,0.008930679080956025,0.8805,0.9997688488624592,0.9941703677177429,2000,0
2,1,0.9155295401834672,0.6065,0.10785863612513143,8.84131145477295,2000,0
4,0,0.00938687160718181,0.8065,0.9997520100945719,0.9946339130401611,2000,0
4,1,0.6504885999004774,0.899,0.39573256225855713,7.537263870239258,2000,0
6,0,0.1675637191394413,0.635,0.9429988029320445,1.5584207773208618,2000,0
6,1,0.816922654178886,0.578,0.3164333390408757,6.563289642333984,2000,0
8,0,0.019599918356044237,1.0,0.9982776647387883,1.0091692209243774,2000,0
8,1,0.8049637226353419,0.539,0.23960220896230028,7.806142330169678,2000,0
10,0,0.05369871882301797,1.0,0.9915905735065592,1.038633108139038,2000,0
10,1,0.5945291176677835,0.9295,0.4964261811895534,7.522077560424805,2000,0
12,0,0.22382269185712617,0.9955,0.847341800604958,0.9988130331039429,2000,0
12,1,0.7498832357923942,0.826,0.11812319961596905,7.584048748016357,2000,0
14,0,0.024693321162405617,0.9975,0.9961048390840448,1.0134471654891968,2000,0
14,1,0.583367124622785,0.914,0.5224975201933493,7.540567398071289,2000,0
16,0,0.11293061897731436,0.7125,0.9715345063421196,1.1359933614730835,2000,0
16,1,0.5736505809429184,0.911,0.537355793352842,7.533073902130127,2000,0
18,0,0.2798690285790059,1.0,0.7877334510439506,0.9857712984085083,2000,0
18,1,0.7481587700311697,0.5995,0.17362802200489263,6.934550762176514,2000,0
20,0,1.2828623373833494,0.567,-0.10998802035467325,10.123640060424805,2000,0
20,1,0.8077856758984937,0.5915,0.15323245103337058,10.736882209777832,2000,0
22,0,1.3858687928060647,0.378,-0.08682545940290944,9.749683380126953,2000,0
22,1,39.808857874371796,0.3425,-0.16526065813781093,1744.2908935546875,2000,0
24,0,1.1767101164671319,0.3265,0.02488400431372467,10.007562637329102,2000,0
24,1,28.277918836795617,0.3415,-0.05070487445946596,1882.290771484375,2000,0
26,0,1.1459863355524789,0.2955,-0.024282100577571374,10.190017700195312,2000,0
26,1,15.092558330870238,0.5685,-0.011349742686654797,313.64990234375,2000,0
28,0,0.45169780285052313,0.7365,0.44232222136547256,3.861966133117676,2000,0
28,1,8.915678338189297,0.7165,0.08198098380888903,514.4583129882812,2000,0
30,0,0.5111483915167027,0.57,0.27089806515001036,4.521655559539795,2000,0
30,1,4.772802779580479,0.7885,-0.041878338192898976,118.11370849609375,2000,0
32,0,0.4004277314388527,0.6445,0.3398501693131533,3.5827250480651855,2000,0
32,1,4.638214875201873,0.7665,0.03238922997539217,107.63751983642578,2000,0
34,0,0.166935821695954,0.832,0.874279355066462,1.6947689056396484,2000,0
34,1,2.222153687558555,0.7775,0.11057878562134263,46.392982482910156,2000,0
36,0,0.21314953304835776,0.6465,0.8175491174330082,1.3627902269363403,2000,0
36,1,3.1285218888531996,0.733,0.13070746121986984,51.17182159423828,2000,0
38,0,0.17970662663429882,0.53,0.8773356785596688,1.2514228820800781,2000,0
38,1,2.510531166448589,0.6685,0.1692329593570742,55.43440628051758,2000,0
40,0,0.10924551614009125,0.537,0.9618273978931005,1.1869629621505737,2000,0
40,1,1.7176753877130162,0.5935,0.15474013574956738,60.02838897705078,2000,0
