label,problema,M,geracao,kflag,modelo_lider,n_julgados,n_ds_membros,n_front1,pares_ok,pares_total,pares_ok_obj,sqrtmse_surr_max,divergencia
BBOB_F1,BBOB_F1,2,1,0,RBFN,409,64,7,145717.0,167281.0,"[131259, 131375]",21.051905254909812,3.3544865622241757
BBOB_F1,BBOB_F1,2,2,0,RBFN,200,23,8,20154.0,40000.0,"[15062, 14424]",19.35715015471349,6.9068872675047395
BBOB_F1,BBOB_F1,2,3,0,RBFN,200,7,9,14090.0,40000.0,"[10481, 8263]",18.606931169084007,9.423854786737209
BBOB_F1,BBOB_F1,2,4,0,RBFN,200,3,13,9248.0,40000.0,"[6787, 4763]",15.900397452700252,9.116624513317038
BBOB_F1,BBOB_F1,2,5,0,RBFN,200,1,17,8284.0,40000.0,"[5263, 4641]",16.76658125005444,7.96895705188391
BBOB_F1,BBOB_F1,2,6,0,RBFN,200,0,17,6510.0,40000.0,"[4591, 2603]",15.241706664627964,8.627093171601933
BBOB_F1,BBOB_F1,2,7,0,RBFN,200,0,18,4374.0,40000.0,"[3344, 878]",14.545862812488826,8.365369834660996
BBOB_F1,BBOB_F1,2,8,0,RBFN,200,0,19,5394.0,40000.0,"[4738, 508]",15.70749476773759,7.122348425784745
BBOB_F1,BBOB_F1,2,9,0,RBFN,200,0,29,6736.0,40000.0,"[6326, 242]",16.044336674894954,7.4355098618626405
BBOB_F1,BBOB_F1,2,10,0,RBFN,200,0,37,5956.0,40000.0,"[5672, 86]",15.783915129622695,7.049650274569026
BBOB_F1,BBOB_F1,2,11,0,RBFN,200,0,46,4976.0,40000.0,"[4656, 136]",14.467372580254953,6.471426819392823
BBOB_F1,BBOB_F1,2,12,0,RBFN,200,0,45,4262.0,40000.0,"[3964, 126]",14.399175792643064,6.052337664896229
BBOB_F1,BBOB_F1,2,13,0,RBFN,200,0,50,4506.0,40000.0,"[4256, 58]",13.907779929091243,5.878394532833684
BBOB_F1,BBOB_F1,2,14,0,RBFN,200,0,48,3188.0,40000.0,"[2906, 82]",13.892121803696377,5.782469753624883
