label,problema,D,M,lider,overlap_med,overlap_min,overlap_g1g2,overlap_final,front1_recomp_g1,front1_recomp_ult,front1_log_g1,front1_log_ult,front1_bate,n_gen
BBOB_F1,BBOB_F1,10,2,RBFN,0.87,0.36,0.38,0.88,7,99,7,99,99,99
BBOB_F17,BBOB_F17,10,2,RBFN,0.83,0.36,0.38,0.9,11,100,11,100,98,99
BBOB_F22,BBOB_F22,10,2,RBFN,0.87,0.41,0.41,0.96,7,100,5,100,97,99
BBOB_F37,BBOB_F37,10,2,RBFN,0.87,0.37,0.4,0.9,4,100,6,100,89,99
BBOB_F49,BBOB_F49,10,2,RBFN,0.87,0.49,0.5,0.9,3,86,8,90,0,99
BBOB_F5,BBOB_F5,10,2,RBFN,0.85,0.45,0.45,0.9,6,96,10,98,0,99
BBOB_F55,BBOB_F55,10,2,RBFN,0.805,0.68,0.74,0.82,2,10,4,4,12,99
DTLZ1,DTLZ1,7,3,RBFN,0.89,0.63,0.67,0.91,83,96,58,98,24,99
DTLZ2,DTLZ2,12,3,RBFN,0.84,0.67,0.71,0.9,87,92,81,99,0,99
DTLZ3,DTLZ3,12,3,RBFN,0.8,0.66,0.79,0.84,71,91,44,99,0,99
DTLZ4,DTLZ4,12,3,RBFN,0.85,0.45,0.48,0.95,18,95,20,99,0,99
DTLZ7,DTLZ7,22,3,Kriging-DACE,0.64,0.35,0.44,0.79,50,100,50,100,67,99
MMF1,MMF1,2,2,RBFN,0.81,0.58,0.58,0.84,22,77,13,57,0,99
MMF11_L,MMF11_L,2,2,Kriging-DACE,0.77,0.46,0.46,0.8,23,100,23,94,37,99
MMF16_20,MMF16_20,20,3,RBFN,0.7,0.6,0.88,0.73,83,100,92,100,7,99
MMF4,MMF4,2,2,RBFN,0.71,0.45,0.49,0.72,13,100,10,100,95,99
WFG1,WFG1,22,2,RBFN,0.99,0.95,0.99,0.99,14,31,35,54,0,99
WFG2,WFG2,22,2,RBFN,1.0,0.99,1.0,1.0,6,10,11,11,37,99
WFG4,WFG4,22,2,RBFN,0.95,0.76,0.76,0.99,20,45,47,66,0,99
WFG5,WFG5,22,2,RBFN,0.815,0.69,0.69,0.86,10,62,42,68,0,99
WFG9,WFG9,22,2,RBFN,0.81,0.7,0.7,0.83,22,90,26,96,0,99
ZDT1,ZDT1,30,2,Kriging-DACE,0.535,0.36,0.39,0.69,13,95,14,95,32,99
ZDT3,ZDT3,30,2,Kriging-DACE,0.53,0.35,0.62,0.67,17,90,17,92,30,99
ZDT4,ZDT4,10,2,Kriging-DACE,0.86,0.57,0.61,0.93,10,66,10,64,47,99
ZDT6,ZDT6,10,2,RBFN,0.76,0.5,0.5,0.85,4,56,9,60,0,99
swap_medium-lhs_DTLZ2,DTLZ2,12,3,RBFN,0.9,0.75,0.75,0.94,79,91,67,98,0,99
swap_medium-lhs_MMF16_20,MMF16_20,20,3,RBFN,0.72,0.48,0.91,0.73,82,100,98,100,67,99
swap_medium-lhs_WFG9,WFG9,22,2,RBFN,0.79,0.63,0.78,0.86,19,89,25,91,0,99
swap_medium-lhs_ZDT1,ZDT1,30,2,Kriging-DACE,0.55,0.36,0.43,0.6,20,92,21,92,31,99
swap_medium-lhs_ZDT4,ZDT4,10,2,Kriging-DACE,0.84,0.48,0.48,0.89,7,74,7,74,77,99
swap_medium-mvns_DTLZ2,DTLZ2,12,3,RBFN,0.81,0.72,0.77,0.89,76,89,51,95,1,99
swap_medium-mvns_MMF16_20,MMF16_20,20,3,RBFN,0.61,0.48,0.87,0.74,75,100,97,100,67,99
swap_medium-mvns_WFG9,WFG9,22,2,RBFN,0.98,0.93,0.98,0.99,7,28,15,20,6,99
swap_medium-mvns_ZDT1,ZDT1,30,2,Kriging-DACE,0.68,0.39,0.49,0.68,16,94,16,94,50,99
swap_medium-mvns_ZDT4,ZDT4,10,2,Kriging-DACE,0.77,0.5,0.66,0.84,2,43,2,44,69,99
swap_small-lhs_DTLZ2,DTLZ2,12,3,RBFN,0.84,0.67,0.71,0.9,87,92,81,99,0,99
swap_small-lhs_MMF16_20,MMF16_20,20,3,RBFN,0.7,0.6,0.88,0.73,83,100,92,100,7,99
swap_small-lhs_WFG9,WFG9,22,2,RBFN,0.81,0.7,0.7,0.83,22,90,26,96,0,99
swap_small-lhs_ZDT1,ZDT1,30,2,Kriging-DACE,0.535,0.36,0.39,0.69,13,95,14,95,32,99
swap_small-lhs_ZDT4,ZDT4,10,2,Kriging-DACE,0.86,0.57,0.61,0.93,10,66,10,64,47,99
swap_small-mvns_DTLZ2,DTLZ2,12,3,RBFN,0.735,0.58,0.64,0.73,60,96,45,99,1,99
swap_small-mvns_MMF16_20,MMF16_20,20,3,RBFN,0.725,0.62,0.9,0.64,87,96,82,99,0,99
swap_small-mvns_WFG9,WFG9,22,2,RBFN,0.94,0.77,0.77,0.99,12,50,12,41,10,99
swap_small-mvns_ZDT1,ZDT1,30,2,Kriging-DACE,0.66,0.36,0.36,0.66,11,96,11,96,59,99
swap_small-mvns_ZDT4,ZDT4,10,2,Kriging-DACE,0.645,0.41,0.46,0.66,1,3,1,3,81,99
