problema,e103,c311,b5r,b5m,moead_media,spread_max
BBOB_F1,0.3862484203788069,0.3862484203788069,0.3862484203788069,0.3862484203788069,0.3862484203788069,0.0
BBOB_F17,0.0768842814355975,0.0768842814355975,0.0768842814355975,0.0768842814355975,0.0768842814355975,0.0
BBOB_F22,1.0748151779345665,1.0748151779345665,1.0748151779345665,1.0748151779345665,1.0748151779345665,0.0
BBOB_F37,0.5034143939497656,0.5034143939497656,0.5034143939497656,0.5034143939497656,0.5034143939497656,0.0
BBOB_F49,0.3349072831101193,0.3349072831101193,0.3349072831101193,0.3349072831101193,0.3349072831101193,0.0
BBOB_F5,0.5185289806592093,0.5185289806592093,0.5185289806592093,0.5185289806592093,0.5185289806592093,0.0
BBOB_F55,0.9561693927609834,0.9561693927609834,0.9561693927609834,0.9561693927609834,0.9561693927609834,0.0
DTLZ1,75.32352791621113,75.32352791621113,75.32352791621113,75.32352791621113,75.32352791621113,0.0
DTLZ2,0.4382349893654081,0.4382349893654081,0.4382349893654081,0.4382349893654081,0.4382349893654081,0.0
DTLZ3,398.39091750128574,398.39091750128574,398.39091750128574,398.39091750128574,398.39091750128574,0.0
DTLZ4,0.7908760920109282,0.7908760920109282,0.7908760920109282,0.7908760920109282,0.7908760920109282,0.0
DTLZ7,2.470206215881323,2.470206215881323,2.470206215881323,2.470206215881323,2.470206215881323,0.0
MMF1,0.056286697508624,0.056286697508624,0.056286697508624,0.056286697508624,0.056286697508624,0.0
MMF11_L,0.0419580102470012,0.0419580102470012,0.0419580102470012,0.0419580102470012,0.0419580102470012,0.0
MMF16_20,0.0527845774701415,0.0527845774701415,0.0527845774701415,0.0527845774701415,0.0527845774701415,0.0
MMF4,0.0264732168303444,0.0264732168303444,0.0264732168303444,0.0264732168303444,0.0264732168303444,0.0
WFG1,0.9910113107849866,0.9910113107849866,0.9910113107849866,0.9910113107849866,0.9910113107849866,0.0
WFG2,0.2250775620746705,0.2250775620746705,0.2250775620746705,0.2250775620746705,0.2250775620746705,0.0
WFG4,0.1292127687599539,0.1292127687599539,0.1292127687599539,0.1292127687599539,0.1292127687599539,0.0
WFG5,0.2146846623993098,0.2146846623993098,0.2146846623993098,0.2146846623993098,0.2146846623993098,0.0
WFG9,0.2333464355759536,0.2333464355759536,0.2333464355759536,0.2333464355759536,0.2333464355759536,0.0
ZDT1,1.9840097985661824,1.9840097985661824,1.9840097985661824,1.9840097985661824,1.9840097985661824,0.0
ZDT3,1.1889574991333902,1.1889574991333902,1.1889574991333902,1.1889574991333902,1.1889574991333902,0.0
ZDT4,76.27288000105129,76.27288000105129,76.27288000105129,76.27288000105129,76.27288000105129,0.0
ZDT6,7.603936122087763,7.603936122087763,7.603936122087763,7.603936122087763,7.603936122087763,0.0
