problema,alg,n_final,n_nd,fantasia,igd_plus_7,hv_7,igd_plus_7_nd,hv_7_nd
BBOB_F1,e103,100,99,0.99,0.006707131941329389,1.0268755406557037,0.006707131941329389,1.0268755406557037
BBOB_F1,c311,50,17,0.34,0.20226216714496442,0.6817583241964288,0.20226216714496442,0.6817583241964288
BBOB_F1,b5r,48,28,0.5833333333333334,0.08608217308211402,0.8712015741040198,0.08608217308211402,0.8712015741040198
BBOB_F1,b5m,50,27,0.54,0.08709293582915997,0.8757733791872327,0.08709293582915997,0.8757733791872327
BBOB_F1,moead_media,50,29,0.58,0.057109701971287015,0.9262436567510618,0.057109701971287015,0.9262436567510618
BBOB_F17,e103,100,9,0.09,0.0809068278140177,1.0039655088435206,0.0809068278140177,1.0039655088435206
BBOB_F17,c311,2,1,0.5,0.4330362768845093,0.46012042521295615,0.4330362768845093,0.46012042521295615
BBOB_F17,b5r,29,3,0.10344827586206896,0.36581343682732054,0.5381528963519732,0.36581343682732054,0.5381528963519732
BBOB_F17,b5m,50,7,0.14,0.4867828447730065,0.39335880374667254,0.4867828447730065,0.39335880374667254
BBOB_F17,moead_media,50,50,1.0,0.5603489390410448,0.3115960169957207,0.5603489390410448,0.3115960169957207
BBOB_F22,e103,100,20,0.2,0.4649127323552117,0.4546381554234699,0.4649127323552117,0.4546381554234699
BBOB_F22,c311,14,2,0.14285714285714285,4.805768382200147,0.0,4.805768382200147,0.0
BBOB_F22,b5r,39,5,0.1282051282051282,0.7383553006966405,0.1379115131700106,0.7383553006966405,0.1379115131700106
BBOB_F22,b5m,50,22,0.44,0.7521703519166867,0.1322645038398847,0.7521703519166867,0.1322645038398847
BBOB_F22,moead_media,50,17,0.34,0.7410118190857242,0.14327075377091925,0.7410118190857242,0.14327075377091925
BBOB_F37,e103,100,5,0.05,0.3101446345657044,0.39286951878392024,0.3101446345657044,0.39286951878392024
BBOB_F37,c311,50,5,0.1,1.987471031562861,0.0,1.987471031562861,0.0
BBOB_F37,b5r,50,7,0.14,0.2544229591165837,0.5600397868739374,0.2544229591165837,0.5600397868739374
BBOB_F37,b5m,50,9,0.18,0.24136246529028876,0.5709400650881025,0.24136246529028876,0.5709400650881025
BBOB_F37,moead_media,50,3,0.06,0.5958907309822424,0.22183119126832823,0.5958907309822424,0.22183119126832823
BBOB_F49,e103,100,15,0.15,0.3347313389783466,0.5628991429732192,0.3347313389783466,0.5628991429732192
BBOB_F49,c311,32,5,0.15625,0.8548833881197233,0.09107226871124716,0.8548833881197233,0.09107226871124716
BBOB_F49,b5r,46,2,0.043478260869565216,0.7328149888815487,0.20124039157178375,0.7328149888815487,0.20124039157178375
BBOB_F49,b5m,50,15,0.3,0.6222845835110263,0.3224566530872475,0.6222845835110263,0.3224566530872475
BBOB_F49,moead_media,50,4,0.08,0.678099936546771,0.25841259765084834,0.678099936546771,0.25841259765084834
BBOB_F5,e103,100,74,0.74,0.08428194447892468,0.7342992828165342,0.08428194447892468,0.7342992828165342
BBOB_F5,c311,50,2,0.04,0.8747236189537269,0.0,0.8747236189537269,0.0
BBOB_F5,b5r,46,27,0.5869565217391305,0.15322257234226802,0.6173967801741201,0.15322257234226802,0.6173967801741201
BBOB_F5,b5m,50,21,0.42,0.14347313886886406,0.6324349667078573,0.14347313886886406,0.6324349667078573
BBOB_F5,moead_media,50,28,0.56,0.12629624109375284,0.6608954131073046,0.12629624109375284,0.6608954131073046
BBOB_F55,e103,100,4,0.04,0.9561693974866271,0.03203052147834735,0.9561693974866271,0.03203052147834735
BBOB_F55,c311,50,7,0.14,1.2451971161596374,0.0,1.2451971161596374,0.0
BBOB_F55,b5r,44,7,0.1590909090909091,1.0018019443755395,0.05280780077238958,1.0018019443755395,0.05280780077238958
BBOB_F55,b5m,50,9,0.18,1.0035095724263108,0.00499472320390789,1.0035095724263108,0.00499472320390789
BBOB_F55,moead_media,50,4,0.08,1.3556832406353228,0.0,1.3556832406353228,0.0
DTLZ1,e103,100,24,0.24,75.32358173827524,0.0,75.32358173827524,0.0
DTLZ1,c311,104,21,0.20192307692307693,72.24903120824662,0.0,72.24903120824662,0.0
DTLZ1,b5r,51,5,0.09803921568627451,102.55983950010315,0.0,102.55983950010315,0.0
DTLZ1,b5m,105,4,0.0380952380952381,109.89521037688905,0.0,109.89521037688905,0.0
DTLZ1,moead_media,105,94,0.8952380952380953,539.9255591604793,0.0,539.9255591604793,0.0
DTLZ2,e103,100,81,0.81,0.07575006422749106,0.5867407654860621,0.07575006422749106,0.5867407654860621
DTLZ2,c311,94,93,0.9893617021276596,0.040805524934593454,0.7018994539659531,0.040805524934593454,0.7018994539659531
DTLZ2,b5r,83,71,0.8554216867469879,0.04752875427966714,0.6819048147415581,0.04752875427966714,0.6819048147415581
DTLZ2,b5m,105,83,0.7904761904761904,0.05688964973092999,0.6660228277889934,0.05688964973092999,0.6660228277889934
DTLZ2,moead_media,105,99,0.9428571428571428,0.8903968304333774,0.00860947182430531,0.8903968304333774,0.00860947182430531
DTLZ3,e103,100,46,0.46,250.61629106443735,0.0,250.61629106443735,0.0
DTLZ3,c311,95,36,0.37894736842105264,641.1793621164978,0.0,641.1793621164978,0.0
DTLZ3,b5r,38,4,0.10526315789473684,354.2116840580314,0.0,354.2116840580314,0.0
DTLZ3,b5m,105,26,0.24761904761904763,542.2827088104782,0.0,542.2827088104782,0.0
DTLZ3,moead_media,105,104,0.9904761904761905,832.4013821763526,0.0,832.4013821763526,0.0
DTLZ4,e103,100,22,0.22,0.5921455226533678,0.11918296790122998,0.5921455226533678,0.11918296790122998
DTLZ4,c311,99,79,0.797979797979798,1.3738542800007214,0.0,1.3738542800007214,0.0
DTLZ4,b5r,14,8,0.5714285714285714,0.6572438764191847,0.045359546188922725,0.6572438764191847,0.045359546188922725
DTLZ4,b5m,105,12,0.11428571428571428,0.6002944993592286,0.11426831221580518,0.6002944993592286,0.11426831221580518
DTLZ4,moead_media,105,3,0.02857142857142857,1.1382934140778578,0.0,1.1382934140778578,0.0
DTLZ7,e103,100,40,0.4,0.054448651346112625,0.5151803758967477,0.054448651346112625,0.5151803758967477
DTLZ7,c311,79,63,0.7974683544303798,0.09241131248172559,0.4765917523037824,0.09241131248172559,0.4765917523037824
DTLZ7,b5r,52,18,0.34615384615384615,0.8239833421102789,0.0,0.8239833421102789,0.0
DTLZ7,b5m,105,28,0.26666666666666666,0.9379250505048345,0.0,0.9379250505048345,0.0
DTLZ7,moead_media,105,33,0.3142857142857143,0.36822935864789164,0.09141625133433898,0.36822935864789164,0.09141625133433898
MMF1,e103,100,37,0.37,0.04894027381483341,0.7677347664904137,0.04894027381483341,0.7677347664904137
MMF1,c311,50,9,0.18,0.05141295530255617,0.7613716663834181,0.05141295530255617,0.7613716663834181
MMF1,b5r,44,20,0.45454545454545453,0.061006622957726755,0.7249478746289405,0.061006622957726755,0.7249478746289405
MMF1,b5m,50,19,0.38,0.12748631318490322,0.6634417303195435,0.12748631318490322,0.6634417303195435
MMF1,moead_media,50,1,0.02,4.1122824158148905,0.0,4.1122824158148905,0.0
MMF11_L,e103,100,73,0.73,0.028169703899792387,0.9860056273406983,0.028169703899792387,0.9860056273406983
MMF11_L,c311,50,49,0.98,0.12828737644249757,0.8231652630857257,0.12828737644249757,0.8231652630857257
MMF11_L,b5r,48,21,0.4375,0.032162744800907486,0.9562362994632471,0.032162744800907486,0.9562362994632471
MMF11_L,b5m,50,32,0.64,0.028584880317859104,0.9916099570124798,0.028584880317859104,0.9916099570124798
MMF11_L,moead_media,50,18,0.36,1.3987769987370298,0.0,1.3987769987370298,0.0
MMF16_20,e103,100,100,1.0,0.5060223598911855,0.03687283442807217,0.5060223598911855,0.03687283442807217
