prob,tier2,dist2,n_dataset,modelo,igd_dataset,igd_final,ganho_igd,fantasia,nd_pos_real,center_num,frac_pares_ok_med,t_fit_krig,t_fit_rbfn
20,small,lhs,619,RBFN,0.0527845774701415,0.5060223598911855,-8.586556985843545,1.0,100,25,0.11995,39.438268,0.347088
20,medium,lhs,2000,RBFN,0.0279673218909566,0.507181524415269,-17.13479053849876,1.0,100,45,0.12845,478.477316,0.386814
20,small,mvns,619,RBFN,0.0555696492086819,0.2297896344181093,-3.1351643872210726,0.51,51,25,0.16935,39.849705,0.302716
20,medium,mvns,2000,RBFN,0.0289462331765378,0.5018220138976047,-16.336349459948142,0.99,99,45,0.11475,490.727673,0.333325
DTLZ2,small,lhs,371,RBFN,0.4382349893654081,0.075750064227491,0.8271473842442797,0.81,81,20,0.4044,5.372891,0.991946
DTLZ2,medium,lhs,2000,RBFN,0.3062944084992903,0.0702519444330499,0.7706391547359484,0.7,70,45,0.8403,187.802443,0.387103
DTLZ2,small,mvns,371,RBFN,0.3485157318681744,0.4650504000568012,-0.3343741975834418,0.52,52,20,0.16745,4.789318,0.318822
DTLZ2,medium,mvns,2000,RBFN,0.3503483729551524,0.4788276948729606,-0.3667187629104664,0.22,22,45,0.4819,189.145513,0.406544
WFG9,small,lhs,681,RBFN,0.2333464355759536,0.2842616053892824,-0.2181956184059905,0.19,19,27,0.02255,51.723218,0.311925
WFG9,medium,lhs,2000,RBFN,0.184433786563433,0.2098596440412913,-0.1378590005205664,0.11,11,45,0.0235,551.596202,0.393497
WFG9,small,mvns,681,RBFN,0.2108994480881869,0.1875123882893775,0.1108919914718327,0.13,13,27,0.12685,52.242371,0.31382
WFG9,medium,mvns,2000,RBFN,0.1773331151651533,0.1466116600848864,0.1732415011807329,0.19,19,45,0.1995,603.594971,0.340757
ZDT1,small,lhs,929,Kriging,1.9840097985661824,0.0052058683064078,0.997376087401297,0.95,95,31,1.0,367.75739,0.332066
ZDT1,medium,lhs,2000,Kriging,1.7391326680113817,0.0071758373723023,0.9958738988092796,0.92,92,45,1.0,3232.616602,0.305894
ZDT1,small,mvns,929,Kriging,1.0563288256978145,0.0032361776174532,0.9969363918329924,0.96,96,31,1.0,372.50782,0.350111
ZDT1,medium,mvns,2000,Kriging,0.8020462495052066,0.0030789241964703,0.9961611637753188,0.94,94,45,1.0,3258.998894,0.341409
ZDT4,small,lhs,309,Kriging,76.27288000105129,71.04039062238674,0.0686022263561102,0.07,7,18,1.0,1.75428,0.326507
ZDT4,medium,lhs,2000,Kriging,36.384983926101,53.94899049075502,-0.4827267919185301,0.05,10,45,1.0,56.25758366666667,0.2642811666666667
ZDT4,small,mvns,309,Kriging,85.7324210159935,133.7068243973414,-0.5595829770443344,0.01,1,18,1.0,1.740767,0.318584
ZDT4,medium,mvns,2000,Kriging,55.05241586105082,118.47034570952688,-1.1519554384050887,0.04,4,45,1.0,94.746145,0.327606
