problema,g,n_Pmid,arc,acordo_med,acordo_min,acordo_max,amplitude,frac_incomparavel,frac_pred0
MMF1,1,5,22,0.3716166666666666,0.162,0.6065,0.4445,0.5588666666666666,0.3345
MMF1,2,5,23,0.4002416666666667,0.183,0.579,0.39599999999999996,0.5555583333333334,0.367
MMF1,4,7,25,0.3664666666666667,0.243,0.556,0.31300000000000006,0.5412333333333332,0.314
MMF1,6,7,27,0.406025,0.2395,0.64,0.4005,0.5525666666666667,0.421
MMF1,8,7,29,0.3503083333333334,0.215,0.5825,0.36750000000000005,0.5452999999999999,0.2455
MMF1,10,7,31,0.4202083333333333,0.231,0.62,0.389,0.56275,0.4905
MMF1,32,13,53,0.31927500000000003,0.23,0.4365,0.2065,0.5906083333333332,0.2635
MMF1,34,13,55,0.30410000000000004,0.2075,0.419,0.2115,0.5961333333333332,0.1755
MMF1,36,13,57,0.3031,0.2345,0.368,0.1335,0.6011833333333333,0.188
MMF1,38,13,59,0.313675,0.239,0.3725,0.1335,0.5953999999999999,0.252
MMF1,40,13,61,0.3866416666666667,0.335,0.4505,0.11549999999999999,0.6017250000000001,0.42
MMF1,42,13,63,0.3068333333333334,0.2405,0.36,0.1195,0.5986416666666667,0.2315
ZDT1,1,83,330,0.13445833333333335,0.116,0.151,0.03499999999999999,0.7946166666666666,0.0045
ZDT1,2,13,331,0.2864833333333333,0.2375,0.3555,0.118,0.7926000000000002,0.2435
ZDT1,4,13,333,0.3103833333333333,0.27,0.3605,0.09049999999999997,0.7942,0.283
ZDT1,6,13,335,0.3182916666666666,0.286,0.36,0.07400000000000001,0.7928250000000002,0.2975
ZDT1,8,13,337,0.251675,0.2075,0.2975,0.09,0.7946416666666668,0.203
ZDT1,10,13,339,0.27498333333333336,0.245,0.31,0.065,0.7942250000000001,0.2385
ZDT1,576,13,920,0.4118333333333333,0.292,0.568,0.27599999999999997,0.6062166666666666,0.2515
ZDT1,578,13,922,0.35122500000000006,0.27,0.446,0.176,0.5944583333333333,0.199
ZDT1,580,13,924,0.3776583333333334,0.2705,0.526,0.2555,0.5962916666666668,0.221
ZDT1,582,13,926,0.3784916666666667,0.256,0.512,0.256,0.5900333333333333,0.206
ZDT1,584,13,928,0.41274166666666673,0.3355,0.5295,0.19399999999999995,0.6091583333333332,0.2675
ZDT1,586,13,930,0.3782166666666667,0.2695,0.466,0.1965,0.5899916666666666,0.189
BBOB_F37,1,27,110,0.4185916666666667,0.361,0.485,0.124,0.40362499999999996,0.8725
BBOB_F37,2,13,111,0.4091916666666666,0.3345,0.4905,0.15599999999999997,0.4033999999999999,0.9145
BBOB_F37,4,13,113,0.40823333333333334,0.32,0.5165,0.19649999999999995,0.4063749999999999,0.903
BBOB_F37,6,13,115,0.40442500000000003,0.331,0.5025,0.17149999999999993,0.40705833333333336,0.9145
BBOB_F37,8,13,117,0.404175,0.3515,0.4915,0.14,0.39944999999999997,0.935
BBOB_F37,10,13,119,0.4072916666666667,0.327,0.5165,0.18949999999999995,0.40682499999999994,0.91
BBOB_F37,176,13,300,0.30234999999999995,0.1445,0.409,0.26449999999999996,0.31234166666666663,0.926
BBOB_F37,178,13,302,0.2946333333333334,0.1635,0.4285,0.265,0.30356666666666676,0.9325
BBOB_F37,180,13,304,0.2986000000000001,0.1875,0.4895,0.302,0.31039999999999995,0.92
BBOB_F37,182,13,306,0.2939833333333333,0.1865,0.4315,0.245,0.30529999999999996,0.9125
BBOB_F37,184,13,308,0.29913333333333336,0.1875,0.4295,0.242,0.3062416666666667,0.915
BBOB_F37,186,13,310,0.2896583333333334,0.177,0.4035,0.22650000000000003,0.30046666666666677,0.9205
DTLZ2,1,33,132,0.3874583333333333,0.3685,0.412,0.04349999999999998,0.9241833333333332,0.3875
DTLZ2,2,13,133,0.5343,0.4905,0.564,0.07349999999999995,0.9236916666666667,0.5545
DTLZ2,4,13,135,0.62065,0.5875,0.65,0.0625,0.92625,0.653
DTLZ2,6,13,137,0.5935916666666665,0.559,0.6315,0.0724999999999999,0.9221083333333332,0.6325
DTLZ2,8,13,139,0.4832416666666667,0.45,0.513,0.063,0.9294083333333333,0.4995
DTLZ2,10,13,141,0.6992583333333332,0.6675,0.7345,0.06700000000000006,0.9257583333333333,0.7445
DTLZ2,230,13,361,0.67305,0.633,0.714,0.08099999999999996,0.8990250000000001,0.7295
DTLZ2,232,13,363,0.7147166666666664,0.66,0.749,0.08899999999999997,0.8981750000000001,0.7785
DTLZ2,234,13,365,0.6881333333333332,0.6425,0.7265,0.08400000000000007,0.8971083333333333,0.751
DTLZ2,236,13,367,0.6291083333333333,0.6035,0.6475,0.04399999999999993,0.8993333333333332,0.669
DTLZ2,238,13,369,0.7535916666666665,0.701,0.7905,0.08950000000000002,0.9019250000000001,0.82
DTLZ2,240,13,371,0.5294083333333334,0.5035,0.555,0.0515000000000001,0.902025,0.5545
