problema,D,M,maxfe,n_real,n_gen,n_ger_man,n_sonda,n_guard,cache,fe_final,status,termino,cp_init,n_sur,n_busca,tem_params,tem_regra,tem_campanha
BBOB_F1,10,2,309,309,190,191,96,1,1,309,ok,normal,True,192200,0,False,False,False
BBOB_F17,10,2,309,309,196,197,99,2,2,309,ok,normal,True,198201,0,False,False,False
BBOB_F22,10,2,309,309,138,139,71,2,1,309,ok,normal,True,142198,0,False,False,False
BBOB_F37,10,2,309,309,186,187,94,2,2,309,ok,normal,True,188201,0,False,False,False
BBOB_F49,10,2,309,309,196,197,99,2,2,309,ok,normal,True,198201,0,False,False,False
BBOB_F5,10,2,309,309,160,161,81,1,1,309,ok,normal,True,162200,0,False,False,False
BBOB_F55,10,2,309,309,178,179,90,4,4,309,ok,normal,True,180203,0,False,False,False
DTLZ1,7,3,216,216,140,141,71,1,1,216,ok,normal,True,142140,0,False,False,False
DTLZ2,12,3,371,371,240,241,121,1,1,371,ok,normal,True,242240,0,False,False,False
DTLZ3,12,3,371,371,240,241,121,1,1,371,ok,normal,True,242240,0,False,False,False
DTLZ4,12,3,371,371,240,241,121,1,1,371,ok,normal,True,242240,0,False,False,False
DTLZ7,22,3,681,681,431,432,217,2,2,681,ok,normal,True,434441,0,False,False,False
MMF1,2,2,61,61,42,43,22,3,3,61,ok,normal,True,44042,0,False,False,False
MMF11_L,2,2,61,61,43,44,23,4,4,61,ok,normal,True,46043,0,False,False,False
MMF16_20,20,3,619,619,400,401,201,1,1,619,ok,normal,True,402400,0,False,False,False
MMF4,2,2,61,61,38,39,20,1,1,61,ok,normal,True,40040,0,False,False,False
WFG1,22,2,681,681,440,441,221,1,1,681,ok,normal,True,442440,0,False,False,False
WFG2,22,2,681,681,440,441,221,1,1,681,ok,normal,True,442440,0,False,False,False
WFG4,22,2,681,681,440,441,221,1,1,681,ok,normal,True,442440,0,False,False,False
WFG5,22,2,681,681,440,441,221,1,1,681,ok,normal,True,442440,0,False,False,False
WFG9,22,2,681,681,441,442,222,2,2,681,ok,normal,True,444441,0,False,False,False
ZDT1,30,2,929,929,586,587,294,2,2,929,ok,normal,True,588601,0,False,False,False
ZDT3,30,2,929,929,581,582,292,2,2,929,ok,normal,True,584601,0,False,False,False
ZDT4,10,2,309,309,181,182,92,2,2,309,ok,normal,True,184201,0,False,False,False
ZDT6,10,2,309,309,155,156,79,1,1,309,ok,normal,True,158200,0,False,False,False
