alg,n_FE,n_ND,igd_plus,igd,hv,spacing,rank
c217,61,14,0.039867456135691905,0.05207437411855178,0.7864878853504507,0.12463955608183251,1
c141,61,15,0.04282487462080535,0.057072586688117224,0.7604458038226642,0.12506557247495373,2
b3,61,16,0.046639448605926274,0.057455720788401735,0.7707865800202137,0.08251339867665856,3
e74,61,15,0.04885978407067858,0.058358754171357614,0.7511730215637386,0.08665455165360376,4
b1,61,14,0.05550304704871828,0.08985098881044884,0.7707364859978982,0.07551392718998752,5
b4,61,11,0.06041792338115821,0.09414717011341771,0.7536004781324496,0.2045260128403251,6
c238,61,12,0.07454865746323043,0.08817533632949304,0.709417728867724,0.17295899427464992,7
