problema,n_blocos,linhas,dxmax,frac_pred0_med,blocos_degenerados,mu_null
BBOB_F1,96,192000,0.0,0.9125,0,1.0
BBOB_F17,99,198000,0.0,0.945,0,1.0
BBOB_F22,71,142000,0.0,0.9555,0,1.0
BBOB_F37,94,188000,0.0,0.918,0,1.0
BBOB_F49,99,198000,0.0,0.949,0,1.0
BBOB_F5,81,162000,0.0,0.929,0,1.0
BBOB_F55,90,180000,0.0,0.91325,0,1.0
DTLZ1,71,142000,0.0,0.3485,0,1.0
DTLZ2,121,242000,0.0,0.7955,19,1.0
DTLZ3,121,242000,0.0,0.377,0,1.0
DTLZ4,121,242000,0.0,0.397,0,1.0
DTLZ7,217,434000,0.0,0.257,0,1.0
MMF1,22,44000,0.0,0.3315,0,1.0
MMF11_L,23,46000,0.0,0.341,0,1.0
MMF16_20,201,402000,0.0,1.0,200,1.0
MMF4,20,40000,0.0,0.2545,0,1.0
WFG1,221,442000,0.0,1.0,221,1.0
WFG2,221,442000,0.0,1.0,221,1.0
WFG4,221,442000,0.0,1.0,221,1.0
WFG5,221,442000,0.0,1.0,221,1.0
WFG9,222,444000,0.0,1.0,222,1.0
ZDT1,294,588000,0.0,0.20675,0,1.0
ZDT3,292,584000,0.0,0.24825,0,1.0
ZDT4,92,184000,0.0,0.8315,0,1.0
ZDT6,79,158000,0.0,0.038,0,1.0
