n,prev,acc,prec,rec,auc,tp,fp,fn,tn,geracao,maxdX,ambiguos,prev_lo,prev_paper,prev_naodom,L_med,pred_pos
2000,0.2875,0.55,0.26551226551226553,0.32,0.4867307398932113,184,509,391,916,1,0.0,0,0.2875,0.112,0.2875,0.4500218629837036,0.3465
2000,0.2875,0.572,0.2936857562408223,0.34782608695652173,0.5168543096872616,200,481,375,944,2,0.0,0,0.2875,0.112,0.2875,0.4719801992177963,0.3405
2000,0.2875,0.613,0.26697892271662765,0.19826086956521738,0.5275057208237987,114,313,461,1112,4,0.0,0,0.2875,0.112,0.2875,0.36235253512859344,0.2135
2000,0.311,0.3975,0.31883157240522064,0.8247588424437299,0.5008411930240481,513,1096,109,282,6,0.0,0,0.311,0.1225,0.311,0.597061038017273,0.8045
2000,0.311,0.397,0.3,0.7041800643086816,0.4634740221860285,438,1022,184,356,8,0.0,0,0.311,0.1225,0.311,0.5556455552577972,0.73
2000,0.311,0.3555,0.29324240545567265,0.7604501607717041,0.4427924574970016,473,1140,149,238,10,0.0,0,0.311,0.1225,0.311,0.557077020406723,0.8065
2000,0.311,0.5675,0.27706422018348625,0.2427652733118971,0.5212205815782228,151,394,471,984,12,0.0,0,0.311,0.1225,0.311,0.34485475718975067,0.2725
2000,0.311,0.6225,0.39593114241001565,0.4067524115755627,0.559765539320232,253,386,369,992,14,0.0,0,0.311,0.1225,0.311,0.3942790925502777,0.3195
2000,0.311,0.592,0.25255102040816324,0.15916398713826366,0.5118607049687557,99,293,523,1085,16,0.0,0,0.311,0.1225,0.311,0.43645937740802765,0.196
2000,0.311,0.5285,0.30450669914738127,0.40192926045016075,0.5002275071285567,250,571,372,807,18,0.0,0,0.311,0.1225,0.311,0.4870827794075012,0.4105
2000,0.311,0.689,,0.0,0.5690169125299259,0,0,622,1378,20,0.0,0,0.311,0.1225,0.311,0.43375077843666077,0.0
2000,0.311,0.498,0.2665036674816626,0.3504823151125402,0.4339010122317166,218,600,404,778,22,0.0,0,0.311,0.1225,0.311,0.47922366857528687,0.409
2000,0.312,0.6915,0.6,0.03365384615384615,0.5835324891920095,21,14,603,1362,24,0.0,0,0.312,0.121,0.312,0.32821236550807953,0.0175
2000,0.312,0.5845,0.3629139072847682,0.4391025641025641,0.5530651367769827,274,481,350,895,26,0.0,0,0.312,0.121,0.312,0.4764679968357086,0.3775
2000,0.312,0.566,0.33287671232876714,0.3894230769230769,0.5222693518932617,243,487,381,889,28,0.0,0,0.312,0.121,0.312,0.4852467030286789,0.365
2000,0.312,0.688,,0.0,0.45956204345557544,0,0,624,1376,30,0.0,0,0.312,0.121,0.312,0.4130543917417526,0.0
2000,0.312,0.625,0.24596774193548387,0.09775641025641026,0.49974959935897434,61,187,563,1189,32,0.0,0,0.312,0.121,0.312,0.45485609769821167,0.124
2000,0.316,0.5975,0.357495881383855,0.34335443037974683,0.5576033801539714,217,390,415,978,34,0.0,0,0.316,0.149,0.316,0.475925087928772,0.3035
2000,0.3235,0.6535,0.29464285714285715,0.05100463678516229,0.5050223271658036,33,79,614,1274,36,0.0,0,0.3235,0.379,0.3235,0.2769685685634613,0.056
2000,0.327,0.414,0.294770206022187,0.5688073394495413,0.45581993992847764,372,890,282,456,38,0.0,0,0.327,0.421,0.327,0.5477347373962402,0.631
2000,0.327,0.6125,0.35279805352798055,0.2217125382262997,0.5392333610516606,145,266,509,1080,40,0.0,0,0.327,0.159,0.327,0.4785638004541397,0.2055
2000,0.327,0.673,,0.0,0.537905948534791,0,0,654,1346,42,0.0,0,0.327,0.159,0.327,0.4270693361759186,0.0
2000,0.327,0.3815,0.25483599663582845,0.463302752293578,0.41572492513779646,303,886,351,460,44,0.0,0,0.327,0.159,0.327,0.5305473506450653,0.5945
2000,0.327,0.563,0.3323170731707317,0.3333333333333333,0.5267692017576145,218,438,436,908,45,0.0,0,0.327,0.159,0.327,0.4771391451358795,0.328
