geracao,n_arq,n_front1_calc,n_front1_log,refs_no_front1,mudou,f_best0,f_best1,dist_min
1,21,7,7,6,False,0.001620903509469418,0.18268371865167302,0.05617926837204957
2,22,7,7,6,False,0.001620903509469418,0.18268371865167302,0.00130149301831195
3,23,7,7,6,False,0.001620903509469418,0.18268371865167302,0.1180154426330173
4,24,7,8,6,False,0.001620903509469418,0.18268371865167302,0.0754303533366863
5,25,8,8,6,True,0.001620903509469418,0.18268371865167302,0.0072593130993294785
6,26,8,8,6,False,0.001620903509469418,0.18268371865167302,[]
7,26,8,9,6,False,0.001620903509469418,0.18268371865167302,0.08558479549456519
8,27,9,9,6,False,0.001620903509469418,0.18268371865167302,0.1776998507647127
9,28,9,9,6,False,0.001620903509469418,0.18268371865167302,0.1239352693364957
10,29,9,9,6,False,0.001620903509469418,0.18268371865167302,0.03486344463511759
11,30,9,9,6,False,0.001620903509469418,0.18268371865167302,0.022151017801728748
12,31,9,9,6,False,0.001620903509469418,0.18268371865167302,0.001125930564823463
13,32,9,9,6,False,0.001620903509469418,0.18268371865167302,0.09081860504153942
14,33,9,9,6,False,0.001620903509469418,0.18268371865167302,0.06018056574645503
15,34,9,10,6,False,0.001620903509469418,0.18268371865167302,0.2172952676299119
16,35,10,10,6,False,0.001620903509469418,0.18268371865167302,0.06172707019153883
17,36,10,10,6,False,0.001620903509469418,0.18268371865167302,0.0510083913762836
18,37,10,10,6,False,0.001620903509469418,0.18268371865167302,0.05233449707371944
19,38,10,11,6,False,0.001620903509469418,0.18268371865167302,0.08566562509087504
20,39,11,12,6,False,0.001620903509469418,0.18268371865167302,0.19662539416959926
21,40,12,12,6,False,0.001620903509469418,0.18268371865167302,0
22,41,12,12,6,False,0.001620903509469418,0.18268371865167302,0.05362945572942901
23,42,12,11,6,False,0.001620903509469418,0.18268371865167302,0.17844225112769613
24,43,11,11,6,True,0.001620903509469418,0.18268371865167302,0.022829458053093016
25,44,11,11,6,False,0.001620903509469418,0.18268371865167302,[]
26,44,11,11,6,False,0.001620903509469418,0.18268371865167302,0.03670432741872486
27,45,11,11,6,False,0.001620903509469418,0.18268371865167302,0.028082723470342463
28,46,11,11,6,False,0.001620903509469418,0.18268371865167302,[]
29,46,11,11,6,False,0.001620903509469418,0.18268371865167302,0.09803821428694537
30,47,11,12,6,False,0.001620903509469418,0.18268371865167302,0.2929020482564527
31,48,12,12,6,False,0.001620903509469418,0.18268371865167302,0.17053188186809518
32,49,12,10,6,False,0.001620903509469418,0.18268371865167302,0.09532448155207064
33,50,10,10,6,True,0.001620903509469418,0.18268371865167302,0.21816935514924524
34,51,10,10,6,False,0.001620903509469418,0.18268371865167302,0.0932134630859549
35,52,10,10,6,True,0.001620903509469418,0.18268371865167302,0.4878215107230519
36,53,10,10,6,True,0.001620903509469418,0.18268371865167302,0.06719542397159649
37,54,10,10,6,True,0.001620903509469418,0.18268371865167302,0.043633499409090275
38,55,10,10,6,False,0.001620903509469418,0.18268371865167302,0.02716069768904656
39,56,10,10,6,True,0.001620903509469418,0.18268371865167302,[]
40,56,10,10,6,False,0.001620903509469418,0.18268371865167302,0.1352820403970239
41,57,10,10,6,False,0.001620903509469418,0.18268371865167302,0.048989958410535106
42,58,10,10,6,False,0.001620903509469418,0.18268371865167302,0.044654858292975115
43,59,10,11,6,False,0.001620903509469418,0.18268371865167302,0.20037021127392526
44,60,11,11,6,False,0.001620903509469418,0.18268371865167302,0.009668709444294654
45,61,11,11,6,False,0.001620903509469418,0.18268371865167302,0.20185431453782593
