g,prev_regua,prev_estrat,auc_regua,auc_estrat
1,0.2875,0.262,0.4867307398932113,0.5100436500548211
2,0.2875,0.298,0.5168543096872616,0.5251725654410219
4,0.2875,0.272,0.5275057208237987,0.5415319974143503
6,0.311,0.328,0.5008411930240481,0.4992650261324042
8,0.311,0.338,0.4634740221860285,0.4814708879314968
10,0.311,0.342,0.4427924574970016,0.386551485095718
12,0.311,0.294,0.5212205815782228,0.44998169239367136
14,0.311,0.326,0.559765539320232,0.6122590158562561
16,0.311,0.264,0.5118607049687557,0.513772233201581
18,0.311,0.276,0.5002275071285567,0.47337657138281686
20,0.311,0.3,0.5690169125299259,0.6075142857142857
22,0.311,0.274,0.4339010122317166,0.4219299833102089
24,0.308,0.298,0.5777097721642519,0.6447542018011817
26,0.308,0.318,0.5524008145034156,0.5880226488869216
28,0.308,0.302,0.5221231983334584,0.5288715155885311
30,0.308,0.316,0.4570837399594625,0.5064956695536309
32,0.308,0.364,0.49990968208092484,0.520129241827355
34,0.2565,0.258,0.5273284646271585,0.44300967425144694
36,0.2595,0.244,0.48610596131604045,0.49013357619915
38,0.224,0.228,0.5147275405007363,0.5275315880374511
40,0.2205,0.182,0.5085103102605164,0.5423842661006475
42,0.2205,0.194,0.4758588489918097,0.43721061113811366
44,0.2205,0.192,0.5162184608716268,0.571266501650165
