geracao,prev,acc,auc,leitura
12,0.8005,0.319,0.48962427931164576,D_∃j ∃k: f_k<=R_jk
14,0.8005,0.375,0.476775949868425,D_∃j ∃k: f_k<=R_jk
16,0.8005,0.2955,0.45730034016959953,D_∃j ∃k: f_k<=R_jk
18,0.8005,0.377,0.382143678997619,D_∃j ∃k: f_k<=R_jk
20,0.8005,0.1995,0.5518081587479003,D_∃j ∃k: f_k<=R_jk
22,0.8005,0.4845,0.5666007617419564,D_∃j ∃k: f_k<=R_jk
24,0.8005,0.217,0.7729207465885201,D_∃j ∃k: f_k<=R_jk
26,0.8005,0.409,0.4976346237235813,D_∃j ∃k: f_k<=R_jk
28,0.8005,0.3785,0.5264551134237844,D_∃j ∃k: f_k<=R_jk
30,0.8005,0.1995,0.5576918561237573,D_∃j ∃k: f_k<=R_jk
32,0.8005,0.2165,0.5113517710578758,D_∃j ∃k: f_k<=R_jk
34,0.8005,0.357,0.5022863216755192,D_∃j ∃k: f_k<=R_jk
36,0.7795,0.2495,0.5902062343004338,D_∃j ∃k: f_k<=R_jk
38,0.7795,0.5625,0.4633893754208975,D_∃j ∃k: f_k<=R_jk
40,0.7795,0.351,0.5653538302214194,D_∃j ∃k: f_k<=R_jk
42,0.7795,0.2205,0.6399837677213285,D_∃j ∃k: f_k<=R_jk
44,0.7795,0.451,0.3089805518102045,D_∃j ∃k: f_k<=R_jk
45,0.7795,0.3855,0.5281563127709925,D_∃j ∃k: f_k<=R_jk
1,0.0,0.6535,,E_∀j ∀k: f_k<=R_jk (domina todas)
2,0.0,0.6595,,E_∀j ∀k: f_k<=R_jk (domina todas)
4,0.0,0.7865,,E_∀j ∀k: f_k<=R_jk (domina todas)
6,0.0,0.1955,,E_∀j ∀k: f_k<=R_jk (domina todas)
8,0.0,0.27,,E_∀j ∀k: f_k<=R_jk (domina todas)
10,0.0,0.1935,,E_∀j ∀k: f_k<=R_jk (domina todas)
12,0.0,0.7275,,E_∀j ∀k: f_k<=R_jk (domina todas)
14,0.0,0.6805,,E_∀j ∀k: f_k<=R_jk (domina todas)
16,0.0,0.804,,E_∀j ∀k: f_k<=R_jk (domina todas)
18,0.0,0.5895,,E_∀j ∀k: f_k<=R_jk (domina todas)
20,0.0,1.0,,E_∀j ∀k: f_k<=R_jk (domina todas)
22,0.0,0.591,,E_∀j ∀k: f_k<=R_jk (domina todas)
24,0.0,0.9825,,E_∀j ∀k: f_k<=R_jk (domina todas)
26,0.0,0.6225,,E_∀j ∀k: f_k<=R_jk (domina todas)
28,0.0,0.635,,E_∀j ∀k: f_k<=R_jk (domina todas)
30,0.0,1.0,,E_∀j ∀k: f_k<=R_jk (domina todas)
32,0.0,0.876,,E_∀j ∀k: f_k<=R_jk (domina todas)
34,0.0,0.6965,,E_∀j ∀k: f_k<=R_jk (domina todas)
36,0.0,0.944,,E_∀j ∀k: f_k<=R_jk (domina todas)
38,0.0,0.369,,E_∀j ∀k: f_k<=R_jk (domina todas)
40,0.0,0.7945,,E_∀j ∀k: f_k<=R_jk (domina todas)
42,0.0,1.0,,E_∀j ∀k: f_k<=R_jk (domina todas)
44,0.0,0.4055,,E_∀j ∀k: f_k<=R_jk (domina todas)
45,0.0,0.672,,E_∀j ∀k: f_k<=R_jk (domina todas)
1,0.264,0.5575,0.4932953001482213,F_nao-dominado pelo ARQUIVO
2,0.264,0.5705,0.5184858520668643,F_nao-dominado pelo ARQUIVO
4,0.264,0.6235,0.5361804183135704,F_nao-dominado pelo ARQUIVO
6,0.264,0.3815,0.5129989603919631,F_nao-dominado pelo ARQUIVO
8,0.2585,0.3745,0.461002907223191,F_nao-dominado pelo ARQUIVO
10,0.2585,0.322,0.4141306176642829,F_nao-dominado pelo ARQUIVO
12,0.2585,0.58,0.5130472890045923,F_nao-dominado pelo ARQUIVO
14,0.2585,0.637,0.5604784592890932,F_nao-dominado pelo ARQUIVO
16,0.2445,0.6295,0.4843052786721507,F_nao-dominado pelo ARQUIVO
18,0.2445,0.529,0.4823171317631168,F_nao-dominado pelo ARQUIVO
20,0.2445,0.7555,0.5726289419512531,F_nao-dominado pelo ARQUIVO
22,0.243,0.53,0.45263072774815033,F_nao-dominado pelo ARQUIVO
24,0.24,0.7615,0.6175054824561403,F_nao-dominado pelo ARQUIVO
26,0.24,0.5895,0.5483511513157895,F_nao-dominado pelo ARQUIVO
28,0.24,0.569,0.5198026315789473,F_nao-dominado pelo ARQUIVO
30,0.24,0.76,0.4581345942982456,F_nao-dominado pelo ARQUIVO
32,0.24,0.672,0.4894174890350877,F_nao-dominado pelo ARQUIVO
34,0.2145,0.619,0.5377270724183518,F_nao-dominado pelo ARQUIVO
36,0.2115,0.7495,0.4793942473889586,F_nao-dominado pelo ARQUIVO
38,0.176,0.395,0.4806187251765225,F_nao-dominado pelo ARQUIVO
40,0.1725,0.693,0.5166784885502868,F_nao-dominado pelo ARQUIVO
42,0.1725,0.8275,0.5110416393011953,F_nao-dominado pelo ARQUIVO
44,0.1725,0.4,0.4556469197425456,F_nao-dominado pelo ARQUIVO
45,0.1725,0.6225,0.5274582950216734,F_nao-dominado pelo ARQUIVO
1,0.264,0.5575,0.4932953001482213,G_∀a∈Arc ∃k: f_k<=a_k
2,0.264,0.5705,0.5184858520668643,G_∀a∈Arc ∃k: f_k<=a_k
4,0.264,0.6235,0.5361804183135704,G_∀a∈Arc ∃k: f_k<=a_k
6,0.264,0.3815,0.5129989603919631,G_∀a∈Arc ∃k: f_k<=a_k
8,0.2585,0.3745,0.461002907223191,G_∀a∈Arc ∃k: f_k<=a_k
10,0.2585,0.322,0.4141306176642829,G_∀a∈Arc ∃k: f_k<=a_k
12,0.2585,0.58,0.5130472890045923,G_∀a∈Arc ∃k: f_k<=a_k
14,0.2585,0.637,0.5604784592890932,G_∀a∈Arc ∃k: f_k<=a_k
16,0.2445,0.6295,0.4843052786721507,G_∀a∈Arc ∃k: f_k<=a_k
18,0.2445,0.529,0.4823171317631168,G_∀a∈Arc ∃k: f_k<=a_k
20,0.2445,0.7555,0.5726289419512531,G_∀a∈Arc ∃k: f_k<=a_k
22,0.243,0.53,0.45263072774815033,G_∀a∈Arc ∃k: f_k<=a_k
24,0.24,0.7615,0.6175054824561403,G_∀a∈Arc ∃k: f_k<=a_k
26,0.24,0.5895,0.5483511513157895,G_∀a∈Arc ∃k: f_k<=a_k
28,0.24,0.569,0.5198026315789473,G_∀a∈Arc ∃k: f_k<=a_k
30,0.24,0.76,0.4581345942982456,G_∀a∈Arc ∃k: f_k<=a_k
32,0.24,0.672,0.4894174890350877,G_∀a∈Arc ∃k: f_k<=a_k
34,0.2145,0.619,0.5377270724183518,G_∀a∈Arc ∃k: f_k<=a_k
36,0.2115,0.7495,0.4793942473889586,G_∀a∈Arc ∃k: f_k<=a_k
38,0.176,0.395,0.4806187251765225,G_∀a∈Arc ∃k: f_k<=a_k
40,0.1725,0.693,0.5166784885502868,G_∀a∈Arc ∃k: f_k<=a_k
42,0.1725,0.8275,0.5110416393011953,G_∀a∈Arc ∃k: f_k<=a_k
44,0.1725,0.4,0.4556469197425456,G_∀a∈Arc ∃k: f_k<=a_k
45,0.1725,0.6225,0.5274582950216734,G_∀a∈Arc ∃k: f_k<=a_k
