geracao,sid,ramo,L,pred,ytrue
1,21,4,0.18338735401630402,False,False
2,22,4,0.4446142315864563,False,False
3,23,4,0.4425259232521057,False,False
4,24,4,0.40872135758399963,False,True
5,25,4,0.5262067914009094,True,False
7,26,4,0.36876747012138367,False,True
8,27,4,0.4707939624786377,False,False
9,28,4,0.26269739866256714,False,True
10,29,4,0.6630551218986511,True,True
11,30,4,0.5071542263031006,True,False
12,31,4,0.06678824871778488,False,False
13,32,4,0.5026021599769592,True,False
14,33,4,0.6423154473304749,True,True
15,34,4,0.41357630491256714,False,True
16,35,4,0.2363155633211136,False,False
17,36,4,0.4571199417114258,False,False
18,37,4,0.48671382665634155,False,False
19,38,4,0.49678486585617065,False,True
20,39,4,0.47769004106521606,False,True
21,8,4,0.2152455747127533,False,False
22,40,4,0.6302283406257629,True,True
23,41,4,0.5972208976745605,True,True
24,42,4,0.3057834208011627,False,True
26,43,1,0.9121419191360474,True,True
27,44,4,0.2793031930923462,False,False
29,45,4,0.6869596838951111,True,False
30,46,4,0.354733943939209,False,True
31,47,4,0.31953108310699463,False,False
32,48,4,0.45841002464294434,False,True
33,49,4,0.6367608904838562,True,False
34,50,4,0.5299426317214966,True,True
35,51,4,0.534740149974823,True,False
36,52,4,0.3038879930973053,False,True
37,53,4,0.7378526329994202,True,False
38,54,4,0.4648312032222748,False,True
40,55,4,0.4796946346759796,False,False
41,56,4,0.41692647337913513,False,False
42,57,4,0.47626009583473206,False,False
43,58,4,0.466118186712265,False,True
44,59,4,0.7921780347824097,True,True
45,60,4,0.4787806272506714,False,False
