n,prev,acc,prec,rec,auc,tp,fp,fn,tn,geracao,n_pontos,ambiguos,prev_lo,prev_paper,L_med,pred_pos,dist_min
500,0.262,0.548,0.1895424836601307,0.22137404580152673,0.5100436500548211,29,124,102,245,1,500,0,0.262,0.132,0.42535364627838135,0.306,0.0024345210085758243
500,0.298,0.576,0.3067484662576687,0.33557046979865773,0.5251725654410219,50,113,99,238,2,500,0,0.298,0.11,0.47214728593826294,0.326,0.005232739110982011
500,0.272,0.612,0.20408163265306123,0.14705882352941177,0.5415319974143503,20,78,116,286,4,500,0,0.272,0.112,0.3663084805011749,0.196,0.0042721316507251346
500,0.328,0.412,0.328042328042328,0.7560975609756098,0.4992650261324042,124,254,40,82,6,500,0,0.328,0.146,0.5635839104652405,0.756,0.0017217690016100829
500,0.338,0.42,0.3236151603498542,0.6568047337278107,0.4814708879314968,111,232,58,99,8,500,0,0.338,0.17,0.5438890755176544,0.686,0.0034422874450683594
500,0.342,0.35,0.32339449541284404,0.8245614035087719,0.386551485095718,141,295,30,34,10,500,0,0.342,0.158,0.5603092014789581,0.872,0.0003006458282470703
500,0.294,0.496,0.21311475409836064,0.2653061224489796,0.44998169239367136,39,144,108,209,12,500,0,0.294,0.15,0.3719257414340973,0.366,0.004323490677675207
500,0.326,0.66,0.4700854700854701,0.3374233128834356,0.6122590158562561,55,62,108,275,14,500,0,0.326,0.142,0.3797798454761505,0.234,0.0030918121337890625
500,0.264,0.594,0.22900763358778625,0.22727272727272727,0.513772233201581,30,101,102,267,16,500,0,0.264,0.104,0.442550927400589,0.262,0.0037915656270861202
500,0.276,0.488,0.22685185185185186,0.35507246376811596,0.47337657138281686,49,167,89,195,18,500,0,0.276,0.088,0.4825904667377472,0.432,0.0065705039127735895
500,0.3,0.7,,0.0,0.6075142857142857,0,0,150,350,20,500,0,0.3,0.134,0.45094984769821167,0.0,0.0007675031077502124
500,0.274,0.574,0.21641791044776118,0.2116788321167883,0.4219299833102089,29,105,108,258,22,500,0,0.274,0.102,0.47524207830429077,0.268,0.0031585693359375
500,0.306,0.686,0.4090909090909091,0.058823529411764705,0.6558927125124786,9,13,144,334,24,500,0,0.306,0.136,0.3339282274246216,0.044,0.0018295093258233691
500,0.322,0.604,0.4021164021164021,0.4720496894409938,0.5908866047380861,76,113,85,226,26,500,0,0.322,0.148,0.4764679968357086,0.378,0.0018309899917077256
500,0.312,0.534,0.3175355450236967,0.42948717948717946,0.5338960942158617,67,144,89,200,28,500,0,0.312,0.114,0.4877602308988571,0.422,0.0006899833679199219
500,0.32,0.68,,0.0,0.5131066176470588,0,0,160,340,30,500,0,0.32,0.12,0.41483399271965027,0.0,0.004501423821844159
500,0.372,0.6,0.37037037037037035,0.10752688172043011,0.5220532840216423,20,34,166,280,32,500,0,0.372,0.156,0.45565225183963776,0.108,0.0010445117950439453
500,0.334,0.528,0.3193717277486911,0.3652694610778443,0.4854615094136052,61,130,106,203,34,500,0,0.334,0.158,0.48330260813236237,0.382,0.002655506134033203
500,0.34,0.652,0.3888888888888889,0.041176470588235294,0.5581996434937612,7,11,163,319,36,500,0,0.34,0.452,0.2716322988271713,0.036,0.001807374627972092
500,0.32,0.462,0.29118773946360155,0.475,0.44472426470588233,76,185,84,155,38,500,0,0.32,0.448,0.5094778537750244,0.522,0.002737342610460336
500,0.308,0.606,0.2871287128712871,0.18831168831168832,0.5365025148262142,29,72,125,274,40,500,0,0.308,0.174,0.47865165770053864,0.202,0.00019502639770507812
500,0.318,0.682,,0.0,0.48236780464412843,0,0,159,341,42,500,0,0.318,0.2,0.42938894033432007,0.0,0.0019391090922541742
500,0.32,0.37,0.26006191950464397,0.525,0.43816176470588236,84,239,76,101,44,500,0,0.32,0.184,0.5540180802345276,0.646,0.003054740703395524
