label,n_footer,ts_header,ts_ultimo,tem_footer_despachante,tem_footer_runner,upload_status,created_at,updated_at
swap_big-lhs_DTLZ2,1,2026-07-24T22:33:12.682+00:00,2026-07-24T22:33:22.838+00:00,False,True,None,2026-07-24T22:33:22+00:00,2026-07-24T22:33:22+00:00
swap_big-lhs_MMF16_20,1,2026-07-25T01:03:59.879+00:00,2026-07-25T01:04:10.965+00:00,False,True,None,2026-07-25T01:04:10+00:00,2026-07-25T01:04:10+00:00
swap_big-lhs_WFG9,1,2026-07-25T01:03:51.581+00:00,2026-07-25T01:03:57.755+00:00,False,True,None,2026-07-25T01:03:57+00:00,2026-07-25T01:03:57+00:00
swap_big-lhs_ZDT1,1,2026-07-25T01:03:42.547+00:00,2026-07-25T01:03:49.313+00:00,False,True,None,2026-07-25T01:03:49+00:00,2026-07-25T01:03:49+00:00
swap_big-lhs_ZDT4,1,2026-07-24T22:32:24.471+00:00,2026-07-24T22:32:29.237+00:00,False,True,None,2026-07-24T22:32:29+00:00,2026-07-24T22:32:29+00:00
swap_big-mvns_DTLZ2,2,2026-07-26T11:22:49.182+00:00,2026-07-26T11:23:01.673+00:00,True,True,None,2026-07-26T11:23:01+00:00,2026-07-26T11:23:01+00:00
swap_big-mvns_MMF16_20,0,2026-07-26T11:08:00.013+00:00,2026-07-26T11:08:03.119+00:00,False,False,"{'real': 'pending', 'pop': 'pe",2026-07-26T11:08:13+00:00,2026-07-26T11:08:13+00:00
swap_big-mvns_WFG9,2,2026-07-26T11:23:02.642+00:00,2026-07-26T11:23:09.465+00:00,True,True,None,2026-07-26T11:23:09+00:00,2026-07-26T11:23:09+00:00
swap_big-mvns_ZDT1,2,2026-07-26T11:23:02.678+00:00,2026-07-26T11:23:10.011+00:00,True,True,None,2026-07-26T11:23:09+00:00,2026-07-26T11:23:10+00:00
swap_big-mvns_ZDT4,1,2026-07-24T22:33:05.797+00:00,2026-07-24T22:33:10.419+00:00,False,True,None,2026-07-24T22:33:10+00:00,2026-07-24T22:33:10+00:00
