label,dist,problema,D,M,N_min,teto_folhas_N_sobre_10D,mu0_distintos_sonda,mu0_distintos_busca,mu1_distintos_sonda,mu1_distintos_busca,mu2_distintos_sonda,mu2_distintos_busca,folhas_tocadas_sonda_max,folhas_tocadas_sonda_min,folhas_tocadas_busca_max,folhas_le_teto,ocupacao_teto_pct,quantizacao_sonda_pct,quantizacao_busca_pct,sonda_pts_por_folha_med,sonda_pts_por_folha_max,mu0_dentro_envelope,mu0_min,mu0_max,f0_ds_min,f0_ds_max,mu1_dentro_envelope,mu1_min,mu1_max,f1_ds_min,f1_ds_max,mu2_dentro_envelope,mu2_min,mu2_max,f2_ds_min,f2_ds_max,mu_dentro_envelope_todos,gab_linhas,U5_maxabs_dX,U5_maxabs_dX_f64,U5_ok_eps32,WAPE_recomp_obj0,corr_recomp_obj0,WAPE_recomp_obj1,corr_recomp_obj1,WAPE_recomp_obj2,corr_recomp_obj2,sigma_todos_nan_sonda,cobertura95,c7_n_final,c7_nd_gravado,c7_nd_recomputado,c7_ND_identico,c7_fantasia,c7_origem_ger_unica,c7_origem_ger,c7_origem_ger_eh_1000,c7_origem_solid_null,c7_n_final_eq_pop_ultima,c7_origem_linha_denso,c7_link_maxabs_dX,c7_link_bit_a_bit,c7_igd_plus,c7_hv,c7_WAPE_fantasia,c7_erro_mediano_obj0,c7_wape_obj0,c7_erro_mediano_obj1,c7_wape_obj1,c7_erro_mediano_obj2,c7_wape_obj2
swap_big-lhs_DTLZ2,lhs,DTLZ2,12,3,120,416,323,255,324,264,327.0,164.0,327,323,264,True,78.6,98.365,99.748,58.0,106,True,0.0025128861889243126,1.9468623399734497,4.317345883464441e-06,2.6510653495788574,True,0.002149055013433099,1.9499294757843018,5.130965291755274e-06,2.6156952381134033,True,0.004354039207100868,2.0532326698303223,1.9873794371960685e-05,2.8379507064819336,True,20000,0.0,2.9802322387695312e-08,True,0.10558161358158626,0.9770199417445923,0.10539739056989386,0.976954710768248,0.09098881449822288,0.9690033384810266,True,N/A (σ NULL por desenho DI-16.1),105,61,61,True,0.581,1,1000,True,1.0,True,True,0.0,True,0.135395,0.430553,0.3556388708366782,0.19429564476013184,0.367106234072432,0.24163895845413208,0.40358707260464527,0.16202795505523682,0.29261753617703934
swap_big-lhs_MMF16_20,lhs,MMF16_20,20,3,200,250,189,139,184,137,188.0,95.0,189,184,139,True,75.6,99.055,99.867,99.0,162,True,0.005178315564990044,2.8252248764038086,5.350427727535134e-06,2.9952456951141357,True,0.007580092642456293,2.8560266494750977,5.697538199456176e-06,2.996781826019287,True,0.012149117887020111,2.9767820835113525,3.958076922572218e-05,2.9999687671661377,True,20000,0.0,2.9802322387695312e-08,True,0.07954562321633044,0.9889748264874817,0.07967645652799268,0.9888402312261274,0.03390787642296512,0.9960416194728683,True,N/A (σ NULL por desenho DI-16.1),105,79,79,True,0.7524,1,1000,True,1.0,True,True,0.0,True,0.039227,0.700019,0.08090151768827779,0.07692694664001465,0.09330647167506505,0.07383120059967041,0.10106101181157748,0.03577037155628204,0.04946035892935436
swap_big-lhs_WFG9,lhs,WFG9,22,2,220,227,169,92,173,98,,,173,169,98,True,76.2,99.135,99.784,111.0,198,True,1.150172233581543,2.5465872287750244,0.2868212163448334,2.9538931846618652,True,1.9742305278778076,4.610740661621094,0.5639858841896057,4.939378261566162,,,,,,True,20000,0.0,1.9073486328125e-06,True,0.22076887361365205,0.4136742245561069,0.22445898353843308,0.4243922552235197,,,True,N/A (σ NULL por desenho DI-16.1),46,16,16,True,0.3478,1,1000,True,1.0,True,True,0.0,True,0.340881,0.02516,0.31099529622600963,0.8866803050041199,0.3483112587676587,0.6937583088874817,0.27940237043971466,,
swap_big-lhs_ZDT1,lhs,ZDT1,30,2,300,166,128,104,124,77,,,128,124,104,True,77.1,99.36,99.791,156.0,158,True,0.003900342620909214,0.9960898756980896,9.297881661041174e-06,0.9999977946281433,True,2.9752748012542725,5.449777126312256,1.91434645652771,7.071417331695557,,,,,,True,20000,0.0,2.9802322387695312e-08,True,0.003906142157173025,0.9999694820799111,0.08101648162173586,0.814305298745086,,,True,N/A (σ NULL por desenho DI-16.1),50,11,11,True,0.22,1,1000,True,1.0,True,True,0.0,True,2.352774,0.0,0.09336357910310457,0.0015723258256912231,0.0046884873517415385,0.35925304889678955,0.1027246786720842,,
swap_big-lhs_ZDT4,lhs,ZDT4,10,2,100,500,256,240,393,67,,,393,256,240,True,78.6,98.035,99.353,78.0,81,True,0.0019599797669798136,0.9980400800704956,1.059868168340472e-06,0.9999876022338867,True,98.858642578125,197.5792999267578,44.627201080322266,286.77801513671875,,,,,,True,20000,0.0,2.384185791015625e-07,True,0.0019531535271351723,0.9999923703388648,0.1292380602548658,0.5385577930803939,,,True,N/A (σ NULL por desenho DI-16.1),36,7,7,True,0.1944,1,1000,True,1.0,True,True,0.0,True,62.24888,0.0,0.21198515164658116,0.0008211284875869751,0.0026473722177092216,20.948078155517578,0.21264950348149428,,
swap_big-mvns_DTLZ2,mvns,DTLZ2,12,3,120,416,327,125,274,160,273.0,99.0,327,273,160,True,78.6,98.365,99.843,31.0,628,True,0.00030043741571716964,2.434998035430908,5.719281071217467e-33,3.033417224884033,True,0.0,2.2167766094207764,0.0,2.9553232192993164,True,0.0,2.3170268535614014,0.0,3.1389307975769043,True,20000,0.0,2.9802322387695312e-08,True,0.13035886200102573,0.9705639142892208,0.1288042884228269,0.9696768534985389,0.10655529564205547,0.9564872755409444,True,N/A (σ NULL por desenho DI-16.1),102,37,37,True,0.3627,1,1000,True,1.0,True,True,0.0,True,0.384245,0.068487,0.13989641219200336,0.0747110741212964,0.1610405301049472,0.07425752282142639,0.14546541225523985,0.051818057894706726,0.11576665673554934
swap_big-mvns_MMF16_20,mvns,MMF16_20,20,3,200,250,189,116,165,131,172.0,111.0,189,165,131,True,75.6,99.055,99.87,67.0,768,True,1.4502757833056241e-16,2.976318120956421,9.234606478243118e-33,3.0,True,0.0,2.833015203475952,0.0,3.0,True,0.0,2.9854822158813477,0.0,3.0,True,20000,0.0,2.9802322387695312e-08,True,0.08927306349953013,0.9881162380754137,0.09492942349890382,0.9847243637837617,0.04236224342910138,0.9939312173806522,True,N/A (σ NULL por desenho DI-16.1),102,69,69,True,0.6765,1,1000,True,1.0,True,True,0.0,True,0.051502,0.676314,0.08728925374686947,0.08202888071537018,0.09938283367147048,0.08741289377212524,0.11175859251496309,0.0421520471572876,0.05329082195300086
swap_big-mvns_WFG9,mvns,WFG9,22,2,220,227,168,116,171,124,,,171,168,124,True,75.3,99.145,99.734,75.0,1406,True,0.8364019989967346,2.7610785961151123,0.4408585727214813,2.966940402984619,True,1.456440806388855,4.796490669250488,0.556816816329956,4.955193996429443,,,,,,True,20000,0.0,1.9073486328125e-06,True,0.2582766072569959,0.12190300846484749,0.2827375765396104,0.19449615949317564,,,True,N/A (σ NULL por desenho DI-16.1),47,11,11,True,0.234,1,1000,True,1.0,True,True,0.0,True,0.291531,0.039033,0.275341579771313,0.20769834518432617,0.2582263156139054,0.7433984279632568,0.28371203846188275,,
swap_big-mvns_ZDT1,mvns,ZDT1,30,2,300,166,115,107,124,94,,,124,115,107,True,74.7,99.38,99.776,162.0,1079,True,0.0,0.9975799322128296,0.0,1.0,True,1.7955156564712524,4.38315486907959,1.0129673480987549,5.8949713706970215,,,,,,True,20000,0.0,2.9802322387695312e-08,True,0.008110174303869512,0.9997659889942849,0.30677727824086354,0.8079839205183545,,,True,N/A (σ NULL por desenho DI-16.1),48,10,10,True,0.2083,1,1000,True,1.0,True,True,0.0,True,1.931461,0.0,0.24106353337870282,0.0028914958238601685,0.009288378522540506,0.9054677486419678,0.2679922041518317,,
swap_big-mvns_ZDT4,mvns,ZDT4,10,2,100,500,319,268,372,48,,,372,319,268,True,74.4,98.14,99.281,43.0,492,True,0.0,0.9999915361404419,0.0,1.0,True,105.10514068603516,199.7257843017578,45.84714126586914,269.0064697265625,,,,,,True,20000,0.0,2.384185791015625e-07,True,0.0029407457242566566,0.9999662177312535,0.15922806125242783,0.4180465146064873,,,True,N/A (σ NULL por desenho DI-16.1),37,8,8,True,0.2162,1,1000,True,1.0,True,True,0.0,True,107.511319,0.0,0.21242285502845212,0.0007137507200241089,0.0026532154027940763,34.57194519042969,0.21290184743266533,,
