alg,dist,problema,n_ckpt,viol_monotonia,igd_ini,igd_fim,fe_ini,fe_fim,nd_fim,serie
c311,lhs,ZDT4,20,0,157.96160920105524,44.295186937957276,0,49999,12,157.96;51.498;51.498;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295
treed_media,lhs,ZDT4,20,0,157.96160920105524,44.295186937957276,0,49999,12,157.96;51.498;51.498;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295;44.295
c311,lhs,ZDT1,20,0,4.773913642650191,1.6368310031755808,0,49999,24,4.7739;1.9943;1.8385;1.8385;1.7903;1.7903;1.7903;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368
treed_media,lhs,ZDT1,20,0,4.773913642650191,1.6368310031755808,0,49999,24,4.7739;1.9943;1.8385;1.8385;1.7903;1.7903;1.7903;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368;1.6368
c311,lhs,DTLZ2,20,0,1.426724138299859,0.1738949906720046,0,49999,300,1.4267;0.28904;0.26739;0.25124;0.242;0.21348;0.20753;0.20057;0.19869;0.19419;0.1897;0.18967;0.18456;0.18455;0.18296;0.1815;0.179;0.17874;0.17444;0.17389
treed_media,lhs,DTLZ2,20,0,1.426724138299859,0.1738949906720046,0,49999,300,1.4267;0.28904;0.26739;0.25124;0.242;0.21348;0.20753;0.20057;0.19869;0.19419;0.1897;0.18967;0.18456;0.18455;0.18296;0.1815;0.179;0.17874;0.17444;0.17389
c311,lhs,MMF16_20,20,0,1.0423719782486731,0.007557079855307071,0,49999,2272,1.0424;0.025583;0.019214;0.016161;0.014549;0.013545;0.01235;0.01151;0.010772;0.010269;0.0097988;0.0094635;0.0091258;0.0088315;0.008595;0.0083302;0.0081082;0.0079024;0.0077354;0.0075571
treed_media,lhs,MMF16_20,20,0,1.0423719782486731,0.007557079855307071,0,49999,2272,1.0424;0.025583;0.019214;0.016161;0.014549;0.013545;0.01235;0.01151;0.010772;0.010269;0.0097988;0.0094635;0.0091258;0.0088315;0.008595;0.0083302;0.0081082;0.0079024;0.0077354;0.0075571
c311,lhs,WFG9,20,0,0.678165348258946,0.12532885266740024,0,49999,29,0.67817;0.15795;0.14624;0.13489;0.13382;0.13163;0.13145;0.13145;0.12759;0.12759;0.12759;0.12759;0.12759;0.12759;0.12759;0.12759;0.12759;0.12736;0.12559;0.12533
treed_media,lhs,WFG9,20,0,0.678165348258946,0.12532885266740024,0,49999,29,0.67817;0.15795;0.14624;0.13489;0.13382;0.13163;0.13145;0.13145;0.12759;0.12759;0.12759;0.12759;0.12759;0.12759;0.12759;0.12759;0.12759;0.12736;0.12559;0.12533
c311,mvns,ZDT4,20,0,169.45996043140133,45.51466063840079,0,49999,5,169.46;54.89;53.936;53.936;53.936;53.936;53.936;53.936;48.184;48.184;48.184;48.184;48.184;48.184;45.515;45.515;45.515;45.515;45.515;45.515
treed_media,mvns,ZDT4,20,0,169.45996043140133,45.51466063840079,0,49999,5,169.46;54.89;53.936;53.936;53.936;53.936;53.936;53.936;48.184;48.184;48.184;48.184;48.184;48.184;45.515;45.515;45.515;45.515;45.515;45.515
c311,mvns,ZDT1,20,0,2.3897588631252744,0.8512256172199212,0,49999,24,2.3898;0.99784;0.99402;0.94324;0.94324;0.88698;0.87643;0.87643;0.87643;0.87643;0.87643;0.87643;0.87266;0.86433;0.86433;0.85334;0.85334;0.85123;0.85123;0.85123
treed_media,mvns,ZDT1,20,0,2.3897588631252744,0.8512256172199212,0,49999,24,2.3898;0.99784;0.99402;0.94324;0.94324;0.88698;0.87643;0.87643;0.87643;0.87643;0.87643;0.87643;0.87266;0.86433;0.86433;0.85334;0.85334;0.85123;0.85123;0.85123
c311,mvns,DTLZ2,20,0,1.5572953975213017,0.19188619223746595,0,49999,123,1.5573;0.30219;0.28136;0.27233;0.22437;0.2206;0.21637;0.21545;0.21418;0.21133;0.20928;0.20354;0.20354;0.19843;0.19631;0.19545;0.19408;0.19382;0.19223;0.19189
treed_media,mvns,DTLZ2,20,0,1.5572953975213017,0.19188619223746595,0,49999,123,1.5573;0.30219;0.28136;0.27233;0.22437;0.2206;0.21637;0.21545;0.21418;0.21133;0.20928;0.20354;0.20354;0.19843;0.19631;0.19545;0.19408;0.19382;0.19223;0.19189
treed_media,mvns,MMF16_20,20,0,0.7900474208646038,0.00803137135219163,0,49999,2250,0.79005;0.029119;0.020419;0.017271;0.015618;0.014051;0.01258;0.011648;0.01112;0.010663;0.010256;0.0099493;0.0095987;0.0093538;0.0091124;0.0088747;0.0086018;0.0083484;0.0081943;0.0080314
c311,mvns,WFG9,20,0,0.7577957105850855,0.14335658531070294,0,49999,34,0.7578;0.19048;0.18628;0.17543;0.16833;0.16833;0.16009;0.16009;0.15668;0.15399;0.14743;0.14743;0.14727;0.147;0.14546;0.14537;0.14364;0.14352;0.14336;0.14336
treed_media,mvns,WFG9,20,0,0.7577957105850855,0.14335658531070294,0,49999,34,0.7578;0.19048;0.18628;0.17543;0.16833;0.16833;0.16009;0.16009;0.15668;0.15399;0.14743;0.14743;0.14727;0.147;0.14546;0.14537;0.14364;0.14352;0.14336;0.14336
