problema,D,M,geracao,count,regime,desal,N,aceito,slot,n_cand,flag_copia,frac_n1,fbest_rel_max
BBOB_F1,10,2,158,51,produtivo,21,,0,0,0,False,0.0,
BBOB_F1,10,2,162,51,produtivo,23,,0,0,0,False,0.0,
BBOB_F1,10,2,166,51,produtivo,31,,0,0,0,False,0.0,
BBOB_F1,10,2,170,51,produtivo,26,,1,0,1,False,0.71,
BBOB_F1,10,2,174,51,produtivo,27,,1,0,1,False,0.61,
BBOB_F1,10,2,178,51,produtivo,19,,1,0,1,False,0.78,
BBOB_F1,10,2,182,51,produtivo,28,,1,0,1,False,0.62,
BBOB_F1,10,2,186,51,produtivo,22,,1,0,1,False,0.75,
BBOB_F1,10,2,190,51,produtivo,19,,1,0,1,False,0.73,
BBOB_F1,10,2,194,26,produtivo,6,,1,0,1,False,0.93,
BBOB_F1,10,2,198,21,produtivo,8,,1,0,1,False,0.9,
BBOB_F1,10,2,202,28,produtivo,8,,1,0,1,False,0.9,
BBOB_F1,10,2,206,17,produtivo,6,,1,0,1,False,0.92,
BBOB_F1,10,2,210,17,produtivo,8,,1,0,1,False,0.91,
BBOB_F1,10,2,214,31,produtivo,7,,1,0,1,False,0.92,
BBOB_F1,10,2,218,51,produtivo,19,,1,0,1,False,0.79,
BBOB_F1,10,2,222,51,produtivo,13,,1,0,1,False,0.87,
BBOB_F1,10,2,226,49,produtivo,8,,1,0,1,False,0.92,
BBOB_F1,10,2,230,8,produtivo,0,,1,0,1,False,0.9,
BBOB_F1,10,2,234,6,produtivo,7,,1,0,1,False,0.92,
BBOB_F1,10,2,238,39,produtivo,6,,1,0,1,False,0.93,
BBOB_F1,10,2,242,10,produtivo,7,,1,0,1,False,0.92,
BBOB_F1,10,2,246,8,produtivo,6,,1,0,1,False,0.91,
BBOB_F1,10,2,250,51,produtivo,21,,1,0,1,False,0.75,
BBOB_F1,10,2,254,45,produtivo,9,,1,0,1,False,0.9,
BBOB_F1,10,2,258,12,produtivo,7,,1,0,1,False,0.92,
BBOB_F1,10,2,262,25,produtivo,4,,1,0,1,False,0.96,
BBOB_F1,10,2,266,51,produtivo,13,,1,0,1,False,0.82,
BBOB_F1,10,2,270,2,produtivo,1,,1,0,1,False,0.92,
BBOB_F1,10,2,274,9,produtivo,6,,1,0,1,False,0.93,
BBOB_F1,10,2,278,8,produtivo,8,,1,0,1,False,0.91,
BBOB_F1,10,2,282,7,produtivo,5,,1,0,1,False,0.95,
BBOB_F1,10,2,286,51,produtivo,14,,1,0,1,False,0.83,
BBOB_F1,10,2,290,51,produtivo,10,,1,0,1,False,0.88,4.238120899316895e-08
BBOB_F17,10,2,2,0,no-op,90,,0,1,1,True,1.0,
BBOB_F17,10,2,6,0,no-op,90,,0,1,1,True,1.0,
BBOB_F17,10,2,10,0,no-op,90,,0,1,1,True,1.0,
BBOB_F17,10,2,14,0,no-op,91,,0,1,1,True,0.99,
BBOB_F17,10,2,18,0,no-op,90,,0,1,1,True,0.99,
BBOB_F17,10,2,22,0,no-op,91,,0,1,1,True,0.96,
BBOB_F17,10,2,26,0,no-op,89,,0,1,1,True,0.9,
BBOB_F17,10,2,30,7,produtivo,9,,1,0,1,False,0.9,
BBOB_F17,10,2,34,12,produtivo,5,,1,0,1,False,0.9,
BBOB_F17,10,2,38,39,produtivo,7,,1,0,1,False,0.93,
BBOB_F17,10,2,42,12,produtivo,3,,1,0,1,False,0.95,
BBOB_F17,10,2,46,19,produtivo,8,,1,0,1,False,0.92,
BBOB_F17,10,2,50,31,produtivo,7,,1,0,1,False,0.93,
BBOB_F17,10,2,54,49,produtivo,10,,1,0,1,False,0.9,
BBOB_F17,10,2,58,51,produtivo,9,,1,0,1,False,0.89,
BBOB_F17,10,2,62,42,produtivo,7,,1,0,1,False,0.93,
BBOB_F17,10,2,66,0,no-op,88,,0,1,1,True,0.91,
BBOB_F17,10,2,70,26,produtivo,6,,1,0,1,False,0.93,
BBOB_F17,10,2,74,16,produtivo,9,,1,0,1,False,0.91,
BBOB_F17,10,2,78,2,produtivo,0,,1,0,1,False,0.91,
BBOB_F17,10,2,82,32,produtivo,7,,1,0,1,False,0.92,
BBOB_F17,10,2,86,26,produtivo,8,,1,0,1,False,0.92,
BBOB_F17,10,2,90,10,produtivo,7,,1,0,1,False,0.9,
BBOB_F17,10,2,94,0,no-op,89,,0,1,1,True,0.91,
BBOB_F17,10,2,98,17,produtivo,8,,1,0,1,False,0.92,
BBOB_F17,10,2,102,38,produtivo,6,,1,0,1,False,0.92,
BBOB_F17,10,2,106,25,produtivo,7,,1,0,1,False,0.93,
BBOB_F17,10,2,110,22,produtivo,6,,1,0,1,False,0.93,
BBOB_F17,10,2,114,30,produtivo,7,,1,0,1,False,0.9,
BBOB_F17,10,2,118,10,produtivo,9,,1,0,1,False,0.91,
BBOB_F17,10,2,122,38,produtivo,5,,1,0,1,False,0.94,
BBOB_F17,10,2,126,21,produtivo,9,,1,0,1,False,0.9,
BBOB_F17,10,2,130,17,produtivo,8,,1,0,1,False,0.9,
BBOB_F17,10,2,134,51,produtivo,22,,1,0,1,False,0.74,
BBOB_F17,10,2,138,51,produtivo,26,,1,0,1,False,0.73,
BBOB_F17,10,2,142,39,produtivo,7,,1,0,1,False,0.93,
BBOB_F17,10,2,146,32,produtivo,7,,1,0,1,False,0.92,
BBOB_F17,10,2,150,51,produtivo,23,,1,0,1,False,0.73,
BBOB_F17,10,2,154,25,produtivo,9,,1,0,1,False,0.9,
BBOB_F17,10,2,158,51,produtivo,22,,1,0,1,False,0.71,
BBOB_F17,10,2,162,51,produtivo,28,,1,0,1,False,0.65,
BBOB_F17,10,2,166,29,produtivo,8,,1,0,1,False,0.9,
BBOB_F17,10,2,170,40,produtivo,6,,1,0,1,False,0.93,
BBOB_F17,10,2,174,44,produtivo,4,,1,0,1,False,0.95,
BBOB_F17,10,2,178,51,produtivo,15,,1,0,1,False,0.81,
BBOB_F17,10,2,182,51,produtivo,17,,1,0,1,False,0.8,
BBOB_F17,10,2,186,50,produtivo,9,,1,0,1,False,0.9,
BBOB_F17,10,2,190,51,produtivo,20,,1,0,1,False,0.78,
BBOB_F17,10,2,194,51,produtivo,16,,1,0,1,False,0.81,
BBOB_F17,10,2,198,4,produtivo,6,,1,0,1,False,0.9,
BBOB_F17,10,2,202,27,produtivo,7,,1,0,1,False,0.93,
BBOB_F17,10,2,206,51,produtivo,11,,1,0,1,False,0.86,
BBOB_F17,10,2,210,32,produtivo,4,,1,0,1,False,0.96,
BBOB_F17,10,2,214,5,produtivo,6,,1,0,1,False,0.94,
BBOB_F17,10,2,218,29,produtivo,10,,1,0,1,False,0.9,
BBOB_F17,10,2,222,31,produtivo,9,,1,0,1,False,0.9,
BBOB_F17,10,2,226,41,produtivo,7,,1,0,1,False,0.91,
BBOB_F17,10,2,230,51,produtivo,17,,1,0,1,False,0.83,
BBOB_F17,10,2,234,35,produtivo,8,,1,0,1,False,0.9,
BBOB_F17,10,2,238,31,produtivo,9,,1,0,1,False,0.91,
BBOB_F17,10,2,242,36,produtivo,9,,1,0,1,False,0.9,
BBOB_F17,10,2,246,51,produtivo,12,,1,0,1,False,0.86,
BBOB_F17,10,2,250,19,produtivo,8,,1,0,1,False,0.9,
BBOB_F17,10,2,254,51,produtivo,25,,1,0,1,False,0.72,
BBOB_F17,10,2,258,41,produtivo,9,,1,0,1,False,0.9,
BBOB_F17,10,2,262,32,produtivo,5,,1,0,1,False,0.94,
BBOB_F17,10,2,266,21,produtivo,7,,1,0,1,False,0.93,
BBOB_F17,10,2,270,45,produtivo,6,,1,0,1,False,0.93,
BBOB_F17,10,2,274,34,produtivo,9,,1,0,1,False,0.9,2.187961453833112e-08
BBOB_F22,10,2,2,0,no-op,90,,0,1,1,True,0.99,
BBOB_F22,10,2,6,0,no-op,90,,0,1,1,True,1.0,
BBOB_F22,10,2,10,0,no-op,90,,0,1,1,True,1.0,
BBOB_F22,10,2,14,0,no-op,90,,0,1,1,True,1.0,
BBOB_F22,10,2,18,0,no-op,89,,0,1,1,True,0.98,
BBOB_F22,10,2,22,0,no-op,90,,0,1,1,True,1.0,
BBOB_F22,10,2,26,0,no-op,91,,0,1,1,True,1.0,
BBOB_F22,10,2,30,0,no-op,90,,0,1,1,True,1.0,
BBOB_F22,10,2,34,0,no-op,90,,0,1,1,True,1.0,
BBOB_F22,10,2,38,0,no-op,91,,0,1,1,True,0.98,
BBOB_F22,10,2,42,0,no-op,87,,0,1,1,True,0.97,
BBOB_F22,10,2,46,0,no-op,90,,0,1,1,True,0.98,
BBOB_F22,10,2,50,0,no-op,86,,0,1,1,True,0.97,
BBOB_F22,10,2,54,0,no-op,89,,0,1,1,True,0.95,
BBOB_F22,10,2,58,3,produtivo,5,,1,0,1,False,0.93,
BBOB_F22,10,2,62,16,produtivo,9,,1,0,1,False,0.9,
BBOB_F22,10,2,66,26,produtivo,9,,1,0,1,False,0.9,
BBOB_F22,10,2,70,51,produtivo,18,,1,0,1,False,0.77,
BBOB_F22,10,2,74,51,produtivo,22,,1,0,1,False,0.73,
BBOB_F22,10,2,78,51,produtivo,20,,1,0,1,False,0.77,
BBOB_F22,10,2,82,51,produtivo,22,,1,0,1,False,0.75,
BBOB_F22,10,2,86,51,produtivo,28,,1,0,1,False,0.64,
BBOB_F22,10,2,90,51,produtivo,14,,1,0,1,False,0.8,
BBOB_F22,10,2,94,51,produtivo,22,,1,0,1,False,0.64,
BBOB_F22,10,2,98,51,produtivo,31,,1,0,1,False,0.54,
BBOB_F22,10,2,102,51,produtivo,26,,1,0,1,False,0.68,
BBOB_F22,10,2,106,6,produtivo,6,,1,0,1,False,0.94,
BBOB_F22,10,2,110,51,produtivo,27,,1,0,1,False,0.6,
BBOB_F22,10,2,114,51,produtivo,35,,1,0,1,False,0.59,
BBOB_F22,10,2,118,51,produtivo,12,,1,0,1,False,0.78,
BBOB_F22,10,2,122,43,produtivo,9,,1,0,1,False,0.91,
BBOB_F22,10,2,126,51,produtivo,20,,1,0,1,False,0.72,
BBOB_F22,10,2,130,51,produtivo,28,,1,0,1,False,0.64,
BBOB_F22,10,2,134,51,produtivo,22,,1,0,1,False,0.71,
BBOB_F22,10,2,138,51,produtivo,21,,1,0,1,False,0.76,
BBOB_F22,10,2,142,51,produtivo,26,,1,0,1,False,0.68,
BBOB_F22,10,2,146,51,produtivo,14,,1,0,1,False,0.79,
BBOB_F22,10,2,150,51,produtivo,29,,1,0,1,False,0.68,
BBOB_F22,10,2,154,51,produtivo,24,,1,0,1,False,0.68,
BBOB_F22,10,2,158,51,produtivo,27,,1,0,1,False,0.68,
BBOB_F22,10,2,162,51,produtivo,23,,1,0,1,False,0.75,
BBOB_F22,10,2,166,51,produtivo,26,,1,0,1,False,0.63,
BBOB_F22,10,2,170,51,produtivo,33,,1,0,1,False,0.55,
BBOB_F22,10,2,174,51,produtivo,41,,1,0,1,False,0.53,
BBOB_F22,10,2,178,51,produtivo,29,,1,0,1,False,0.66,
BBOB_F22,10,2,182,51,produtivo,15,,1,0,1,False,0.8,
BBOB_F22,10,2,186,51,produtivo,20,,1,0,1,False,0.76,
BBOB_F22,10,2,190,51,produtivo,19,,1,0,1,False,0.79,
