problema,D,M,aceitos,rejeitados,M_esperado,ok,dist_ext,todos_gt_eps,n_redes,M_saidas,n_treino,init_esp,fe_apos_boot,fe_esp
BBOB_F1,10,2,2,0,2,True,"[6.285434, 6.156543]",True,2,1,109,109,111,111
BBOB_F17,10,2,2,0,2,True,"[5.925408, 9.140349]",True,2,1,109,109,111,111
BBOB_F22,10,2,2,0,2,True,"[6.542464, 6.788343]",True,2,1,109,109,111,111
BBOB_F37,10,2,2,0,2,True,"[7.516586, 5.669859]",True,2,1,109,109,111,111
BBOB_F49,10,2,2,0,2,True,"[6.584171, 8.168111]",True,2,1,109,109,111,111
BBOB_F5,10,2,2,0,2,True,"[6.743129, 5.37794]",True,2,1,109,109,111,111
BBOB_F55,10,2,2,0,2,True,"[8.753101, 7.717465]",True,2,1,109,109,111,111
DTLZ1,7,3,3,0,3,True,"[0.43157, 0.574641, 0.582913]",True,3,1,76,76,79,79
DTLZ2,12,3,3,0,3,True,"[0.82759, 0.736926, 0.61612]",True,3,1,131,131,134,134
DTLZ3,12,3,3,0,3,True,"[0.673144, 0.583938, 0.777743]",True,3,1,131,131,134,134
DTLZ4,12,3,3,0,3,True,"[0.85629, 0.693044, 0.692856]",True,3,1,131,131,134,134
DTLZ7,22,3,3,0,3,True,"[1.20932, 1.203509, 1.282147]",True,3,1,241,241,244,244
MMF1,2,2,2,0,2,True,"[0.193138, 0.119427]",True,2,1,21,21,23,23
MMF11_L,2,2,2,0,2,True,"[0.117745, 0.11512]",True,2,1,21,21,23,23
MMF16_20,20,3,3,0,3,True,"[1.22016, 1.438684, 1.060098]",True,3,1,219,219,222,222
MMF4,2,2,2,0,2,True,"[0.08606, 0.181559]",True,2,1,21,21,23,23
WFG1,22,2,2,0,2,True,"[31.635955, 27.45085]",True,2,1,241,241,243,243
WFG2,22,2,2,0,2,True,"[27.317898, 30.084838]",True,2,1,241,241,243,243
WFG4,22,2,2,0,2,True,"[31.772457, 26.692993]",True,2,1,241,241,243,243
WFG5,22,2,2,0,2,True,"[25.94939, 26.622708]",True,2,1,241,241,243,243
WFG9,22,2,2,0,2,True,"[29.505916, 25.582001]",True,2,1,241,241,243,243
ZDT1,30,2,2,0,2,True,"[1.409424, 1.679288]",True,2,1,329,329,331,331
ZDT3,30,2,2,0,2,True,"[1.554495, 1.643353]",True,2,1,329,329,331,331
ZDT4,10,2,2,0,2,True,"[5.73313, 4.777239]",True,2,1,109,109,111,111
ZDT6,10,2,2,0,2,True,"[0.704925, 0.596686]",True,2,1,109,109,111,111
