problema,geracao,dYmin,dYmax,n_front1,n_front1_ev,range0
BBOB_F1,3,2.7164938516683932e-08,2.4990074095216275e-08,8,2,False
BBOB_F1,7,3.058628300258584e-08,2.9779977080974337e-08,2,2,False
BBOB_F1,11,3.058628300258584e-08,2.9779977080974337e-08,3,4,False
BBOB_F1,15,3.058628300258584e-08,2.8054430906756776e-08,4,5,False
BBOB_F1,19,3.058628300258584e-08,2.8054430906756776e-08,5,6,False
BBOB_F1,23,3.058628300258584e-08,2.8054430906756776e-08,6,6,False
BBOB_F1,27,3.058628300258584e-08,3.8685672940524494e-08,7,8,False
BBOB_F1,31,3.058628300258584e-08,3.8685672940524494e-08,8,8,False
BBOB_F17,3,7.472117084316608e-09,3.7707976027778315e-08,6,3,False
BBOB_F17,7,8.741093015116105e-09,3.7707976027778315e-08,4,4,False
BBOB_F17,11,8.741093015116105e-09,3.7707976027778315e-08,5,5,False
BBOB_F17,15,8.741093015116105e-09,3.7707976027778315e-08,5,3,False
BBOB_F17,19,8.741093015116105e-09,3.7707976027778315e-08,3,3,False
BBOB_F17,23,8.741093015116105e-09,3.7707976027778315e-08,3,3,False
BBOB_F17,27,8.741093015116105e-09,3.7707976027778315e-08,3,3,False
BBOB_F17,31,8.741093015116105e-09,3.7707976027778315e-08,3,3,False
BBOB_F22,3,5.7059718353214895e-08,2.8105244151855336e-08,5,6,False
BBOB_F22,7,1.951309487327001e-08,3.8919266865477994e-08,5,4,False
BBOB_F22,11,1.951309487327001e-08,3.8919266865477994e-08,4,4,False
BBOB_F22,15,2.687092390113904e-08,3.0285147866439134e-08,5,5,False
BBOB_F22,19,1.8638538732306144e-08,1.9548090906339233e-08,5,6,False
BBOB_F22,23,1.8638538732306144e-08,1.9548090906339233e-08,7,7,False
BBOB_F22,27,1.8638538732306144e-08,1.9548090906339233e-08,6,7,False
BBOB_F22,31,4.9602335104064424e-08,2.4214409628372258e-08,7,7,False
BBOB_F37,3,3.264728441850217e-08,1.082681526627154e-08,5,3,False
BBOB_F37,7,3.436410456837284e-08,2.3516646109297572e-08,3,3,False
BBOB_F37,11,3.436410456837284e-08,2.3516646109297572e-08,3,3,False
BBOB_F37,15,3.436410456837284e-08,2.3516646109297572e-08,3,3,False
BBOB_F37,19,3.436410456837284e-08,2.3516646109297572e-08,3,3,False
BBOB_F37,23,3.436410456837284e-08,2.3516646109297572e-08,4,4,False
BBOB_F37,27,3.436410456837284e-08,2.3516646109297572e-08,3,3,False
BBOB_F37,31,3.436410456837284e-08,3.016914095988482e-08,4,4,False
BBOB_F49,3,4.428037204996407e-08,4.3652672297019146e-08,5,5,False
BBOB_F49,7,4.428037204996407e-08,4.3652672297019146e-08,5,5,False
BBOB_F49,11,4.428037204996407e-08,4.3652672297019146e-08,5,5,False
BBOB_F49,15,4.428037204996407e-08,4.3652672297019146e-08,6,6,False
BBOB_F49,19,2.0972233208296822e-08,4.3652672297019146e-08,5,5,False
BBOB_F49,23,2.0972233208296822e-08,4.3652672297019146e-08,6,7,False
BBOB_F49,27,2.0972233208296822e-08,4.3652672297019146e-08,7,7,False
BBOB_F49,31,2.0972233208296822e-08,4.3652672297019146e-08,7,7,False
BBOB_F5,3,4.69508501860692e-08,3.295424973808883e-08,7,1,False
BBOB_F5,7,2.895086700877192e-08,2.984206417649158e-08,2,3,False
BBOB_F5,11,2.9633439880694395e-09,2.984206417649158e-08,4,4,False
BBOB_F5,15,2.9633439880694395e-09,2.984206417649158e-08,5,5,False
BBOB_F5,19,4.1285599795463925e-08,2.984206417649158e-08,6,6,False
BBOB_F5,23,4.1285599795463925e-08,2.984206417649158e-08,6,7,False
BBOB_F5,27,4.1285599795463925e-08,2.984206417649158e-08,7,8,False
BBOB_F5,31,4.1285599795463925e-08,2.984206417649158e-08,9,9,False
BBOB_F55,3,3.315279793962711e-08,3.196500703176748e-08,4,4,False
BBOB_F55,7,3.315279793962711e-08,3.196500703176748e-08,3,3,False
BBOB_F55,11,3.315279793962711e-08,3.196500703176748e-08,3,3,False
BBOB_F55,15,3.315279793962711e-08,3.196500703176748e-08,3,3,False
BBOB_F55,19,3.315279793962711e-08,3.196500703176748e-08,3,3,False
BBOB_F55,23,3.315279793962711e-08,3.196500703176748e-08,3,3,False
BBOB_F55,27,3.315279793962711e-08,3.196500703176748e-08,4,4,False
BBOB_F55,31,2.8808031927071088e-08,3.381853091623043e-08,2,2,False
