problema,geracao,dYmin,dYmax,n_front1,n_front1_ev,range0
DTLZ1,3,2.2276053298313454e-08,3.7458597697656654e-08,18,19,False
DTLZ1,7,1.9608979125514302e-08,3.7458597697656654e-08,18,19,False
DTLZ1,11,1.9608979125514302e-08,2.2366542667698762e-08,21,22,False
DTLZ1,15,2.6806497533414282e-08,2.5368700909004635e-08,22,22,False
DTLZ1,19,2.6806497533414282e-08,2.5368700909004635e-08,15,15,False
DTLZ1,23,2.6806497533414282e-08,2.5368700909004635e-08,15,15,False
DTLZ1,27,2.6806497533414282e-08,2.5368700909004635e-08,16,16,False
DTLZ1,31,2.6806497533414282e-08,2.5368700909004635e-08,14,14,False
DTLZ2,3,3.333453134271598e-08,2.5494831262551914e-08,42,40,False
DTLZ2,7,1.0500374674887444e-08,3.5227905962198236e-08,41,39,False
DTLZ2,11,1.0500374674887444e-08,3.5227905962198236e-08,40,39,False
DTLZ2,15,8.67982457696561e-09,3.5227905962198236e-08,39,39,False
DTLZ2,19,2.142533584479833e-15,3.5227905962198236e-08,32,25,False
DTLZ2,23,2.142533584479833e-15,3.2288162942619156e-08,25,26,False
DTLZ2,27,2.142533584479833e-15,3.2288162942619156e-08,26,27,False
DTLZ2,31,9.794636444022625e-32,3.0981558790647655e-08,28,29,False
DTLZ3,3,3.094250384964611e-08,3.3879294507816795e-08,19,19,False
DTLZ3,7,2.378707753140265e-08,2.059515163638251e-08,19,19,False
DTLZ3,11,2.378707753140265e-08,4.705177413123399e-08,15,15,False
DTLZ3,15,7.778636461574912e-09,2.059515163638251e-08,8,6,False
DTLZ3,19,1.4971014881058846e-14,2.059515163638251e-08,6,6,False
DTLZ3,23,6.309399039893177e-13,2.059515163638251e-08,6,6,False
DTLZ3,27,6.309399039893177e-13,2.059515163638251e-08,6,5,False
DTLZ3,31,6.309399039893177e-13,3.107334007969436e-08,5,5,False
DTLZ4,3,2.6068972703199362e-08,0.3144341530238368,7,23,False
DTLZ4,7,2.4275247104335907e-15,0.3144341530238368,8,25,False
DTLZ4,11,2.4275247104335907e-15,0.3144341530238368,8,26,False
DTLZ4,15,2.4275247104335907e-15,0.3144341530238368,9,26,False
DTLZ4,19,2.4275247104335907e-15,0.38379765034903746,9,27,False
DTLZ4,23,2.4275247104335907e-15,0.38379765034903746,9,28,False
DTLZ4,27,2.4275247104335907e-15,0.38379765034903746,10,30,False
DTLZ4,31,2.4275247104335907e-15,0.38379765034903746,11,30,False
DTLZ7,3,3.6778977740945304e-08,1.8632718058448554e-08,21,2,False
DTLZ7,7,1.7418912378269446e-09,2.5604797416628324e-08,2,2,False
DTLZ7,11,1.7418912378269446e-09,2.5604797416628324e-08,2,2,False
DTLZ7,15,1.2919598364758647e-08,2.5604797416628324e-08,2,1,False
DTLZ7,19,1.3796256786960094e-08,2.2946984488827847e-08,2,2,True
DTLZ7,23,1.3796256786960094e-08,2.2946984488827847e-08,3,3,True
DTLZ7,27,3.659297540636978e-08,2.2946984488827847e-08,4,4,False
DTLZ7,31,3.659297540636978e-08,2.2946984488827847e-08,4,4,False
MMF1,3,1.0268557274873635e-08,2.7285473014616713e-08,8,8,False
MMF1,7,1.0268557274873635e-08,2.7285473014616713e-08,8,8,False
MMF1,11,1.0268557274873635e-08,2.7285473014616713e-08,9,9,False
MMF1,15,1.0268557274873635e-08,2.7285473014616713e-08,9,10,False
MMF1,19,1.0268557274873635e-08,2.7285473014616713e-08,10,10,False
MMF1,23,1.0268557274873635e-08,2.7285473014616713e-08,11,12,False
MMF1,27,2.503887704376564e-08,1.9710286365302756e-08,12,12,False
MMF1,31,2.503887704376564e-08,1.9710286365302756e-08,12,12,False
MMF11_L,3,3.580225599448782e-08,2.653788948460198e-08,9,10,False
MMF11_L,7,3.580225599448782e-08,2.653788948460198e-08,9,7,False
MMF11_L,11,1.696031170446016e-08,1.7568428957406224e-08,8,7,False
MMF11_L,15,1.696031170446016e-08,1.9253856148836598e-08,7,7,False
MMF11_L,19,1.696031170446016e-08,1.9253856148836598e-08,8,9,False
MMF11_L,23,1.696031170446016e-08,1.9253856148836598e-08,10,11,False
MMF11_L,27,1.696031170446016e-08,2.069187447944632e-08,11,12,False
MMF11_L,31,1.696031170446016e-08,2.069187447944632e-08,13,13,False
MMF16_20,3,1.2188467765516094e-08,3.949134475338282e-08,50,50,False
MMF16_20,7,1.2188467765516094e-08,3.949134475338282e-08,51,52,False
MMF16_20,11,1.2188467765516094e-08,3.949134475338282e-08,54,55,False
MMF16_20,15,1.9080497542874941e-31,3.5800090249902505e-08,56,57,False
MMF16_20,19,2.4696987042668427e-31,3.5800090249902505e-08,51,51,False
MMF16_20,23,2.4696987042668427e-31,3.353506890979971e-08,50,50,False
MMF16_20,27,2.4696987042668427e-31,3.353506890979971e-08,51,51,False
MMF16_20,31,2.4696987042668427e-31,4.253116252072834e-08,52,52,False
MMF4,3,1.0786401608258236e-08,2.4495576439533142e-08,10,11,False
MMF4,7,1.0786401608258236e-08,2.4495576439533142e-08,13,13,False
MMF4,11,1.0786401608258236e-08,2.4495576439533142e-08,13,13,False
MMF4,15,1.0786401608258236e-08,2.4495576439533142e-08,13,14,False
MMF4,19,1.0786401608258236e-08,2.4495576439533142e-08,13,14,False
MMF4,23,1.0786401608258236e-08,2.4495576439533142e-08,15,14,False
MMF4,27,8.319351170707838e-09,2.4495576439533142e-08,16,16,False
MMF4,31,8.319351170707838e-09,2.4495576439533142e-08,16,17,False
WFG1,3,1.777079367817492e-08,1.54680324483548e-08,19,19,False
WFG1,7,1.777079367817492e-08,1.54680324483548e-08,20,21,False
WFG1,11,1.777079367817492e-08,1.54680324483548e-08,23,23,False
WFG1,15,1.777079367817492e-08,1.54680324483548e-08,25,25,False
WFG1,19,1.777079367817492e-08,1.54680324483548e-08,26,26,False
WFG1,23,1.777079367817492e-08,1.54680324483548e-08,26,26,False
WFG1,27,1.777079367817492e-08,1.54680324483548e-08,27,27,False
WFG1,31,1.777079367817492e-08,1.54680324483548e-08,28,29,False
WFG2,3,2.237903567884496e-08,4.5106508078310516e-08,8,8,False
WFG2,7,2.237903567884496e-08,4.5106508078310516e-08,8,8,False
WFG2,11,2.237903567884496e-08,4.5106508078310516e-08,8,8,False
WFG2,15,2.237903567884496e-08,4.5106508078310516e-08,8,8,False
WFG2,19,2.237903567884496e-08,4.5106508078310516e-08,8,8,False
WFG2,23,2.237903567884496e-08,4.5106508078310516e-08,6,6,False
WFG2,27,2.237903567884496e-08,4.5106508078310516e-08,6,6,False
WFG2,31,2.237903567884496e-08,4.5106508078310516e-08,6,6,False
WFG4,3,6.487497239954701e-09,4.13786106831873e-08,30,31,False
WFG4,7,1.4959018316573086e-08,4.13786106831873e-08,33,34,False
WFG4,11,2.6373540071444318e-08,4.13786106831873e-08,30,30,False
WFG4,15,2.6373540071444318e-08,4.13786106831873e-08,31,31,False
WFG4,19,2.6373540071444318e-08,4.13786106831873e-08,31,31,False
WFG4,23,2.6373540071444318e-08,4.13786106831873e-08,29,29,False
WFG4,27,2.6373540071444318e-08,4.13786106831873e-08,30,30,False
WFG4,31,2.6373540071444318e-08,4.13786106831873e-08,30,30,False
WFG5,3,2.6148550353446914e-08,2.199546746959218e-08,36,27,False
WFG5,7,2.6148550353446914e-08,2.199546746959218e-08,27,26,False
WFG5,11,2.1111870715700574e-08,2.4008915578921267e-08,21,21,False
WFG5,15,2.1111870715700574e-08,2.4008915578921267e-08,21,21,False
WFG5,19,2.7582202588973405e-08,3.996563409286121e-08,22,22,False
WFG5,23,2.7582202588973405e-08,3.996563409286121e-08,23,23,False
WFG5,27,2.7582202588973405e-08,3.996563409286121e-08,16,16,False
WFG5,31,2.98293817464571e-08,4.7497684756161093e-08,16,14,False
WFG9,3,2.73966062978559e-08,3.285235054389182e-08,15,15,False
WFG9,7,2.73966062978559e-08,3.285235054389182e-08,13,11,False
WFG9,11,2.73966062978559e-08,3.285235054389182e-08,11,11,False
WFG9,15,2.73966062978559e-08,3.285235054389182e-08,10,10,False
WFG9,19,2.73966062978559e-08,3.285235054389182e-08,10,10,False
WFG9,23,2.73966062978559e-08,3.285235054389182e-08,10,11,False
WFG9,27,3.312979912507523e-08,3.285235054389182e-08,11,11,False
WFG9,31,3.312979912507523e-08,3.285235054389182e-08,11,11,False
ZDT1,3,3.791898528179621e-08,3.109691493769605e-08,14,5,False
ZDT1,7,5.351926850240648e-08,4.1105817709044466e-08,5,2,False
ZDT1,11,1.6164334435564204e-09,3.8835350569237986e-08,3,4,False
ZDT1,15,3.4658363852799844e-08,3.383081668748324e-08,5,5,False
ZDT1,19,2.5163269273918355e-10,4.815092579746984e-08,6,7,False
ZDT1,23,2.5163269273918355e-10,4.815092579746984e-08,7,7,False
ZDT1,27,2.5163269273918355e-10,5.043919168795167e-08,7,6,False
ZDT1,31,2.5163269273918355e-10,5.043919168795167e-08,7,7,False
ZDT3,3,4.250607143160645e-08,1.9346082299774148e-08,12,7,False
ZDT3,7,4.250607143160645e-08,5.64768055448912e-08,7,8,False
ZDT3,11,4.250607143160645e-08,3.6531295214859975e-08,8,8,False
ZDT3,15,4.250607143160645e-08,3.6531295214859975e-08,8,8,False
ZDT3,19,4.250607143160645e-08,2.083669636324085e-09,8,8,False
ZDT3,23,4.250607143160645e-08,2.083669636324085e-09,8,8,False
ZDT3,27,4.250607143160645e-08,2.083669636324085e-09,8,8,False
ZDT3,31,4.250607143160645e-08,2.083669636324085e-09,8,8,False
ZDT4,3,3.056791132683894e-08,1.947521864717861e-08,8,8,False
ZDT4,7,3.056791132683894e-08,1.947521864717861e-08,8,9,False
ZDT4,11,3.056791132683894e-08,1.947521864717861e-08,10,11,False
ZDT4,15,3.056791132683894e-08,1.947521864717861e-08,11,9,False
ZDT4,19,3.056791132683894e-08,1.947521864717861e-08,9,10,False
ZDT4,23,8.712209451636645e-09,8.527768765803016e-09,9,9,False
ZDT4,27,3.796203868703725e-08,2.2132317938563772e-08,7,8,False
ZDT4,31,3.796203868703725e-08,2.2132317938563772e-08,8,5,False
ZDT6,3,3.859857049794218e-08,5.452179826619815e-08,7,8,False
ZDT6,7,3.859857049794218e-08,5.452179826619815e-08,7,7,False
ZDT6,11,3.859857049794218e-08,5.452179826619815e-08,6,6,False
ZDT6,15,3.859857049794218e-08,5.452179826619815e-08,5,6,False
ZDT6,19,3.859857049794218e-08,5.452179826619815e-08,6,7,False
ZDT6,23,3.859857049794218e-08,5.452179826619815e-08,5,4,False
ZDT6,27,3.859857049794218e-08,5.452179826619815e-08,4,5,False
ZDT6,31,3.859857049794218e-08,5.452179826619815e-08,5,5,False
