problema,D,M,s1_blocos,s1_esp,s1_ok,s2_blocos,s2_esp,s2_ok,s3_blocos,s3_esp,s3_ok,boot_g1,extra_final,ultimo_coberto,gmaxg,n_blocos_tot,n_falhas,u5_dX_max,u5_blocos,u7_viol,u7_viol_com_sonda,u3_fits,u3_esp,ftm_mono,ftm_max,fe_final
BBOB_F1,10,2,25,24,False,25,24,False,24,24,True,True,"[287, 290]",True,290,75,0,0.0,75,0,0,218,218,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",306,309
BBOB_F17,10,2,24,23,False,24,23,False,23,23,True,True,"[274, 275]",True,276,72,0,0.0,72,0,0,208,208,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",307,309
BBOB_F22,10,2,24,24,True,25,24,False,24,23,False,True,"[280, 283]",True,283,74,0,0.0,74,0,0,213,213,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",307,309
BBOB_F37,10,2,25,25,True,25,25,True,25,24,False,True,[292],True,294,76,0,0.0,76,0,0,221,221,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",307,309
BBOB_F49,10,2,24,24,True,25,24,False,24,23,False,True,"[283, 284]",True,284,74,0,0.0,74,0,0,214,214,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",306,309
BBOB_F5,10,2,24,23,False,24,24,True,23,23,True,True,[278],True,279,72,0,0.0,72,0,0,210,210,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",307,309
BBOB_F55,10,2,25,24,False,25,24,False,24,23,False,True,"[284, 286, 287]",True,287,75,0,0.0,75,0,0,216,216,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",307,309
DTLZ1,7,3,16,15,False,16,16,True,15,15,True,True,[182],True,183,48,0,0.0,48,0,0,138,138,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",214,216
DTLZ2,12,3,27,26,False,27,27,True,27,26,False,True,"[314, 316]",True,316,82,0,0.0,82,0,0,238,238,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",368,371
DTLZ3,12,3,27,27,True,28,27,False,27,26,False,True,"[319, 320]",True,320,83,0,0.0,83,0,0,241,241,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",369,371
DTLZ4,12,3,27,26,False,27,27,True,27,26,False,True,"[314, 316]",True,316,82,0,0.0,82,0,0,238,238,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",368,371
DTLZ7,22,3,55,54,False,55,54,False,54,54,True,True,"[647, 650]",True,650,165,0,0.0,165,0,0,488,488,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",679,681
MMF1,2,2,6,5,False,6,5,False,5,4,False,True,"[56, 58, 59]",True,59,18,0,0.0,18,0,0,45,45,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",59,61
MMF11_L,2,2,6,5,False,6,6,True,5,5,True,True,[62],True,63,18,0,0.0,18,0,0,48,48,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",59,61
MMF16_20,20,3,45,44,False,45,44,False,44,44,True,True,"[527, 530]",True,530,135,0,0.0,135,0,0,398,398,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": false}",617,619
MMF4,2,2,5,4,False,5,5,True,4,4,True,True,[50],True,51,15,0,0.0,15,0,0,39,39,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",59,61
WFG1,22,2,50,49,False,50,49,False,49,48,False,True,"[583, 584, 586]",True,586,150,0,0.0,150,0,0,440,440,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",677,681
WFG2,22,2,52,51,False,52,51,False,51,51,True,True,"[611, 614]",True,614,156,0,0.0,156,0,0,461,461,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",677,681
WFG4,22,2,50,49,False,50,49,False,49,48,False,True,"[583, 584, 586]",True,586,150,0,0.0,150,0,0,440,440,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": false}",679,681
WFG5,22,2,49,49,True,50,49,False,49,48,False,True,"[583, 584]",True,584,149,0,0.0,149,0,0,439,439,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": false}",678,681
WFG9,22,2,50,49,False,50,49,False,49,49,True,True,"[586, 587]",True,588,150,0,0.0,150,0,0,442,442,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",678,681
ZDT1,30,2,70,70,True,71,70,False,70,69,False,True,"[832, 835]",True,835,212,0,0.0,212,0,0,627,627,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",927,929
ZDT3,30,2,73,73,True,74,73,False,73,72,False,True,"[868, 871]",True,871,221,0,0.0,221,0,0,654,654,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",927,929
ZDT4,10,2,29,29,True,30,29,False,29,28,False,True,"[340, 343]",True,343,89,0,0.0,89,0,0,258,258,"{""PNN(s1)"": true, ""RBF-global(boot)"": true, ""RBF-global(s2)"": true, ""RBF-local(s3)"": true}",307,309
