problema,cabeca,obj,n_blocos,wape_1,wape_ult,wape_med,wape_max,dwape_pct,corr_1,corr_ult,corr_med,n_validas_min,n_nan,cob
BBOB_F1,RBF-global(boot),0,1,0.093911,0.093911,0.093911,0.093911,0.0,0.940735,0.940735,0.940735,2000,0,0
BBOB_F1,RBF-global(boot),1,1,0.05595,0.05595,0.05595,0.05595,0.0,0.978849,0.978849,0.978849,2000,0,0
BBOB_F1,RBF-global(s2),0,25,0.091116,0.043128,0.03647,0.091116,-52.66693006716712,0.944961,0.991079,0.993502,2000,0,0
BBOB_F1,RBF-global(s2),1,25,0.055571,0.029259,0.028699,0.060595,-47.34843713447662,0.979216,0.995177,0.995592,2000,0,0
BBOB_F1,RBF-local(s3),0,24,0.158869,0.624787,0.1590225,0.624787,293.2718151432941,0.851018,0.377173,0.930722,2000,0,0
BBOB_F1,RBF-local(s3),1,24,0.084785,0.475162,0.207328,1.016259,460.43168013209885,0.964987,0.852209,0.931567,2000,0,0
BBOB_F17,RBF-global(boot),0,1,0.226098,0.226098,0.226098,0.226098,0.0,0.952151,0.952151,0.952151,2000,0,0
BBOB_F17,RBF-global(boot),1,1,0.524002,0.524002,0.524002,0.524002,0.0,0.795418,0.795418,0.795418,2000,0,0
BBOB_F17,RBF-global(s2),0,24,0.221045,0.440435,0.1435455,0.440435,99.25128367526976,0.955477,0.86426,0.980591,2000,0,0
BBOB_F17,RBF-global(s2),1,24,0.524944,1.15509,0.479736,2.816247,120.04061385595416,0.791488,0.58609,0.819781,2000,0,0
BBOB_F17,RBF-local(s3),0,23,0.225063,0.416809,0.413307,0.792673,85.1965893994126,0.964454,0.907825,0.916983,2000,0,0
BBOB_F17,RBF-local(s3),1,23,0.556353,2.150482,1.183492,5.404676,286.5319320647143,0.820306,0.301876,0.633927,2000,0,0
BBOB_F22,RBF-global(boot),0,1,0.166769,0.166769,0.166769,0.166769,0.0,0.940205,0.940205,0.940205,2000,0,0
BBOB_F22,RBF-global(boot),1,1,0.041429,0.041429,0.041429,0.041429,0.0,0.964231,0.964231,0.964231,2000,0,0
BBOB_F22,RBF-global(s2),0,25,0.164841,0.282488,0.197977,0.326921,71.36998683579937,0.941404,0.86285,0.908838,2000,0,0
BBOB_F22,RBF-global(s2),1,25,0.040094,0.356842,0.25483,0.379051,790.013468349379,0.966319,0.439318,0.493161,2000,0,0
BBOB_F22,RBF-local(s3),0,24,0.29713,1.208742,0.5984149999999999,5.014376,306.8057752498906,0.863062,-0.456218,0.8343315,2000,0,0
BBOB_F22,RBF-local(s3),1,24,0.040478,3.431574,0.41018699999999997,4.522134,8377.627353130096,0.964269,0.661563,0.6612355000000001,2000,0,0
BBOB_F37,RBF-global(boot),0,1,0.030568,0.030568,0.030568,0.030568,0.0,0.981625,0.981625,0.981625,2000,0,0
