ts,rec,geracao,fe,aceitos,rejeitados,dist_ext,f_ext,spr,n_treino,tempo_fit_s,tempo_busca_s,f_best,n_front1,fe_treino_max,tempo_geracao_s,tempo_pred_sonda_s,dist_min_arquivo,modelo_hp,problema,D,M
2026-07-26T12:22:40Z,e74_boot,1,111,2,0,"[6.285433594173333, 6.156542966924341]","[13.154834893696929, 12.43876168184974]",10.67288782139263,109,0.8592099999999999,1.2669949999999999,"[30.649736763088104, 43.37586857267376]",8,108,2.480164,0.150833,"[6.285433594173333, 6.156542966924341]","{'tipo': 'newrbe', 'spread': 10.67288782139263, 'n_neuronios': 109, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.8592099999999999}",BBOB_F1,10,2
2026-07-26T12:23:53Z,e74_boot,1,111,2,0,"[5.9254084552749315, 9.140349378232015]","[-15085831.304411769, -282.2009683763172]",10.310054669944027,109,0.8172550000000001,1.286907,"[573097.8100169055, 11.73925963213151]",6,108,2.558089,0.161095,"[5.9254084552749315, 9.140349378232015]","{'tipo': 'newrbe', 'spread': 10.310054669944027, 'n_neuronios': 109, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.8172550000000001}",BBOB_F17,10,2
2026-07-26T12:26:04Z,e74_boot,1,111,2,0,"[6.542464488626018, 6.788342529052081]","[-213872.38908123225, 807.2729887950845]",10.649829648890002,109,0.810103,1.6296059999999999,"[206.08567425945012, 1039.564760018665]",5,108,2.776591,0.150817,"[6.542464488626018, 6.788342529052081]","{'tipo': 'newrbe', 'spread': 10.649829648890002, 'n_neuronios': 109, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.810103}",BBOB_F22,10,2
2026-07-26T12:26:37Z,e74_boot,1,111,2,0,"[7.516585591106481, 5.669859402456738]","[692.6339975597139, -605.0350411637241]",10.697889627668403,109,0.819354,1.6302590000000001,"[765.1825922063663, 256.51416318274755]",5,108,2.813219,0.157314,"[7.516585591106481, 5.669859402456738]","{'tipo': 'newrbe', 'spread': 10.697889627668403, 'n_neuronios': 109, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.819354}",BBOB_F37,10,2
2026-07-26T12:26:48Z,e74_boot,1,111,2,0,"[6.584170901545512, 8.168111254077298]","[-1163.2163449168543, 31.372160862275706]",10.256687345842828,109,1.048528,1.8752650000000002,"[173.19638198789613, 33.726960721957994]",5,108,3.414556,0.247127,"[6.584170901545512, 8.168111254077298]","{'tipo': 'newrbe', 'spread': 10.256687345842828, 'n_neuronios': 109, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 1.048528}",BBOB_F49,10,2
2026-07-26T12:28:59Z,e74_boot,1,111,2,0,"[6.743129132985557, 5.377940342533043]","[7.243458852700087, 919.1971049577046]",10.151496322392662,109,0.8252,1.990764,"[49.379147199736025, 624.2646191277454]",7,108,3.189136,0.15911,"[6.743129132985557, 5.377940342533043]","{'tipo': 'newrbe', 'spread': 10.151496322392662, 'n_neuronios': 109, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.8252}",BBOB_F5,10,2
2026-07-26T12:29:38Z,e74_boot,1,111,2,0,"[8.7531006244878, 7.717464864546967]","[56.05525982873037, 51.56902797663703]",10.264405727978815,109,0.814532,1.2471679999999998,"[54.96136275351944, 61.26256766263623]",4,108,2.422171,0.152552,"[8.7531006244878, 7.717464864546967]","{'tipo': 'newrbe', 'spread': 10.264405727978815, 'n_neuronios': 109, 'M_saidas': 1, 'n_redes': 2, 'tempo_fit_s': 0.814532}",BBOB_F55,10,2
2026-07-26T11:47:22Z,e74_boot,1,79,3,0,"[0.43156981709724773, 0.5746405099388584, 0.5829128492782634]","[-33.56504553460891, -107.60946880371196, -308.70361255891237]",0.7057209180090902,76,0.865283,1.5845200000000002,"[0.21001422959149116, 0.12056326550580404, 0.22425293422877285]",17,75,2.850654,0.176201,"[0.43156981709724773, 0.5746405099388584, 0.5829128492782634]","{'tipo': 'newrbe', 'spread': 0.7057209180090902, 'n_neuronios': 76, 'M_saidas': 1, 'n_redes': 3, 'tempo_fit_s': 0.865283}",DTLZ1,7,3
2026-07-26T12:47:30Z,e74_boot,1,134,3,0,"[0.8275901803915617, 0.7369258453219557, 0.6161202846043331]","[-0.4080692862255746, -0.40768454327815107, -0.3188157369057394]",1.1628606927616107,131,0.934118,1.98354,"[0.0006324275230340894, 0.015611760182771927, 0.008002125924842]",41,130,3.475579,0.226184,"[0.8275901803915617, 0.7369258453219557, 0.6161202846043331]","{'tipo': 'newrbe', 'spread': 1.1628606927616107, 'n_neuronios': 131, 'M_saidas': 1, 'n_redes': 3, 'tempo_fit_s': 0.934118}",DTLZ2,12,3
2026-07-26T12:50:22Z,e74_boot,1,134,3,0,"[0.6731442972580963, 0.5839377651155065, 0.7777433715375891]","[-284.8438320335888, -400.28897731603075, -278.20367115164026]",1.3199230397473947,131,0.9172210000000001,1.781109,"[0.394332388482722, 0.8813552787887889, 8.049770604304667]",19,130,3.118088,0.223591,"[0.6731442972580963, 0.5839377651155065, 0.7777433715375891]","{'tipo': 'newrbe', 'spread': 1.3199230397473947, 'n_neuronios': 131, 'M_saidas': 1, 'n_redes': 3, 'tempo_fit_s': 0.9172210000000001}",DTLZ3,12,3
