problema,cabeca,classe,frac_1o,frac_ult,frac_med
MMF4,PNN(s1),nivel_3,0.581,0.538,0.5155
MMF4,PNN(s1),nivel_4,0.112,0.266,0.1985
WFG1,PNN(s1),nivel_1,0.077,0.0815,0.07133
WFG1,PNN(s1),nivel_2,0.2795,0.3095,0.27564999999999995
WFG1,PNN(s1),nivel_3,0.432,0.482,0.494
WFG1,PNN(s1),nivel_4,0.2115,0.127,0.15902
WFG2,PNN(s1),nivel_1,0.1435,0.117,0.10808653846153847
WFG2,PNN(s1),nivel_2,0.361,0.2635,0.33522115384615386
WFG2,PNN(s1),nivel_3,0.337,0.4445,0.39590384615384616
WFG2,PNN(s1),nivel_4,0.1585,0.175,0.16078846153846155
WFG4,PNN(s1),nivel_1,0.1205,0.084,0.10225
WFG4,PNN(s1),nivel_2,0.3645,0.297,0.31581
WFG4,PNN(s1),nivel_3,0.3615,0.424,0.41096000000000005
WFG4,PNN(s1),nivel_4,0.1535,0.195,0.17098
WFG5,PNN(s1),nivel_1,0.052,0.0015,0.016785714285714282
WFG5,PNN(s1),nivel_2,0.211,0.1815,0.13846938775510204
WFG5,PNN(s1),nivel_3,0.449,0.507,0.552061224489796
WFG5,PNN(s1),nivel_4,0.288,0.31,0.29268367346938773
WFG9,PNN(s1),nivel_1,0.1065,0.0195,0.01992
WFG9,PNN(s1),nivel_2,0.2705,0.067,0.11085
WFG9,PNN(s1),nivel_3,0.3785,0.367,0.51506
WFG9,PNN(s1),nivel_4,0.2445,0.5465,0.35417000000000004
ZDT1,PNN(s1),nivel_1,0.097,0.8785,0.29837142857142845
ZDT1,PNN(s1),nivel_2,0.2055,0.0,0.021842857142857143
ZDT1,PNN(s1),nivel_3,0.369,0.002,0.1662642857142857
ZDT1,PNN(s1),nivel_4,0.3285,0.1195,0.5135214285714288
ZDT3,PNN(s1),nivel_1,0.0835,0.007,0.01204109589041096
ZDT3,PNN(s1),nivel_2,0.298,0.037,0.07951369863013699
ZDT3,PNN(s1),nivel_3,0.3865,0.632,0.45515068493150684
ZDT3,PNN(s1),nivel_4,0.232,0.324,0.45329452054794517
ZDT4,PNN(s1),nivel_1,0.115,0.0135,0.041999999999999996
ZDT4,PNN(s1),nivel_2,0.3475,0.182,0.2420344827586207
ZDT4,PNN(s1),nivel_3,0.393,0.456,0.4717758620689655
ZDT4,PNN(s1),nivel_4,0.1445,0.3485,0.2441896551724138
ZDT6,PNN(s1),nivel_1,0.0765,0.01,0.135
ZDT6,PNN(s1),nivel_2,0.2895,0.525,0.09025
ZDT6,PNN(s1),nivel_3,0.4435,0.08,0.30272916666666666
ZDT6,PNN(s1),nivel_4,0.1905,0.385,0.4720208333333333
