problema,e74,melhor_piso,bate_piso,gap_pct,rank_sa,n_sa,piso_moead,piso_nsga2,piso_nsga3,piso_smsemoa
BBOB_F1,0.002952605854949,0.1359531134257377,True,-97.82821755195639,2,13,0.2582138795238207,0.1359531134257377,0.137318662091244,0.1480915227119584
BBOB_F17,0.0243406072264811,0.0206141256299147,False,18.077320685184066,6,13,0.0339335599190253,0.0206141256299147,0.0244220835244481,0.0213354281482618
BBOB_F22,0.0818153289196167,0.1591300073706684,True,-48.58585739329433,5,13,0.8116115946394648,0.2676864895703527,0.3007149536569143,0.1591300073706684
BBOB_F37,0.2112893841684316,0.2539185871646663,True,-16.788531896087488,7,13,0.4524787718089781,0.2762060842222105,0.3268568768897895,0.2539185871646663
BBOB_F49,0.1493821760062677,0.2070601036537373,True,-27.85564511448489,5,13,0.4078188625287026,0.2070601036537373,0.306760266506344,0.2961792032016101
BBOB_F5,0.0159725536091193,0.1192824482234564,True,-86.60946866281844,4,13,0.2558106684608193,0.1985265406103037,0.1907181227803057,0.1192824482234564
BBOB_F55,0.5166514271613387,0.6061479210199184,True,-14.764794327429328,9,12,0.8084348763217353,0.6061479210199184,0.6739948007650018,0.7289744263759702
DTLZ1,63.01379932990874,45.34570273153767,False,38.963111241151886,2,13,55.243198478786475,45.34570273153767,54.579569419243406,63.71341357744688
DTLZ2,0.1280762450487692,0.1700820491933293,True,-24.69737655665993,4,12,0.3518633395536835,0.2314965985503017,0.2436941785807205,0.1700820491933293
DTLZ3,226.2287953273139,129.76799112603217,False,74.33328000554302,4,12,210.1594222538854,305.6544879630138,236.36467091755844,129.76799112603217
DTLZ4,0.2528198311443027,0.2823977915542932,True,-10.473863923367087,3,11,0.3237102553205356,0.3480468423174555,0.2823977915542932,0.3321667090240134
DTLZ7,0.097828017043347,1.1247085866087754,True,-91.30192316408659,5,11,1.4282933892698586,1.4252844080178932,1.1247085866087754,1.8809617636365812
MMF1,0.0429154797063732,0.0570132770384747,True,-24.727218052363085,6,13,0.0685634160408346,0.0628119931405187,0.0570132770384747,0.0714342048541285
MMF11_L,0.0137361427796078,0.0231565498976292,True,-40.681393211282625,2,13,0.0436194300069967,0.0317573340494481,0.0231565498976292,0.0414543997958267
MMF16_20,0.0346910117223472,0.0316158421272363,False,9.726673048072023,7,11,0.0600143363541736,0.0406997603316842,0.0316883226836744,0.0316158421272363
MMF4,0.0219198987020441,0.0377119334276083,True,-41.875431170556496,2,13,0.0418755247904921,0.0403771229938478,0.0377119334276083,0.0470914389681702
WFG1,0.5206788467027001,0.4953917959793528,False,5.104454883706086,4,10,0.7104681491693458,0.4981943696243536,0.5074461679688114,0.4953917959793528
WFG2,0.1808879548823246,0.1227556938180429,False,47.35606085241913,8,12,0.223741203048006,0.1227556938180429,0.1232873263708593,0.1422987289749966
WFG4,0.1006705074504165,0.044424346453198,False,126.611116398696,7,12,0.1090501547977985,0.061710428820897,0.0717614461687339,0.044424346453198
WFG5,0.0495781964557293,0.0930752077028518,True,-46.7331874090352,2,12,0.1873782241759709,0.0930752077028518,0.1126334304175281,0.0941577883048372
WFG9,0.0799639166609387,0.0955346891283579,True,-16.298553551054862,3,12,0.1497323119704348,0.0999413549159468,0.0955346891283579,0.1113875374533136
ZDT1,0.0788587012299298,0.4440783896843883,True,-82.24216645940021,6,12,1.686875225032134,0.4440783896843883,0.956168340282256,0.700594322143167
ZDT3,0.3814646791764571,0.3442625865872861,False,10.806312982761082,9,11,1.0249933278408947,0.3442625865872861,0.4121286025925313,0.3504989313662802
ZDT4,63.54204099378331,43.898268794314845,False,44.74839837422582,10,13,65.17103599448568,43.898268794314845,46.24627157931003,47.101878260869746
ZDT6,1.6797022618694768,6.445675963031797,True,-73.9406344423276,7,12,7.605188993963688,6.445675963031797,6.662399706796948,6.605030137633778
