problema,D,n_real,n_ger,wall,man_busca,man_aval,sum4_ger,sum4_busca,proxy_aval_opt,cobertura,nao_contab
DTLZ2,12,2131,200,3.2655,0.1604,0.0,0.30074477195739746,0.16044259071350098,0.14030218124389648,0.04911958352472822,0.9508804164752718
MMF16_20,20,2219,200,3.3378,0.2064,0.0,0.3580930233001709,0.20643854141235352,0.15165448188781738,0.061837138234765415,0.9381628617652346
WFG9,22,2241,200,6.8203,0.2439,0.0,3.4093940258026123,0.24393773078918457,3.1654562950134277,0.03576089028341862,0.9642391097165813
ZDT1,30,2329,200,3.3356,0.268,0.0,0.3859548568725586,0.26798391342163086,0.11797094345092773,0.08034536515169685,0.9196546348483031
ZDT4,10,2109,200,3.1561,0.1415,0.0,0.2549560070037842,0.1414790153503418,0.11347699165344238,0.0448338138842242,0.9551661861157758
