config,problema,n_real,t_aval_gravado,us_por_aval_gravado
nsga2,BBOB_F1,309,0.07799999999999993,252.42718446601918
nsga2,BBOB_F17,309,0.13726999999999995,444.23948220064705
nsga2,BBOB_F22,309,0.11232699999999991,363.5177993527505
nsga2,BBOB_F37,309,0.13711299999999993,443.7313915857603
nsga2,BBOB_F49,309,0.5794209999999996,1875.1488673139147
nsga2,BBOB_F5,309,0.08485699999999999,274.6181229773462
nsga2,BBOB_F55,309,1.1754899999999993,3804.174757281551
nsga2,DTLZ1,216,0.07693200000000004,356.16666666666686
nsga2,DTLZ2,371,0.10087899999999989,271.9110512129377
nsga2,DTLZ3,371,0.09627999999999994,259.5148247978435
nsga2,DTLZ4,371,0.11799700000000009,318.0512129380056
nsga2,DTLZ7,681,0.1677639999999996,246.349486049926
nsga2,MMF1,61,0.027742000000000003,454.7868852459017
nsga2,MMF11_L,61,0.04025400000000001,659.9016393442625
nsga2,MMF16_20,619,0.18741000000000035,302.76252019386163
nsga2,MMF4,61,0.017528,287.344262295082
nsga2,WFG1,681,0.29600799999999977,434.66666666666634
nsga2,WFG2,681,0.39266699999999966,576.6035242290744
nsga2,WFG4,681,0.272938,400.7900146842878
nsga2,WFG5,681,0.3151670000000007,462.80029368575725
nsga2,WFG9,681,1.3284889999999991,1950.7914831130677
nsga2,ZDT1,929,0.2243679999999993,241.51560818083885
nsga2,ZDT3,929,0.20924999999999908,225.24219590957918
nsga2,ZDT4,309,0.10323100000000009,334.0809061488676
nsga2,ZDT6,309,0.09209099999999999,298.0291262135922
nsga3,BBOB_F1,309,0.09657400000000002,312.537216828479
nsga3,BBOB_F17,309,0.1349660000000001,436.78317152103597
nsga3,BBOB_F22,309,0.11268600000000006,364.67961165048564
nsga3,BBOB_F37,309,0.12594899999999995,407.60194174757265
nsga3,BBOB_F49,309,0.8822250000000003,2855.0970873786414
nsga3,BBOB_F5,309,0.10878900000000011,352.06796116504887
nsga3,BBOB_F55,309,1.0579330000000007,3423.7313915857626
nsga3,DTLZ1,216,0.06238900000000002,288.83796296296305
nsga3,DTLZ2,371,0.112577,303.4420485175202
nsga3,DTLZ3,371,0.10756999999999996,289.9460916442047
nsga3,DTLZ4,371,0.12543100000000007,338.0889487870622
nsga3,DTLZ7,681,0.185759,272.7738619676946
nsga3,MMF1,61,0.019838999999999996,325.22950819672127
nsga3,MMF11_L,61,0.021727,356.1803278688525
nsga3,MMF16_20,619,0.18649500000000016,301.2843295638129
nsga3,MMF4,61,0.019742000000000003,323.63934426229514
nsga3,WFG1,681,0.3177709999999999,466.6240822320117
nsga3,WFG2,681,0.4100820000000003,602.1762114537449
nsga3,WFG4,681,0.25309299999999985,371.649045521292
nsga3,WFG5,681,0.2544579999999997,373.65345080763535
nsga3,WFG9,681,1.3597739999999985,1996.7312775330372
nsga3,ZDT1,929,0.22543599999999928,242.66523143164616
nsga3,ZDT3,929,0.2532370000000004,272.5909580193761
nsga3,ZDT4,309,0.09006600000000002,291.4757281553399
nsga3,ZDT6,309,0.09762599999999998,315.9417475728154
moead,BBOB_F1,309,0.09356600000000005,302.8025889967639
moead,BBOB_F17,309,0.15306500000000006,495.3559870550164
moead,BBOB_F22,309,0.128314,415.2556634304208
moead,BBOB_F37,309,0.128517,415.91262135922324
moead,BBOB_F49,309,0.58248,1885.0485436893205
moead,BBOB_F5,309,0.128612,416.2200647249191
moead,BBOB_F55,309,1.1418410000000005,3695.278317152105
moead,DTLZ1,216,0.06758600000000002,312.8981481481482
moead,DTLZ2,371,0.1135470000000003,306.0566037735857
moead,DTLZ3,371,0.11046900000000004,297.7601078167117
moead,DTLZ4,371,0.12971000000000005,349.62264150943406
moead,DTLZ7,681,0.35829799999999995,526.1350954478706
moead,MMF1,61,0.022207999999999995,364.06557377049177
moead,MMF11_L,61,0.027222,446.26229508196724
moead,MMF16_20,619,0.20889,337.4636510500808
moead,MMF4,61,0.022692999999999998,372.01639344262287
moead,WFG1,681,0.3093829999999999,454.3069016152715
moead,WFG2,681,0.43229900000000027,634.8002936857566
moead,WFG4,681,0.2744499999999999,403.01027900146835
moead,WFG5,681,0.27499400000000024,403.8091042584438
moead,WFG9,681,1.4232109999999996,2089.883994126284
moead,ZDT1,929,0.25485600000000064,274.333692142089
moead,ZDT3,929,0.26398800000000056,284.16361679225037
moead,ZDT4,309,0.09131299999999999,295.5113268608414
moead,ZDT6,309,0.13063500000000006,422.76699029126235
smsemoa,BBOB_F1,309,0.08872600000000008,287.13915857605207
smsemoa,BBOB_F17,309,0.14178599999999997,458.85436893203877
smsemoa,BBOB_F22,309,0.119017,385.168284789644
smsemoa,BBOB_F37,309,0.1715900000000001,555.3074433656961
smsemoa,BBOB_F49,309,0.6244990000000002,2021.0323624595476
smsemoa,BBOB_F5,309,0.09748799999999984,315.49514563106743
smsemoa,BBOB_F55,309,1.1223630000000004,3632.2427184466032
smsemoa,DTLZ1,216,0.06519099999999994,301.81018518518493
smsemoa,DTLZ2,371,0.10965100000000003,295.5552560646901
