config,problema,n_real,t_aval_gravado,us_por_aval_gravado
smsemoa,DTLZ3,371,0.13229600000000005,356.5929919137468
smsemoa,DTLZ4,371,0.14219999999999997,383.288409703504
smsemoa,DTLZ7,681,0.22346799999999986,328.1468428781202
smsemoa,MMF1,61,0.020658,338.655737704918
smsemoa,MMF11_L,61,0.024429999999999986,400.4918032786883
smsemoa,MMF16_20,619,0.24396999999999996,394.13570274636504
smsemoa,MMF4,61,0.021892000000000005,358.8852459016394
smsemoa,WFG1,681,0.3197229999999998,469.4904552129219
smsemoa,WFG2,681,0.42471,623.6563876651983
smsemoa,WFG4,681,0.3559000000000001,522.6138032305435
smsemoa,WFG5,681,0.5275850000000001,774.7209985315714
smsemoa,WFG9,681,1.6289369999999999,2391.9779735682814
smsemoa,ZDT1,929,0.285254,307.05489773950484
smsemoa,ZDT3,929,0.25309500000000157,272.43810548977564
smsemoa,ZDT4,309,0.1078709999999999,349.0970873786404
smsemoa,ZDT6,309,0.11505700000000003,372.3527508090616
