problema,D,n,n_init,t_aval_medido_s,us_por_aval,t_aval_init_s,t_aval_opt_s,wall_run,frac_do_wall
DTLZ2,12,2131,131,0.0276,13.0,0.0017,0.0259,3.2655,0.0085
MMF16_20,20,2219,219,0.0359,16.2,0.0035,0.0324,3.3378,0.0108
WFG9,22,2241,241,1.5832,706.5,0.1703,1.4129,6.8203,0.2321
ZDT1,30,2329,329,0.0146,6.3,0.0021,0.0125,3.3356,0.0044
ZDT4,10,2109,109,0.0161,7.7,0.0008,0.0153,3.1561,0.0051
