problema,D,n,busca_vm,busca_mac,fator_vm_mac,aval_mac,aval_vm_estimado,wall_vm,frac_wall_vm,proxy_relatorio,proxy_sobre_medido
DTLZ2,12,2131,0.1604,0.1076,1.49,0.0464,0.0691,3.2655,0.0212,0.1403,2.03
MMF16_20,20,2219,0.2064,0.1629,1.267,0.0561,0.071,3.3378,0.0213,0.1517,2.14
WFG9,22,2241,0.2439,0.1893,1.288,2.9969,3.8603,6.8203,0.566,3.1655,0.82
ZDT1,30,2329,0.268,0.2394,1.12,0.0185,0.0207,3.3356,0.0062,0.118,5.71
ZDT4,10,2109,0.1415,0.0987,1.434,0.0355,0.0509,3.1561,0.0161,0.1135,2.23
