problema,D,M,n_rsid,n_fut,n_pas,fut_n,fut_mae,fut_wape,fut_otim,fut_maxabs,pas_n,pas_mae,pas_wape,pas_otim,pas_maxabs,init,soma_lote,cache,fe_final,lote_final,ledger_ok,hard_stop,hs_fe,hs_igual_maxfe,termino,cache_init
BBOB_F1,10,2,1257,200,1057,200,0.015087127685546875,0.006859304142134072,0.3875,5.362403869628906,1057.0,0.0,0.0,0.0,0.0,109,208,12,309,4,True,1,309.0,True,normal,1
BBOB_F17,10,2,404,217,187,217,187.39574718475342,0.20532391682363038,0.771889400921659,14369561.75,187.0,0.0,0.0,0.0,0.0,109,200,1,309,1,True,0,,,normal,1
BBOB_F22,10,2,386,206,180,206,149.52401733398438,0.4977511611955809,0.5655339805825242,195783.98266601562,180.0,0.0,0.0,0.0,0.0,109,199,2,309,3,True,1,309.0,True,normal,1
BBOB_F37,10,2,605,214,391,214,19.531005859375,0.10685116722626795,0.7009345794392523,529.8306274414062,391.0,0.0,0.0,0.0,0.0,109,199,1,309,2,True,1,309.0,True,normal,1
BBOB_F49,10,2,378,208,170,208,9.65597915649414,0.18751314965614793,0.6682692307692307,489.1509552001953,170.0,0.0,0.0,0.0,0.0,109,199,1,309,2,True,1,309.0,True,normal,1
BBOB_F5,10,2,1152,203,949,203,0.1589069366455078,0.029994404208176756,0.3374384236453202,300.8853759765625,949.0,0.0,0.0,0.0,0.0,109,203,6,309,3,True,1,309.0,True,normal,1
BBOB_F55,10,2,575,207,368,207,0.31811070442199707,0.058809510376379485,0.40096618357487923,42.85721302032471,368.0,0.0,0.0,0.0,0.0,109,199,1,309,2,True,1,309.0,True,normal,1
DTLZ1,7,3,141,140,1,140,105.69673693180084,9.033108519245214,0.8047619047619048,14334.005661010742,1.0,0.0,0.0,0.0,0.0,76,139,1,216,2,True,1,216.0,True,normal,1
DTLZ2,12,3,259,239,20,239,0.006023764610290527,0.0665529548217714,0.5132496513249651,0.8868694901466367,20.0,0.0,1.0700994100574317e-13,0.26666666666666666,3.4567974300128265e-13,131,238,1,371,3,True,1,371.0,True,normal,1
DTLZ3,12,3,247,241,6,241,163.64950561523438,1.1866312821860991,0.7579529737206085,6669.625061035156,6.0,0.0,3.680551523636784e-12,0.1111111111111111,6.202526492415927e-09,131,240,1,371,1,True,0,,,normal,1
DTLZ4,12,3,242,240,2,240,0.7609095871448517,1.8333494492218114,0.5111111111111111,7.397884845733643,2.0,2.330691195595591e-12,8.610303798187142e-12,0.5,1.529965371634799e-11,131,239,1,371,2,True,1,371.0,True,normal,1
DTLZ7,22,3,486,440,46,440,0.001487164874561131,0.08177599660374646,0.5901515151515152,6.218961238861084,46.0,0.0,7.347581662697275e-15,0.036231884057971016,6.346589920269707e-13,241,438,1,681,3,True,1,681.0,True,normal,1
MMF1,2,2,46,42,4,42,1.943031758069992,13.19405406113591,0.9523809523809523,117.08715933561325,4.0,0.0,7.203837001797055e-07,0.0,5.4836273193359375e-06,21,38,1,61,3,True,1,61.0,True,normal,1
MMF11_L,2,2,40,40,0,40,0.004109680652618408,0.9960389533682589,0.6125,24.72575616836548,,,,,,21,39,1,61,2,True,1,61.0,True,normal,1
MMF16_20,20,3,905,400,505,400,0.1527417208999396,0.22221855714049263,0.825,1.4420826435089111,505.0,0.0,9.653716144629377e-15,0.048184818481848184,1.097690422533136e-12,219,407,9,619,2,True,1,619.0,True,normal,1
MMF4,2,2,39,38,1,38,0.5384508613497019,1.7916224299311116,0.7631578947368421,16.63501012325287,1.0,0.0,0.0,0.0,0.0,21,38,2,61,4,True,1,61.0,True,normal,1
WFG1,22,2,667,448,219,448,0.9935730695724487,0.6123666211517701,0.5022321428571429,6.082333326339722,219.0,0.0,0.0,0.0,0.0,241,445,6,681,1,True,0,,,normal,1
WFG2,22,2,4400,542,3858,542,0.12531805038452148,0.2519240389886232,0.7712177121771218,4.325548991560936,3858.0,0.0,0.0,0.0,0.0,241,439,1,681,2,True,1,681.0,True,normal,1
WFG4,22,2,1191,457,734,457,0.15635383129119873,0.1586879981999518,0.6783369803063457,2.613650619983673,734.0,0.0,0.0,0.0,0.0,241,445,7,681,2,True,1,681.0,True,normal,1
WFG5,22,2,601,448,153,448,0.25688204169273376,0.2879907998860955,0.6328125,5.592696845531464,153.0,0.0,0.0,0.0,0.0,241,444,6,681,2,True,1,681.0,True,normal,1
WFG9,22,2,642,535,107,535,1.1284686774015427,0.8622799193740774,0.5831775700934579,13.991711854934692,107.0,0.0,0.0,0.0,0.0,241,439,1,681,2,True,1,681.0,True,normal,1
ZDT1,30,2,626,621,5,621,0.03046024590730667,0.9647492261492283,0.7689210950080515,13.572855353355408,5.0,0.0,0.0,0.0,0.0,329,600,2,929,2,True,1,929.0,True,normal,1
ZDT3,30,2,681,678,3,678,0.06827524304389954,1.1364544594493649,0.7374631268436578,24.31127178668976,3.0,0.0,3.5684318847818887e-16,0.0,1.27675647831893e-15,329,598,1,929,3,True,1,929.0,True,normal,1
ZDT4,10,2,394,276,118,276,0.15191650390625,0.5304783110245793,0.782608695652174,167.39417457580566,118.0,0.0,2.219302875194391e-15,0.07627118644067797,1.3464229731141586e-13,109,198,1,309,3,True,1,309.0,True,normal,1
ZDT6,10,2,211,211,0,211,3.6742600798606873,1.1386575876843523,0.6137440758293838,35.54594784975052,,,,,,109,199,1,309,2,True,1,309.0,True,normal,1
