problema,D,M,N,n_ciclos,lote_min,lote_max,lote_med,lote_zero,lote_gt2N,soma_lotes,niv1,niv2,niv3,ramoQU,ramoQU_pct,nfront2_le1,pool_sempre_2N,sub_sempre_N,entrada_2N,sel_eq_lote,hp_const,hp_n_eq_treino,rcond_min,rcond_med,rcond_lt_1e12,rcond_lt_1e15,rcond_zero,s0_int_pct,s0_max,s0_teto,s0_nan,s1_nan,s1_med,s1_max,mu_min,mu_max,f_min,f_max,dist_min_med,dist_min_max,fit2_int_like,corr_fit1_fit3,corr_fit1_fit2,escala_fit1,escala_fit2,escala_fit3,guards,termino,fe_final,maxfe,ultimo_lote
BBOB_F1,10,2,100,59,2,6,3.0,0,0,208,0,0,59,59,100.0,0,True,True,True,59,True,48,1.0731870779341328e-08,4.1707400314537047e-07,0,0,0,100.0,398.0,398,0.0,0.0,0.5933909714221954,2.5151631832122803,-0.8987330198287964,82.62533569335938,0.223080575466156,248.03152465820312,0.3802124262798882,5.792482275131099,0.6440677966101694,0.09752583831077954,-0.15308270063583262,0.004538093384835767,0.9027087161051668,0.0030490981342850324,"{""cache_hit"": 12, ""hard_stop"": 1}",normal,309,309,4
BBOB_F17,10,2,100,57,1,7,3.0,0,0,200,0,0,57,57,100.0,0,True,True,True,57,True,57,2.4854286093178517e-10,1.6876799522792706e-07,0,0,0,100.0,398.0,398,0.0,0.0,2.6063425540924072,16.37063217163086,-13247015.0,72352872.0,7.650408744812012,76280704.0,1.3107492875450886,7.772868422318667,0.22807017543859648,0.4006488832804092,0.010296147636811337,0.0029149115859538888,1.4911654570488135,0.0018408955535177975,"{""cache_hit"": 1}",normal,309,309,1
BBOB_F22,10,2,100,51,2,7,4.0,0,0,199,0,0,51,51,100.0,0,True,True,True,51,True,50,1.3212874114971481e-08,1.0178083967243769e-07,0,0,0,100.0,398.0,398,0.0,0.0,0.7390394508838654,6.1093854904174805,-241106.609375,213217.15625,58.13226318359375,2150923.75,0.4624001002786243,4.956481648355521,0.3333333333333333,0.03076782767689056,0.01605884363254841,0.004010425041046969,0.9314333971635431,0.004205817353201546,"{""cache_hit"": 2, ""hard_stop"": 1}",normal,309,309,3
BBOB_F37,10,2,100,50,1,8,4.0,0,0,199,0,0,50,50,100.0,0,True,True,True,50,True,50,1.9033181338167423e-08,4.094857296246142e-08,0,0,0,100.0,398.0,398,0.0,0.0,0.6486009508371353,8.858959197998047,-392.2582092285156,2693.4638671875,99.4155044555664,6210.5126953125,0.4520919403288025,5.8533108335664386,0.28,-0.021449776605614194,-0.46743479150878814,0.00478150685250254,0.2117199142908186,0.005372635741634374,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,309,309,2
BBOB_F49,10,2,100,51,2,8,4.0,0,0,199,0,0,51,51,100.0,0,True,True,True,51,True,51,1.3740529500683887e-08,1.5729042124393135e-07,0,0,0,100.0,398.0,398,0.0,0.0,0.5850520133972168,7.373813152313232,-339.6913146972656,1278.3963623046875,6.8995561599731445,6086.1552734375,0.5115046701525298,5.623862130689504,0.3333333333333333,0.013852191642596805,-0.3550850871306619,0.0062156283988637345,-0.2888363152115776,0.01061939833911651,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,309,309,2
BBOB_F5,10,2,100,56,2,11,3.0,0,0,203,0,0,56,56,100.0,0,True,True,True,56,True,34,4.482143013034491e-25,7.773429272033893e-09,25,25,0,100.0,398.0,398,0.0,0.0,0.6150216162204742,4.4083781242370605,1.985310673713684,1482.5167236328125,3.6651594638824463,3056.66552734375,0.31188805217103865,6.042504540792209,0.5714285714285714,-0.21791195792129806,0.05735171589291613,0.006677833003624546,0.8541007363284181,0.006758093575873567,"{""cache_hit"": 6, ""hard_stop"": 1}",normal,309,309,3
BBOB_F55,10,2,100,54,1,7,4.0,0,0,199,0,1,53,53,98.14814814814815,1,True,True,True,53,True,54,1.4037962892607653e-09,8.547704499177613e-08,0,0,0,100.0,398.0,398,0.0,0.0,0.600453183054924,3.5974318981170654,0.34387707710266113,85.34635162353516,2.0057575702667236,86.07921600341797,0.3417044835543454,4.072103905024074,0.42592592592592593,-0.29598596746652867,-0.24054483215009234,0.004995058524197897,0.5649246519354989,0.038999141387510275,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,309,309,2
DTLZ1,7,3,76,31,2,8,4.0,0,0,139,0,0,31,31,100.0,0,True,True,True,31,True,31,7.02584848294852e-12,1.3806213730394935e-11,0,0,0,100.0,302.0,302,0.0,0.0,9.502881050109863,325.5160217285156,-8971.3642578125,14462.53515625,0.0,412.4892578125,0.5441221552879676,0.90298888960486,0.25806451612903225,-0.6196183580811039,0.0195173105255117,0.015221450812240273,-16.286016601553328,0.04046836413367602,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,216,216,2
DTLZ2,12,3,100,65,2,7,4.0,0,0,238,0,0,65,65,100.0,0,True,True,True,65,True,65,4.6193252827045246e-09,5.847529371266862e-08,0,0,0,100.0,398.0,398,0.0,0.0,0.6971523761749268,10.592514991760254,-0.5298469066619873,3.002372980117798,0.0,3.199936628341675,0.20201597668305657,1.187048557033802,0.6615384615384615,0.12350648290103455,-0.49976115503988716,0.027654940288102323,0.9236537913131828,0.03625950675239052,"{""cache_hit"": 1, ""hard_stop"": 1}",normal,371,371,3
DTLZ3,12,3,100,64,2,7,4.0,0,0,240,0,0,64,64,100.0,0,True,True,True,64,True,64,7.500894548422794e-11,1.69504302992571e-08,0,0,0,100.0,398.0,398,0.0,0.0,1.9818656146526337,56.138885498046875,-11313.603515625,5323.1142578125,0.0,1484.961181640625,0.6254084294284619,1.31923384117052,0.296875,0.2537196268372783,-0.08698211228498864,0.018940446117750323,-2.0332479926395615,0.01971285454635873,"{""cache_hit"": 1}",normal,371,371,1
