problema,D,M,U1_maxfe_ok,U1_denso,U1_sid_denso,U1_fases,U2_n_init,U2_init_ok,U2_shape_ok,U2_dX_max,U2_bitexato,U2_hash_manifesto,U2_hash_sidecar,U2_hash_ok,U2_cp_init,U3_n_timing,U3_n_gen_ev,U3_ok,U3_fit_notna,U3_ger_seq,U4_gens_sonda,U4_cadencia_ok,U4_ultima_coberta,U4_n_blocos_man,U4_blocos_ok,U4_linhas_ok,U4_por_bloco_2000,U4_motivos,U4_falhas,U5_dX_max,U5_ok,U5_xhash_ok,U5_S_online,U6_wape_1o,U6_wape_ult,U6_dwape_pct,U6_corr_1o,U6_corr_ult,U6_wape_min,U6_wape_max,U6_transf,U6_cobertura,U7_viol,U7_n,U7_viol_em_sonda,U7_folga_med,U7_viol_com_sonda,U8_monotonico,U8_igual_n_menos1,U8_max,U8_sonda_bate,U9_guards,U9_cache_ok,U9_cache_n,U9_hardstop,U9_eps_sde,U9_batch_vazio,U9_outros,U10_init_mais_lotes,U10_fe_final,U10_resto,U10_fe_ultimo_gen,U10_n_pop,U10_pop_gens,U10_pop_por_gen_ok,U10_online_ok,U10_pool_unico,U10_pop_sz_min,U10_pop_sz_max,U10_pop_g1,U10_pop_glast,U11_n,U11_mae_med,U11_mae_max,U11_otimista,U11_wape,U11_dX_max
BBOB_F1,10,2,True,True,True,init=109;opt=200,109,True,True,2.375113989927513e-07,True,f875df0bb01999e1f290e6e7341a7c1bbe3c5a4a2025bde15a394be99c8af127,f875df0bb01999e1f290e6e7341a7c1bbe3c5a4a2025bde15a394be99c8af127,True,True,59,59,True,59,True,31,True,True,31,True,True,True,cadencia,0,2.384185791015625e-07,False,True,2000,0.04695660731022758,0.040571411993230264,-13.598076357630207,0.9892697483995028,0.9927706085138608,0.040571411993230264,0.04720189748545147,None,"N/A (sigma_0/sigma_1 = incerteza de ensemble, nao desvio-padrao preditivo por objetivo)",0,59,0,0.009064003825187683,30,True,48,303,24,"{""cache_hit"": 12, ""hard_stop"": 1}",True,12,1,0,0,{},317,309,-8,306,4539,60,True,True,200,4,143,109,143,1257,0.0,5.362403869628906,0.061654733492442326,0.0010235246200841833,0.0
BBOB_F17,10,2,True,True,True,init=109;opt=200,109,True,True,2.3787903291605517e-07,True,d15aed2c60ef23cc5c80db84682927055bd83a7cd64faa6a5d6e9da5d47f3d6d,d15aed2c60ef23cc5c80db84682927055bd83a7cd64faa6a5d6e9da5d47f3d6d,True,True,57,57,True,57,True,30,False,False,30,True,True,True,cadencia;final,0,2.384185791015625e-07,False,True,2000,0.3497565228269063,0.30796828558767875,-11.94780783542626,0.8790350435895202,0.9022849648183502,0.30796828558767875,0.3497565228269063,None,"N/A (sigma_0/sigma_1 = incerteza de ensemble, nao desvio-padrao preditivo por objetivo)",0,57,0,0.009780004620552063,29,True,57,304,30,"{""cache_hit"": 1}",True,1,0,0,0,{},309,309,0,309,621,58,True,True,200,5,109,109,13,404,2.044922351837158,14369561.75,0.4146039603960396,0.18289268098167724,0.0
BBOB_F22,10,2,True,True,True,init=109;opt=200,109,True,True,2.345476923792944e-07,True,f363ce9265e27d446ae8caf64ccaf080db3cd581c9e222f25ccad12a2edf0132,f363ce9265e27d446ae8caf64ccaf080db3cd581c9e222f25ccad12a2edf0132,True,True,51,51,True,51,True,27,True,True,27,True,True,True,cadencia,0,2.384185791015625e-07,False,True,2000,0.09394000141033511,0.08868738930781392,-5.591454144840268,0.9454422638607454,0.954814333946383,0.08868738930781392,0.09394000141033511,None,"N/A (sigma_0/sigma_1 = incerteza de ensemble, nao desvio-padrao preditivo por objetivo)",0,51,0,0.009827017784118652,26,True,50,301,26,"{""cache_hit"": 2, ""hard_stop"": 1}",True,2,1,0,0,{},308,309,1,307,1042,52,True,True,200,5,109,109,30,386,0.6525421142578125,195783.98266601562,0.3018134715025907,0.2458063141322198,0.0
BBOB_F37,10,2,True,True,True,init=109;opt=200,109,True,True,2.3685163252906705e-07,True,6ff27d4d787c367a178d22a05be62e7cb540b09a5b799643cc6b2a578ab295bb,6ff27d4d787c367a178d22a05be62e7cb540b09a5b799643cc6b2a578ab295bb,True,True,50,50,True,50,True,27,True,True,27,True,True,True,cadencia;final,0,2.384185791015625e-07,False,True,2000,0.20861043308302293,0.20448119291386785,-1.9794025198690446,0.887242950794043,0.8956741244764004,0.20355744551328137,0.20861043308302293,None,"N/A (sigma_0/sigma_1 = incerteza de ensemble, nao desvio-padrao preditivo por objetivo)",0,50,0,0.009795509278774261,26,True,50,304,26,"{""cache_hit"": 1, ""hard_stop"": 1}",True,1,1,0,0,{},308,309,1,308,859,51,True,True,200,4,109,109,19,605,0.0,529.8306274414062,0.24793388429752067,0.045173672236224455,0.0
BBOB_F49,10,2,True,True,True,init=109;opt=200,109,True,True,2.365150315597475e-07,True,95bec03708fdb8c201bfbb70d4658e9ec7b170145163a2eaf9ab9793d37c1cb8,95bec03708fdb8c201bfbb70d4658e9ec7b170145163a2eaf9ab9793d37c1cb8,True,True,51,51,True,51,True,27,True,True,27,True,True,True,cadencia,0,2.384185791015625e-07,False,True,2000,0.1627634794730951,0.16368632029019037,0.5669827286088447,0.5620562306831794,0.5690037767686358,0.1624483064173251,0.16509831780121748,None,"N/A (sigma_0/sigma_1 = incerteza de ensemble, nao desvio-padrao preditivo por objetivo)",0,51,0,0.014145001769065857,26,True,51,303,26,"{""cache_hit"": 1, ""hard_stop"": 1}",True,1,1,0,0,{},308,309,1,308,932,52,True,True,200,5,109,109,24,378,0.2697930335998535,489.1509552001953,0.36772486772486773,0.10403877064712935,0.0
BBOB_F5,10,2,True,True,True,init=109;opt=200,109,True,True,2.3727650955152058e-07,True,9c1c6f9e8c0acf91f8150e824ca25b9aeacebc67cfea9275a65051a23e99ac39,9c1c6f9e8c0acf91f8150e824ca25b9aeacebc67cfea9275a65051a23e99ac39,True,True,56,56,True,56,True,30,True,True,30,True,True,True,cadencia;final,0,2.384185791015625e-07,False,True,2000,0.05792338752244435,0.05237149165248482,-9.584894992214089,0.9576592509961348,0.9619773657059778,0.05237149165248482,0.05792338752244435,None,"N/A (sigma_0/sigma_1 = incerteza de ensemble, nao desvio-padrao preditivo por objetivo)",0,56,0,0.00943601131439209,29,True,34,303,28,"{""cache_hit"": 6, ""hard_stop"": 1}",True,6,1,0,0,{},312,309,-3,307,3478,57,True,True,200,9,109,109,106,1152,0.0,300.8853759765625,0.05946180555555555,0.00517612719083755,0.0
BBOB_F55,10,2,True,True,True,init=109;opt=200,109,True,True,2.3578255614609134e-07,True,156cb913846b92db972ef60b58fc049727a49907d46524a3212ca6be783eaaa0,156cb913846b92db972ef60b58fc049727a49907d46524a3212ca6be783eaaa0,True,True,54,54,True,54,True,29,True,True,29,True,True,True,cadencia;final,0,2.384185791015625e-07,False,True,2000,0.05079360547564083,0.061897736481159524,21.861277421709936,0.36289813451588016,0.36394457301420974,0.05079360547564083,0.06192775044592358,None,"N/A (sigma_0/sigma_1 = incerteza de ensemble, nao desvio-padrao preditivo por objetivo)",0,54,0,0.02065300941467285,28,True,54,303,28,"{""cache_hit"": 1, ""hard_stop"": 1}",True,1,1,0,0,{},308,309,1,308,1083,55,True,True,200,3,109,109,47,575,0.0,42.85721302032471,0.1443478260869565,0.023769444355621942,0.0
DTLZ1,7,3,True,True,True,init=76;opt=140,76,True,True,2.968073053999376e-08,True,721bacf39910171737053096bf1d0b22cfd6a27344d8bcd630e000c6a67200bf,721bacf39910171737053096bf1d0b22cfd6a27344d8bcd630e000c6a67200bf,True,True,31,31,True,31,True,17,True,True,17,True,True,True,cadencia,0,2.9802322387695312e-08,True,True,2000,0.40839140883817576,1.540508213300825,277.2136680552083,0.7830270921527275,0.4986936011961621,0.40839140883817576,2.031722249901906,None,"N/A (sigma_0/sigma_1 = incerteza de ensemble, nao desvio-padrao preditivo por objetivo)",0,31,0,0.009456008672714233,16,True,31,206,16,"{""cache_hit"": 1, ""hard_stop"": 1}",True,1,1,0,0,{},215,216,1,215,499,32,True,True,152,9,76,76,12,141,105.07540512084961,14334.005661010742,0.7990543735224587,9.000405816836592,0.0
DTLZ2,12,3,True,True,True,init=131;opt=240,131,True,True,2.976508484131557e-08,True,e9e359a6a4afa9d5f68c1d5dab4096916ae20f65f2e741d1ad93899624789926,e9e359a6a4afa9d5f68c1d5dab4096916ae20f65f2e741d1ad93899624789926,True,True,65,65,True,65,True,34,True,True,34,True,True,True,cadencia,0,2.9802322387695312e-08,True,True,2000,0.14817663561264716,0.13252960312239273,-10.559716398985996,0.9580937374566235,0.97742148552459,0.13252960312239273,0.14890888872752653,None,"N/A (sigma_0/sigma_1 = incerteza de ensemble, nao desvio-padrao preditivo por objetivo)",0,65,0,0.009533017873764038,33,True,65,363,33,"{""cache_hit"": 1, ""hard_stop"": 1}",True,1,1,0,0,{},369,371,2,369,6342,66,True,True,200,13,172,131,171,259,0.0047113895416259766,0.8868694901466367,0.4942084942084942,0.06190720269406787,0.0
DTLZ3,12,3,True,True,True,init=131;opt=240,131,True,True,2.9797159739608503e-08,True,b41f7d771c68d252a14911b8817d1666707bca4337ee331ef50e83a5d99f13cd,b41f7d771c68d252a14911b8817d1666707bca4337ee331ef50e83a5d99f13cd,True,True,64,64,True,64,True,33,False,False,33,True,True,True,cadencia,0,2.9802322387695312e-08,True,True,2000,0.26292795306739897,0.3702215813141687,40.80723521217469,0.8689993232600545,0.7731680830143604,0.2577914060980873,0.3702215813141687,None,"N/A (sigma_0/sigma_1 = incerteza de ensemble, nao desvio-padrao preditivo por objetivo)",0,64,0,0.008747011423110962,33,True,64,367,33,"{""cache_hit"": 1}",True,1,0,0,0,{},371,371,0,371,913,65,True,True,200,9,131,131,9,247,156.67407226562494,6669.625061035156,0.7422402159244265,1.1637157478284408,0.0
