solution_id,front64,cd64,front32,sel64,pop_g1
0,3,0.05377805588731669,4,False,False
1,6,1.1158719489893838,12,False,False
2,3,inf,10,False,False
3,1,0.049124113369134775,12,True,True
4,2,1.0451960019177284,2,False,False
5,5,inf,11,False,False
6,4,0.06636396408439207,11,False,False
7,2,inf,2,False,False
8,1,0.047102019904084726,1,True,True
9,2,0.04023050348169732,3,False,False
10,2,0.020819102460684413,3,False,False
11,5,1.0418705962929804,10,False,False
12,3,0.07137117133802108,7,False,False
13,1,0.026080316384580693,7,True,True
14,1,inf,1,True,True
15,3,0.030937022825301332,10,False,False
16,2,0.14603978655721161,18,False,False
17,2,0.03885102278534984,3,False,False
18,2,0.13371820113911312,11,False,False
19,4,0.11020553139910594,10,False,False
20,5,inf,15,False,False
21,3,0.04264466118869259,3,False,False
22,2,0.026851060935471797,2,False,False
23,1,0.0950232422435151,8,True,True
24,5,0.24268733792974534,9,False,False
25,1,0.09007337834654752,2,True,True
26,2,0.03968807036360383,20,False,False
27,5,inf,23,False,False
28,4,0.0325674965024436,8,False,False
29,4,0.0347566080233037,11,False,False
30,2,0.11510181561371548,13,False,False
31,4,0.03946225448674339,6,False,False
32,2,inf,3,False,False
33,1,0.14262447037107379,2,True,True
34,3,0.017146196424233727,7,False,False
35,1,inf,10,True,True
36,3,0.4486185104014554,4,False,False
37,2,0.15221614396484323,6,False,False
38,1,0.021317729774467612,3,True,True
39,4,inf,5,False,False
40,1,inf,1,True,True
41,4,inf,18,False,False
42,3,0.039835342729974944,12,False,False
43,4,inf,12,False,False
44,2,inf,4,False,False
45,5,0.1211314317661585,11,False,False
46,2,1.200546771838444,2,False,False
47,4,0.14732732420237718,15,False,False
48,3,0.0880764039579622,7,False,False
49,1,0.006189815811750276,3,False,False
50,7,inf,21,False,False
51,4,0.533146123887742,5,False,False
52,2,0.0286902604747187,3,False,False
53,1,0.039574013643774886,15,True,True
54,3,0.07976313331006371,16,False,False
55,4,0.06260726244354009,6,False,False
56,1,1.0161265245436242,5,True,True
57,3,0.043971691803027624,10,False,False
58,1,0.06727548685750408,1,True,True
59,3,1.0355422994296504,3,False,False
60,2,0.04603555649912925,13,False,False
61,1,0.013807840691452545,5,False,False
62,4,0.041839718921314654,5,False,False
63,4,0.05995726289337271,8,False,False
64,4,0.015559608901966377,8,False,False
65,2,0.07607266159367432,4,False,False
66,3,0.0940027089619586,4,False,False
67,1,1.0497325810924434,1,True,True
68,6,0.16759619409514884,15,False,False
69,3,0.02451943239225941,7,False,False
70,2,inf,19,False,False
71,2,0.07229012555974426,2,False,False
72,3,0.030876382104036617,10,False,False
73,1,0.02491250503380727,5,True,True
74,1,0.49480666917527233,1,True,True
75,1,0.03428946137506195,6,True,True
76,1,0.017970233464033272,5,False,False
77,4,0.13008515834395915,10,False,False
78,4,0.06794010449095365,6,False,False
79,3,0.03250613711251824,12,False,False
80,2,0.043172535661135984,3,False,False
81,4,0.08027140736157384,17,False,False
82,3,inf,4,False,False
83,5,inf,6,False,False
84,3,0.9778153941289939,5,False,False
85,2,0.1322162442800745,9,False,False
86,3,inf,22,False,False
87,2,inf,21,False,False
88,4,0.057312575241179185,7,False,False
89,5,0.10630783665087182,9,False,False
90,3,0.05974058275093713,7,False,False
91,6,inf,10,False,False
92,6,0.06337429984282728,15,False,False
93,1,inf,16,True,True
94,6,0.3001859278469697,12,False,False
95,4,0.031243774867086384,8,False,False
96,5,0.010981082785661555,11,False,False
97,7,inf,16,False,False
98,6,inf,12,False,False
99,3,inf,11,False,False
100,3,0.07104766894130787,14,False,False
101,1,0.03968080636925765,1,True,True
102,6,inf,13,False,False
103,6,0.7805045079053008,22,False,False
104,4,inf,22,False,False
105,3,0.11346677475338145,9,False,False
106,4,0.022605132867909623,5,False,False
107,3,inf,3,False,False
108,2,0.004047374781138766,9,False,False
109,6,0.1681318339323019,18,False,False
110,2,0.021900090368619514,10,False,False
111,4,0.052956280513104644,8,False,False
112,3,0.1804487030143262,3,False,False
113,4,1.0743397073322911,4,False,False
114,3,0.35296947958919606,17,False,False
115,6,inf,22,False,False
116,1,inf,6,True,True
117,5,0.07765387608447305,11,False,False
118,3,0.03425878931181799,3,False,False
119,2,0.09448043965117175,9,False,False
120,4,0.04655365910954944,9,False,False
121,2,0.02237878745909662,3,False,False
122,4,0.05239574101081289,9,False,False
123,2,0.12927649796356167,3,False,False
124,6,inf,12,False,False
125,4,0.13811327326377296,21,False,False
126,2,0.01999703255174354,4,False,False
127,4,0.14411564315631398,20,False,False
128,6,0.2998595162240847,19,False,False
129,4,inf,4,False,False
130,5,0.01961021736194861,11,False,False
