problema,D,M,n_gens,ch_total,ch_bloco_seeding,ch_seeding_esperado,ch_seeding_ok,ch_prole,rounds_completos,slots_completos,fe_completos,ch_prole_completos,resto_final,LEDGER_resto_eq_chprole,ch_prole_round_final,slots_round_final,slots_final_le_N,ch_taxa_prole,c0_dup,ch_seeding_sids_unicos,ch_seeding_todos_init,pop_clones_total,pop_gers_com_clone,pop_clone_max,pop_linhas_20,rel_ideal,rel_nadirpop,rel_nadir1,nf1_eq,nf1_n,nf1_dmax,f_zeros_exatos,f_zeros_frac,f_min_abs_naozero,turn_med,turn_min,turn_max,turn_zero,sobrev_doe_final,sobrev_doe_frac,dupX_f32,dmin_rel,n_pares_lt_1e6
BBOB_F1,10,2,11,38,21,21,True,17,10,200,184,16,16,True,1,17,True,0.07834101382488479,True,20,True,16,5,5,True,4.3512607333986194e-08,4.5705303297375307e-08,4.5705303297375307e-08,11,11,0,0,0.0,8.175554275512695,9.7,7,12,0,0,0.0,0,3.687272200226929e-05,0
BBOB_F17,10,2,11,30,21,21,True,9,10,200,193,7,7,True,2,9,True,0.0430622009569378,True,20,True,13,6,3,True,5.229062574747432e-08,4.002717212761635e-08,4.626534276209174e-08,11,11,0,0,0.0,5.0788493156433105,10.0,8,12,0,0,0.0,0,2.0554018337267367e-05,0
BBOB_F22,10,2,11,24,21,21,True,3,10,200,197,3,3,True,0,3,True,0.014778325123152709,True,20,True,3,2,2,True,5.7059718353214895e-08,5.246479123414718e-08,5.246479123414718e-08,11,11,0,0,0.0,35.30475997924805,9.7,6,13,0,0,0.0,0,1.7027535592826109e-06,0
BBOB_F37,10,2,11,24,21,21,True,3,10,200,197,3,3,True,0,3,True,0.014778325123152709,True,20,True,1,1,1,True,5.137385040987631e-08,4.045034389475609e-08,4.2285850812752826e-08,11,11,0,0,0.0,139.3961181640625,8.0,4,10,0,0,0.0,0,2.585863439808002e-05,0
BBOB_F49,10,2,11,24,21,21,True,3,10,200,197,3,3,True,0,3,True,0.014778325123152709,True,20,True,7,5,3,True,4.428037204996407e-08,4.3652672297019146e-08,4.3652672297019146e-08,11,11,0,0,0.0,22.15432357788086,7.4,4,12,0,0,0.0,0,9.439866042087294e-07,2
BBOB_F5,10,2,11,27,21,21,True,6,10,200,195,5,5,True,1,6,True,0.02912621359223301,True,20,True,4,4,1,True,5.185343443302371e-08,5.307122048086031e-08,5.307122048086031e-08,11,11,0,0,0.0,9.147378921508789,9.1,7,12,0,0,0.0,0,9.868321097881461e-05,0
BBOB_F55,10,2,11,27,21,21,True,6,10,200,194,6,6,True,0,6,True,0.02912621359223301,True,20,True,7,4,4,True,4.6501707832854096e-08,4.166261888944305e-08,4.166261888944305e-08,11,11,0,0,0.0,14.96063232421875,7.8,4,9,0,0,0.0,0,5.5699749089683576e-05,0
DTLZ1,7,3,8,23,21,21,True,2,7,140,138,2,2,True,0,2,True,0.014084507042253521,True,20,True,0,0,0,True,4.1501170688185944e-08,5.3430658585575695e-08,5.3430658585575695e-08,8,8,0,43,0.06635802469135803,0.0015335017815232277,8.571428571428571,8,9,0,0,0.0,0,0.0002699021109158107,0
DTLZ2,12,3,13,25,21,21,True,4,12,240,236,4,4,True,0,4,True,0.01639344262295082,True,20,True,0,0,0,True,4.447258070999805e-08,3.116472097132323e-08,3.116472097132323e-08,13,13,0,11,0.009883198562443846,4.738250814947425e-19,8.5,5,11,0,0,0.0,0,0.0015349311658601128,0
DTLZ3,12,3,13,24,21,21,True,3,12,240,237,3,3,True,0,3,True,0.012345679012345678,True,20,True,1,1,1,True,3.8824925138262675e-08,5.716917334349885e-08,5.716917334349885e-08,13,13,0,58,0.05211141060197664,1.9383927599023404e-15,7.666666666666667,5,10,0,0,0.0,0,0.0010952060525874535,0
