problema,gers,bracket_ok,falhas,det
BBOB_F1,11,11,0,[]
BBOB_F17,11,11,0,[]
BBOB_F22,11,11,0,[]
BBOB_F37,11,11,0,[]
BBOB_F49,11,11,0,[]
BBOB_F5,11,11,0,[]
BBOB_F55,11,11,0,[]
DTLZ1,8,8,0,[]
DTLZ2,13,13,0,[]
DTLZ3,13,13,0,[]
DTLZ4,13,13,0,[]
DTLZ7,23,23,0,[]
MMF1,3,3,0,[]
MMF11_L,3,3,0,[]
MMF16_20,21,21,0,[]
MMF4,3,2,1,"[(2, 16, 15, 3)]"
WFG1,23,23,0,[]
WFG2,23,23,0,[]
WFG4,23,23,0,[]
WFG5,23,23,0,[]
WFG9,23,23,0,[]
ZDT1,31,31,0,[]
ZDT3,31,31,0,[]
ZDT4,11,11,0,[]
ZDT6,11,11,0,[]
