label,status,motivo,n_retries,fallback,maxfe,fe_final,n_ger_manif,schema_version,tempo_aval_real_s,tempo_total_s,n_fit_series,T11_manif_campanha_id,T11_manif_repo_hash,T11_manif_params,T11_sigma_granularidade,n_chaves_sigma,doe_ok,sonda_nblocos,sonda_S,D,M,n1,c1_eq_maxfe,c1_todo_init,c1_fe_denso,n2,n4,t_fit,t_busca,t_sonda,t_ger,U7_ok,n_acum_eq_N,n3,n3_busca,n3_sonda,regimes,sonda_ger_null,rsid_null_share,fe_treino_unico,fe_treino_val,fe_treino_eq_N1,sigma_max_sonda,sigma_zero_share_max,sigma_teto_share_max,sigma_nan,mu_const_objs,n_ger_c3,ger_eq_manif,N_RV,pop1_eq_NRV,pop_max,pop_teto_ok,pop_final,lhs_ok_g1,lhs_dims,lhs_ok_g2,FE_antes,FE_final,FE40k_ok,overshoot,overshoot_le_prole,inter_busca_dataset,sel_n_trans,sel_n_sigma_maior_desc,sel_frac,sel_razao,sigma_deriva,n7,c7_eq_c3,nd_share,rec_counts,n_decision,n_footer,dec_keys,fbest_exato,T11_dec_p_wrong_stats,T11_dec_n_substituicoes,T11_dec_flag_vetores_degenerados,T11_dec_todos_ausentes
BBOB_F1,ok,orcamento,0,False,309,309,828,1,0.0,138.825,1,False,False,False,False,18,True,1,20000,10,2,309,True,True,True,0,1,0.7373089790344238,134.73202514648438,0.6086599826812744,135.46932983398438,True,True,59655,39655,20000,offline|sonda,True,1.0,1,308,True,15.666458129882812,0.0,0.0,0,0,828,False,50,True,50,True,48,3,10,0,39974,40024,True,24,True,0,826,429,0.5193704600484261,1.0079116821289062,0.7389180660247803,48,True,0.5833333333333334,"{""header"": 1, ""sonda"": 1, ""decision"": 828, ""footer"": 2}",828,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,828,0,0,0,True
BBOB_F17,ok,orcamento,0,False,309,309,2461,1,0.0,139.3983,1,False,False,False,False,18,True,1,20000,10,2,309,True,True,True,0,1,0.7201979160308838,135.7025146484375,0.6087071895599365,136.42271423339844,True,True,58877,38877,20000,offline|sonda,True,1.0,1,308,True,31.008371353149414,0.0,0.0,0,0,2461,False,50,True,50,True,29,1,10,5,39984,40014,True,14,True,0,2135,1147,0.5372365339578454,1.0001469850540161,0.9768684506416321,29,True,0.10344827586206896,"{""header"": 1, ""sonda"": 1, ""decision"": 2461, ""footer"": 2}",2461,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,2461,0,0,0,True
BBOB_F22,ok,orcamento,0,False,309,309,1144,1,0.0,134.0881,1,False,False,False,False,18,True,1,20000,10,2,309,True,True,True,0,1,0.7609601020812988,130.457763671875,0.6114828586578369,131.21871948242188,True,True,59436,39436,20000,offline|sonda,True,1.0,1,308,True,25.24570655822754,0.0,0.0,0,0,1144,False,50,True,50,True,39,1,10,1,39972,40012,True,12,True,0,1107,425,0.3839205058717254,1.0004349946975708,0.6862369179725647,39,True,0.1282051282051282,"{""header"": 1, ""sonda"": 1, ""decision"": 1144, ""footer"": 2}",1144,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,1144,0,0,0,True
BBOB_F37,ok,orcamento,0,False,309,309,814,1,0.0,138.8636,1,False,False,False,False,18,True,1,20000,10,2,309,True,True,True,0,1,0.8456361293792725,134.93328857421875,0.6038990020751953,135.7789306640625,True,True,59765,39765,20000,offline|sonda,True,1.0,1,308,True,30.774385452270508,0.0,0.0,0,0,814,False,50,True,50,True,50,2,10,0,39966,40016,True,16,True,0,808,297,0.36757425742574257,0.9968451261520386,0.759489893913269,50,True,0.14,"{""header"": 1, ""sonda"": 1, ""decision"": 814, ""footer"": 2}",814,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,814,0,0,0,True
BBOB_F49,ok,orcamento,0,False,309,309,919,1,0.0,136.5114,1,False,False,False,False,18,True,1,20000,10,2,309,True,True,True,0,1,0.7700800895690918,132.75741577148438,0.6095480918884277,133.52749633789062,True,True,59595,39595,20000,offline|sonda,True,1.0,1,308,True,30.504308700561523,0.0,0.0,0,0,919,False,50,True,50,True,46,1,10,0,39986,40026,True,26,True,0,917,320,0.3489640130861505,0.9847668409347534,0.6645736694335938,46,True,0.043478260869565216,"{""header"": 1, ""sonda"": 1, ""decision"": 919, ""footer"": 2}",919,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,919,0,0,0,True
BBOB_F5,ok,orcamento,0,False,309,309,879,1,0.0,135.8448,1,False,False,False,False,18,True,1,20000,10,2,309,True,True,True,0,1,0.9397070407867432,131.97120666503906,0.6049320697784424,132.91090393066406,True,True,59561,39561,20000,offline|sonda,True,1.0,1,308,True,19.42186737060547,0.0,0.0,0,0,879,False,50,True,50,True,46,1,10,0,39958,40004,True,4,True,0,878,538,0.6127562642369021,1.0055022239685059,0.7911706566810608,46,True,0.5869565217391305,"{""header"": 1, ""sonda"": 1, ""decision"": 879, ""footer"": 2}",879,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,879,0,0,0,True
BBOB_F55,ok,orcamento,0,False,309,309,942,1,0.0,139.8258,1,False,False,False,False,18,True,1,20000,10,2,309,True,True,True,0,1,0.7121982574462891,136.2969512939453,0.6050019264221191,137.0091552734375,True,True,59547,39547,20000,offline|sonda,True,1.0,1,308,True,15.526410102844238,0.0,0.0,0,0,942,False,50,True,50,True,44,0,10,0,39978,40022,True,22,True,0,940,612,0.6510638297872341,1.0821326971054077,0.2587354779243469,44,True,0.1590909090909091,"{""header"": 1, ""sonda"": 1, ""decision"": 942, ""footer"": 2}",942,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,942,0,0,0,True
DTLZ1,ok,orcamento,0,False,216,216,870,1,0.0,351.1107,1,False,False,False,False,18,True,1,20000,7,3,216,True,True,True,0,1,0.2499408721923828,348.10772705078125,0.50177001953125,348.357666015625,True,True,59524,39524,20000,offline|sonda,True,1.0,1,215,True,31.62277603149414,0.0,0.999,0,0,870,False,105,True,105,True,51,0,7,0,39953,40003,True,3,True,0,869,637,0.7330264672036824,1.0282158851623535,0.8674558997154236,51,True,0.09803921568627451,"{""header"": 1, ""sonda"": 1, ""decision"": 870, ""footer"": 2}",870,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,870,0,0,0,True
DTLZ2,ok,orcamento,0,False,371,371,504,1,0.0,283.8934,1,False,False,False,False,18,True,1,20000,12,3,371,True,True,True,0,1,3.8744850158691406,275.41412353515625,1.1842811107635498,279.2886047363281,True,True,59791,39791,20000,offline|sonda,True,1.0,1,370,True,1.6683361530303955,0.0,0.0,0,0,504,False,105,True,105,True,83,0,12,0,39993,40077,True,77,True,0,503,387,0.7693836978131213,1.0510673522949219,0.8027018904685974,83,True,0.8554216867469879,"{""header"": 1, ""sonda"": 1, ""decision"": 504, ""footer"": 2}",504,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,504,0,0,0,True
DTLZ3,ok,orcamento,0,False,371,371,1077,1,0.0,449.4572,1,False,False,False,False,18,True,1,20000,12,3,371,True,True,True,0,1,0.5848801136016846,443.3053894042969,1.1638832092285156,443.8902587890625,True,True,59397,39397,20000,offline|sonda,True,1.0,1,370,True,31.62277603149414,0.0,1.0,0,2,1077,False,105,True,105,True,38,0,12,0,39983,40015,True,15,True,0,1076,407,0.37825278810408924,1.0,1.0,38,True,0.10526315789473684,"{""header"": 1, ""sonda"": 1, ""decision"": 1077, ""footer"": 2}",1077,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,1077,0,0,0,True
DTLZ4,ok,orcamento,0,False,371,371,2312,1,0.0,318.0481,1,False,False,False,False,18,True,1,20000,12,3,371,True,True,True,0,1,4.375887870788574,310.21063232421875,1.1809921264648438,314.5865173339844,True,True,58993,38993,20000,offline|sonda,True,1.0,1,370,True,0.3382142186164856,0.0,0.0,0,1,2312,False,105,True,105,True,14,0,12,0,39995,40009,True,9,True,0,2297,1127,0.49063996517196345,1.0015794038772583,0.8339446187019348,14,True,0.5714285714285714,"{""header"": 1, ""sonda"": 1, ""decision"": 2312, ""footer"": 2}",2312,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,2312,0,0,0,True
DTLZ7,ok,orcamento,0,False,681,681,785,1,0.0,326.3101,1,False,False,False,False,18,True,1,20000,22,3,681,True,True,True,0,1,46.951171875,273.01153564453125,3.5850350856781006,319.96270751953125,True,True,59563,39563,20000,offline|sonda,True,1.0,1,680,True,1.8404604196548462,0.75185,0.0,0,0,785,False,105,True,105,True,52,0,22,0,39957,40007,True,7,True,0,782,755,0.9654731457800512,1.2882126569747925,0.7613070607185364,52,True,0.34615384615384615,"{""header"": 1, ""sonda"": 1, ""decision"": 785, ""footer"": 2}",785,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,785,0,0,0,True
MMF1,ok,orcamento,0,False,61,61,909,1,0.0,141.1033,1,False,False,False,False,18,True,1,20000,2,2,61,True,True,True,0,1,0.04280495643615723,138.67796325683594,0.12707209587097168,138.7207794189453,True,True,59588,39588,20000,offline|sonda,True,1.0,1,60,True,2.5359835624694824,0.0,0.0,0,0,909,False,50,True,50,True,44,0,2,0,39994,40038,True,38,True,0,908,900,0.9911894273127754,2.228689432144165,0.5008977651596069,44,True,0.45454545454545453,"{""header"": 1, ""sonda"": 1, ""decision"": 909, ""footer"": 2}",909,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,909,0,0,0,True
MMF11_L,ok,orcamento,0,False,61,61,848,1,0.0,147.141,1,False,False,False,False,18,True,1,20000,2,2,61,True,True,True,0,1,0.02748584747314453,144.78663635253906,0.12342190742492676,144.8141326904297,True,True,59562,39562,20000,offline|sonda,True,1.0,1,60,True,2.804018497467041,0.42295,0.0,0,0,848,False,50,True,50,True,48,0,2,0,39952,40002,True,2,True,0,847,741,0.8748524203069658,1.7487119436264038,0.5415270328521729,48,True,0.4375,"{""header"": 1, ""sonda"": 1, ""decision"": 848, ""footer"": 2}",848,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,848,0,0,0,True
MMF16_20,ok,orcamento,0,False,619,619,595,1,0.0,290.1298,1,False,False,False,False,18,True,1,20000,20,3,619,True,True,True,0,1,19.638181686401367,264.68389892578125,3.0355238914489746,284.32208251953125,True,True,59690,39690,20000,offline|sonda,True,1.0,1,618,True,0.44445866346359253,0.0,0.0,0,0,595,False,105,True,105,True,74,0,20,0,39957,40031,True,31,True,0,594,261,0.4393939393939394,0.9967134594917297,0.3622298240661621,74,True,0.7567567567567568,"{""header"": 1, ""sonda"": 1, ""decision"": 595, ""footer"": 2}",595,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,595,0,0,0,True
MMF4,ok,orcamento,0,False,61,61,865,1,0.0,136.0038,1,False,False,False,False,18,True,1,20000,2,2,61,True,True,True,0,1,0.06399989128112793,133.65420532226562,0.1244359016418457,133.7182159423828,True,True,59569,39569,20000,offline|sonda,True,1.0,1,60,True,0.8781476616859436,0.0,0.0,0,0,865,False,50,True,50,True,48,0,2,0,39966,40014,True,14,True,0,864,718,0.8310185185185185,1.445696234703064,0.3382300138473511,48,True,0.6875,"{""header"": 1, ""sonda"": 1, ""decision"": 865, ""footer"": 2}",865,2,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,865,0,0,0,True
