problema,D,M,N_ef,n_ger,M15_ideal,M15_nadir,M15_quebras,clones,clones_prev,razao,nf_exato,nf_bracket,nf_fora
BBOB_F1,10,2,20,12,12,12,6,34,35.26385282429328,0.9641601038153548,12,0,0
BBOB_F17,10,2,20,14,14,14,6,74,73.24630786124125,1.0102898311295985,14,0,0
BBOB_F22,10,2,20,14,14,14,5,63,68.36957678788949,0.9214624831663341,14,0,0
BBOB_F37,10,2,20,13,13,13,4,41,39.7990560896174,1.030175185755119,13,0,0
BBOB_F49,10,2,20,14,14,14,5,69,73.94298372886293,0.9331514164077006,14,0,0
BBOB_F5,10,2,20,14,14,14,7,69,73.94298372886293,0.9331514164077006,14,0,0
BBOB_F55,10,2,20,13,13,13,3,51,47.46249063345588,1.074532737733122,13,0,0
DTLZ1,7,3,15,11,11,11,5,12,14.940400197682461,0.8031913363245402,11,0,0
DTLZ2,12,3,15,17,17,17,6,12,14.450211145160425,0.8304376925328849,17,0,0
DTLZ3,12,3,15,18,18,18,7,26,31.343165387562518,0.8295269376435485,17,1,0
DTLZ4,12,3,15,18,18,18,3,21,25.008790939095228,0.8397047282750304,6,12,0
DTLZ7,22,3,15,33,33,33,11,53,65.40291001638477,0.8103614959444835,26,7,0
MMF1,2,2,20,3,3,3,2,13,8.8125,1.475177304964539,3,0,0
MMF11_L,2,2,20,3,3,3,1,11,9.0,1.2222222222222223,2,1,0
MMF16_20,20,3,15,29,29,29,6,25,34.414764448138975,0.7264324019324185,29,0,0
MMF4,2,2,20,3,3,3,1,10,7.6875,1.3008130081300813,3,0,0
WFG1,22,2,20,31,31,31,5,162,150.21103476477128,1.0784826844025812,31,0,0
WFG2,22,2,20,27,27,27,17,88,97.38563484409403,0.9036240318285175,27,0,0
WFG4,22,2,20,27,27,27,2,94,93.79207068991063,1.0022169177901703,27,0,0
WFG5,22,2,20,26,26,26,1,78,73.30875329751987,1.0639929952626659,26,0,0
WFG9,22,2,20,25,25,25,2,43,42.404099857997345,1.014052889791275,25,0,0
ZDT1,30,2,20,38,38,38,3,158,160.57771208339133,0.9839472611114756,31,7,0
ZDT3,30,2,20,38,38,38,4,158,156.5994354390187,1.0089436118147865,37,1,0
ZDT4,10,2,20,14,14,14,1,69,72.54963199361957,0.9510730530799695,14,0,0
ZDT6,10,2,20,14,14,14,2,66,70.45960439075454,0.9367069340040219,13,1,0
