celula,n7,n3_ultger,ger,uniqX_7,dupX_7,nd_log,nd_recomp,nd_dedupX,fantasia_pub,fantasia_dedup,link_literal_ordem3,link_subset_kriging,ordem3,mtime7
BBOB_F1,100,200,99,98,2,99,99,97,0.99,0.9897959183673469,False,True,"Kri,RBF,Kri,RBF",21:57:24
BBOB_F17,100,200,99,100,0,9,9,9,0.09,0.09,False,True,"Kri,RBF,Kri,RBF",21:57:26
BBOB_F22,100,200,99,100,0,20,20,20,0.2,0.2,False,True,"Kri,RBF,Kri,RBF",21:57:26
BBOB_F37,100,200,99,100,0,5,5,5,0.05,0.05,False,True,"Kri,RBF,Kri,RBF",21:57:27
BBOB_F49,100,200,99,99,1,15,15,15,0.15,0.15151515151515152,False,True,"Kri,RBF,Kri,RBF",21:57:27
BBOB_F5,100,200,99,99,1,74,74,74,0.74,0.7474747474747475,False,True,"Kri,RBF,Kri,RBF",21:57:25
BBOB_F55,100,200,99,97,3,4,4,4,0.04,0.041237113402061855,False,True,"Kri,RBF,Kri,RBF",21:57:28
DTLZ1,100,200,99,100,0,24,24,24,0.24,0.24,False,True,"Kri,RBF,Kri,RBF",21:57:19
DTLZ2,100,200,99,100,0,81,81,81,0.81,0.81,False,True,"Kri,RBF,Kri,RBF",21:57:19
DTLZ3,100,200,99,100,0,46,46,46,0.46,0.46,False,True,"Kri,RBF,Kri,RBF",21:57:20
DTLZ4,100,200,99,100,0,22,22,22,0.22,0.22,False,True,"Kri,RBF,Kri,RBF",21:57:20
DTLZ7,100,200,99,100,0,40,40,40,0.4,0.4,False,True,"Kri,RBF,Kri,RBF",21:57:21
MMF1,100,200,99,88,12,37,37,34,0.37,0.38636363636363635,False,True,"Kri,RBF,Kri,RBF",21:57:01
MMF11_L,100,200,99,84,16,73,73,70,0.73,0.8333333333333334,False,True,"Kri,RBF,Kri,RBF",21:57:16
MMF16_20,100,200,99,100,0,100,100,100,1.0,1.0,False,True,"Kri,RBF,Kri,RBF",21:57:16
MMF4,100,200,99,78,22,71,71,49,0.71,0.6282051282051282,False,True,"Kri,RBF,Kri,RBF",21:57:15
WFG1,100,200,99,100,0,38,38,38,0.38,0.38,False,True,"Kri,RBF,Kri,RBF",21:57:22
WFG2,100,200,99,100,0,12,12,12,0.12,0.12,False,True,"Kri,RBF,Kri,RBF",21:57:22
WFG4,100,200,99,100,0,26,26,26,0.26,0.26,False,True,"Kri,RBF,Kri,RBF",21:57:23
WFG5,100,200,99,100,0,31,31,31,0.31,0.31,False,True,"Kri,RBF,Kri,RBF",21:57:23
WFG9,100,200,99,100,0,19,19,19,0.19,0.19,False,True,"Kri,RBF,Kri,RBF",21:57:24
ZDT1,100,200,99,100,0,95,95,95,0.95,0.95,False,True,"Kri,RBF,Kri,RBF",21:57:17
ZDT3,100,200,99,100,0,26,26,26,0.26,0.26,False,True,"Kri,RBF,Kri,RBF",21:57:17
ZDT4,100,200,99,95,5,7,7,7,0.07,0.07368421052631578,False,True,"Kri,RBF,Kri,RBF",21:57:18
ZDT6,100,200,99,100,0,5,5,5,0.05,0.05,False,True,"Kri,RBF,Kri,RBF",21:57:18
swap_medium-lhs_DTLZ2,100,200,99,100,0,70,70,70,0.7,0.7,False,True,"Kri,RBF,Kri,RBF",21:57:34
swap_medium-lhs_MMF16_20,100,200,99,100,0,100,100,100,1.0,1.0,False,True,"Kri,RBF,Kri,RBF",21:57:33
swap_medium-lhs_WFG9,100,200,99,99,1,11,11,11,0.11,0.1111111111111111,False,True,"Kri,RBF,Kri,RBF",21:57:34
swap_medium-lhs_ZDT1,100,200,99,100,0,92,92,92,0.92,0.92,False,True,"Kri,RBF,Kri,RBF",21:57:35
swap_medium-lhs_ZDT4,200,200,99,94,106,10,10,5,0.05,0.05319148936170213,True,False,"Kri,RBF,Kri,RBF",21:42:51
swap_medium-mvns_DTLZ2,100,200,99,100,0,22,22,22,0.22,0.22,False,True,"Kri,RBF,Kri,RBF",21:57:36
swap_medium-mvns_MMF16_20,100,200,99,100,0,99,99,99,0.99,0.99,False,True,"Kri,RBF,Kri,RBF",21:57:35
swap_medium-mvns_WFG9,100,200,99,100,0,19,19,19,0.19,0.19,False,True,"Kri,RBF,Kri,RBF",21:57:37
swap_medium-mvns_ZDT1,100,200,99,99,1,94,94,93,0.94,0.9393939393939394,False,True,"Kri,RBF,Kri,RBF",21:57:38
swap_medium-mvns_ZDT4,100,200,99,92,8,4,4,4,0.04,0.043478260869565216,False,True,"Kri,RBF,Kri,RBF",21:57:36
swap_small-lhs_DTLZ2,100,200,99,100,0,81,81,81,0.81,0.81,False,True,"Kri,RBF,Kri,RBF",21:57:29
swap_small-lhs_MMF16_20,100,200,99,100,0,100,100,100,1.0,1.0,False,True,"Kri,RBF,Kri,RBF",21:57:28
swap_small-lhs_WFG9,100,200,99,100,0,19,19,19,0.19,0.19,False,True,"Kri,RBF,Kri,RBF",21:57:30
swap_small-lhs_ZDT1,100,200,99,100,0,95,95,95,0.95,0.95,False,True,"Kri,RBF,Kri,RBF",21:57:30
swap_small-lhs_ZDT4,100,200,99,95,5,7,7,7,0.07,0.07368421052631578,False,True,"Kri,RBF,Kri,RBF",21:57:29
swap_small-mvns_DTLZ2,100,200,99,100,0,52,52,52,0.52,0.52,False,True,"Kri,RBF,Kri,RBF",21:57:32
swap_small-mvns_MMF16_20,100,200,99,100,0,51,51,51,0.51,0.51,False,True,"Kri,RBF,Kri,RBF",21:57:31
swap_small-mvns_WFG9,100,200,99,100,0,13,13,13,0.13,0.13,False,True,"Kri,RBF,Kri,RBF",21:57:32
swap_small-mvns_ZDT1,100,200,99,100,0,96,96,96,0.96,0.96,False,True,"Kri,RBF,Kri,RBF",21:57:33
swap_small-mvns_ZDT4,100,200,99,99,1,1,1,1,0.01,0.010101010101010102,False,True,"Kri,RBF,Kri,RBF",21:57:31
