label,b5m_n_ger,b5m_pop,b5m_turn_1,b5m_turn_mean,b5m_turn_last,b5m_gers_ativas,b5m_gers_congeladas,b5m_onset_congelamento,b5m_onset_mod10,b5m_amp_mu_g1,b5m_amp_mu_last,b5m_amp_zero_desde,b5m_mu_unicos,b5m_sg_unicos,b5m_X_igual_ger1,moead_media_n_ger,moead_media_pop,moead_media_turn_1,moead_media_turn_mean,moead_media_turn_last,moead_media_gers_ativas,moead_media_gers_congeladas,moead_media_onset_congelamento,moead_media_onset_mod10,moead_media_amp_mu_g1,moead_media_amp_mu_last,moead_media_amp_zero_desde,moead_media_mu_unicos,moead_media_sg_unicos,moead_media_X_igual_ger1
BBOB_F1,801,50,1.0,0.3172750000000001,0.24,800,1,801,1,323.2667236328125,82.9837293624878,802,22873,22788,False,801,50,1.0,0.13175,0.08,720,1,801,1,272.66800689697266,94.1669454574585,802,9635,,False
BBOB_F17,801,50,1.0,0.6507000000000001,0.62,800,1,801,1,64067448.42965317,55553.989349365234,802,8164,8710,False,801,50,0.98,0.062174999999999994,0.0,59,742,60,0,62901268.12501051,0.0,60,563,,False
BBOB_F22,801,50,1.0,0.218925,0.08,791,1,801,1,1451194.4698486328,34667.02862548828,802,10477,10442,False,801,50,0.98,0.18637499999999999,0.02,782,1,801,1,1651922.894897461,36508.19787597656,802,9603,,False
BBOB_F37,801,50,0.98,0.36190000000000005,0.18,800,1,801,1,5120.59428024292,2127.225372314453,802,23751,23741,False,801,50,0.98,0.2896,0.14,800,1,801,1,6159.933059692383,2036.0221557617188,802,20565,,False
BBOB_F49,801,50,0.98,0.720375,0.7,800,1,801,1,7370.715335845947,259.56288146972656,802,27055,26978,False,801,50,0.96,0.24545000000000003,0.02,787,1,801,1,7642.161512374878,1327.9963836669922,802,15978,,False
BBOB_F5,801,50,1.0,0.30400000000000005,0.14,800,1,801,1,1412.1953620910645,298.452600479126,802,20575,20539,False,801,50,1.0,0.11442500000000001,0.02,668,1,801,1,1536.5094146728516,419.7387809753418,802,7531,,False
BBOB_F55,801,50,0.98,0.4673999999999999,0.42,800,1,801,1,67.58670043945312,81.82001495361328,802,23248,23266,False,801,50,0.98,0.21202500000000002,0.1,778,1,801,1,66.96268463134766,34.53364944458008,802,14544,,False
DTLZ1,381,105,1.0,0.02631578947368421,0.0,10,371,11,1,0.0,0.0,1,1,1,False,381,105,1.0,0.1724561403508772,0.0,120,22,360,0,225.35363578796387,0.07099151611328125,382,385,,False
DTLZ2,381,105,0.9714285714285714,0.14255639097744358,0.06666666666666667,380,1,381,1,6.476674970239401,5.091206282377243,382,15983,15984,False,381,105,0.9904761904761905,0.15077694235588976,0.0,74,104,278,8,2.1243263859105355e-07,7.858349387879215e-12,382,212,,False
DTLZ3,381,105,0.0,0.0,0.0,0,381,1,1,0.0,0.0,1,1,1,True,381,105,0.9904761904761905,0.32671679197994985,0.0,178,12,370,0,1306.7348116298672,1036.888244629107,382,1940,,False
