label,problema,D,M,N,U1_N_formula,U1_maxfe,U1_fe_final,U1_c1,U1_init,U1_feidx,U2_ds_hash_ok,U2_ds_dx,U2_dpath,U3_c4_rows,U3_fitseries,U4_blocos,U4_S,U4_c3_sonda,U5_maxdX,U7_fit,U7_busca,U7_ger,U7_soma_ok,U7_sonda_excluida,U8_fetm_uniq,U8_fetm,U8_ok,U9_guards,U9_cache,U9_retries,U10_c3,U10_dec,U10_c7,U10_fbest,U10_nfront,U10_dec_n,U11_rsid_null,U11_c2,U12_nd,U12_link,U12_ger_ultima
BBOB_F1,BBOB_F1,10,2,309,True,True,True,True,True,True,True,0.0,ds_BBOB_F1_42.parquet,1,1,1,20000,20000,0.0,2.042491912841797,3054.755615234375,3056.798095703125,True,True,1,308,True,0,0,0,True,True,True,799,801,801,True,0,True,True,True
BBOB_F17,BBOB_F17,10,2,309,True,True,True,True,True,True,True,0.0,ds_BBOB_F17_42.parquet,1,1,1,20000,20000,0.0,1.1903789043426514,3378.228515625,3379.4189453125,True,True,1,308,True,0,0,0,True,True,True,0,196,801,True,0,True,True,True
BBOB_F22,BBOB_F22,10,2,309,True,True,True,True,True,True,True,0.0,ds_BBOB_F22_42.parquet,1,1,1,20000,20000,0.0,0.969912052154541,3432.212646484375,3433.1826171875,True,True,1,308,True,0,0,0,True,True,True,0,798,801,True,0,True,True,True
BBOB_F37,BBOB_F37,10,2,309,True,True,True,True,True,True,True,0.0,ds_BBOB_F37_42.parquet,1,1,1,20000,20000,0.0,0.8249108791351318,3015.553955078125,3016.37890625,True,True,1,308,True,0,0,0,True,True,True,32,800,801,True,0,True,True,True
BBOB_F49,BBOB_F49,10,2,309,True,True,True,True,True,True,True,0.0,ds_BBOB_F49_42.parquet,1,1,1,20000,20000,0.0,0.9386558532714844,3584.720703125,3585.659423828125,True,True,1,308,True,0,0,0,True,True,True,4,794,801,True,0,True,True,True
BBOB_F5,BBOB_F5,10,2,309,True,True,True,True,True,True,True,0.0,ds_BBOB_F5_42.parquet,1,1,1,20000,20000,0.0,0.7767481803894043,2976.82958984375,2977.6064453125,True,True,1,308,True,0,0,0,True,True,True,2,801,801,True,0,True,True,True
BBOB_F55,BBOB_F55,10,2,309,True,True,True,True,True,True,True,0.0,ds_BBOB_F55_42.parquet,1,1,1,20000,20000,0.0,0.9733748435974121,2868.15283203125,2869.1259765625,True,True,1,308,True,0,0,0,True,True,True,211,801,801,True,0,True,True,True
DTLZ1,DTLZ1,7,3,216,True,True,True,True,True,True,True,0.0,ds_DTLZ1_42.parquet,1,1,1,20000,20000,0.0,0.1760849952697754,3050.1923828125,3050.36865234375,True,True,1,215,True,0,0,0,True,True,True,381,371,381,True,0,True,True,True
DTLZ2,DTLZ2,12,3,371,True,True,True,True,True,True,True,0.0,ds_DTLZ2_42.parquet,1,1,1,20000,20000,0.0,4.159631252288818,3254.552734375,3258.71240234375,True,True,1,370,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
DTLZ3,DTLZ3,12,3,371,True,True,True,True,True,True,True,0.0,ds_DTLZ3_42.parquet,1,1,1,20000,20000,0.0,0.7302608489990234,3226.58447265625,3227.314697265625,True,True,1,370,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
DTLZ4,DTLZ4,12,3,371,True,True,True,True,True,True,True,0.0,ds_DTLZ4_42.parquet,1,1,1,20000,20000,0.0,4.632136344909668,2992.1064453125,2996.738525390625,True,True,1,370,True,0,0,0,True,True,True,381,252,381,True,0,True,True,True
DTLZ7,DTLZ7,22,3,681,True,True,True,True,True,True,True,0.0,ds_DTLZ7_42.parquet,1,1,1,20000,20000,0.0,41.48150634765625,2844.925537109375,2886.406982421875,True,True,1,680,True,0,0,0,True,True,True,381,370,381,True,0,True,True,True
MMF1,MMF1,2,2,61,True,True,True,True,True,True,True,0.0,ds_MMF1_42.parquet,1,1,1,20000,20000,0.0,0.10396027565002441,2960.448974609375,2960.552734375,True,True,1,60,True,0,0,0,True,True,True,801,799,801,True,0,True,True,True
MMF11_L,MMF11_L,2,2,61,True,True,True,True,True,True,True,0.0,ds_MMF11_L_42.parquet,1,1,1,20000,20000,0.0,0.033782005310058594,2674.00634765625,2674.040283203125,True,True,1,60,True,0,0,0,True,True,True,801,799,801,True,0,True,True,True
MMF16_20,MMF16_20,20,3,619,True,True,True,True,True,True,True,0.0,ds_MMF16_20_42.parquet,1,1,1,20000,20000,0.0,22.503971099853516,3182.92626953125,3205.430419921875,True,True,1,618,True,0,0,0,True,True,True,381,381,381,True,0,True,True,True
MMF4,MMF4,2,2,61,True,True,True,True,True,True,True,0.0,ds_MMF4_42.parquet,1,1,1,20000,20000,0.0,0.09315919876098633,2695.712158203125,2695.80517578125,True,True,1,60,True,0,0,0,True,True,True,801,801,801,True,0,True,True,True
