config,label,problema,M,n_ger,n_adapt,adapt_com_col_zerada,adapt_TODAS_zeradas,objs_sempre_zerados,frac_adapt_col_zerada,primeiro_adapt_zerado,primeiro_adapt_TODAS,transicoes,congeladas,frac_congelada,primeira_congelada,congelado_desde,frac_run_congelado
b5m,swap_medium-lhs_ZDT1,ZDT1,2,801,81,0,0,0,0.0,,,800,29,0.03625,325.0,801,0.0
b5m,swap_medium-lhs_ZDT4,ZDT4,2,801,81,0,0,0,0.0,,,800,0,0.0,,801,0.0
b5m,swap_medium-mvns_DTLZ2,DTLZ2,3,381,39,0,0,0,0.0,,,380,0,0.0,,381,0.0
b5m,swap_medium-mvns_MMF16_20,MMF16_20,3,381,39,0,0,0,0.0,,,380,0,0.0,,381,0.0
b5m,swap_medium-mvns_WFG9,WFG9,2,801,81,0,0,0,0.0,,,800,0,0.0,,801,0.0
b5m,swap_medium-mvns_ZDT1,ZDT1,2,801,81,0,0,0,0.0,,,800,7,0.00875,350.0,801,0.0
b5m,swap_medium-mvns_ZDT4,ZDT4,2,801,81,78,78,0,0.9629629629629629,31.0,31.0,800,771,0.96375,31.0,30,0.9625468164794008
b5m,swap_small-lhs_DTLZ2,DTLZ2,3,381,39,0,0,0,0.0,,,380,0,0.0,,381,0.0
b5m,swap_small-lhs_MMF16_20,MMF16_20,3,381,39,0,0,0,0.0,,,380,0,0.0,,381,0.0
b5m,swap_small-lhs_WFG9,WFG9,2,801,81,0,0,0,0.0,,,800,0,0.0,,801,0.0
b5m,swap_small-lhs_ZDT1,ZDT1,2,801,81,0,0,0,0.0,,,800,0,0.0,,801,0.0
b5m,swap_small-lhs_ZDT4,ZDT4,2,801,81,0,0,0,0.0,,,800,0,0.0,,801,0.0
b5m,swap_small-mvns_DTLZ2,DTLZ2,3,381,39,0,0,0,0.0,,,380,0,0.0,,381,0.0
b5m,swap_small-mvns_MMF16_20,MMF16_20,3,381,39,0,0,0,0.0,,,380,0,0.0,,381,0.0
b5m,swap_small-mvns_WFG9,WFG9,2,801,81,0,0,0,0.0,,,800,2,0.0025,698.0,801,0.0
b5m,swap_small-mvns_ZDT1,ZDT1,2,801,81,0,0,0,0.0,,,800,395,0.49375,29.0,780,0.026217228464419477
b5m,swap_small-mvns_ZDT4,ZDT4,2,801,81,0,0,0,0.0,,,800,0,0.0,,801,0.0
b5r,BBOB_F1,BBOB_F1,2,828,83,0,0,0,0.0,,,827,1,0.0012091898428053204,182.0,828,0.0
b5r,BBOB_F17,BBOB_F17,2,2461,247,0,0,0,0.0,,,2460,112,0.04552845528455285,3.0,2461,0.0
b5r,BBOB_F22,BBOB_F22,2,1144,115,0,0,0,0.0,,,1143,5,0.004374453193350831,6.0,1144,0.0
b5r,BBOB_F37,BBOB_F37,2,814,82,0,0,0,0.0,,,813,5,0.006150061500615006,99.0,814,0.0
b5r,BBOB_F49,BBOB_F49,2,919,92,0,0,0,0.0,,,918,0,0.0,,919,0.0
