cfg,label,n7,x_dist,f_dist,nd,fant,dup
moead_media,BBOB_F1,50,50,50,29,0.58,0
moead_media,BBOB_F17,50,1,1,50,1.0,49
moead_media,BBOB_F22,50,48,48,17,0.34,2
moead_media,BBOB_F37,50,50,50,3,0.06,0
moead_media,BBOB_F49,50,50,50,4,0.08,0
moead_media,BBOB_F5,50,50,50,28,0.56,0
moead_media,BBOB_F55,50,50,50,4,0.08,0
moead_media,DTLZ1,105,5,5,94,0.8952380952380953,100
moead_media,DTLZ2,105,9,9,99,0.9428571428571428,96
moead_media,DTLZ3,105,2,2,104,0.9904761904761905,103
moead_media,DTLZ4,105,18,18,3,0.02857142857142857,87
moead_media,DTLZ7,105,96,95,33,0.3142857142857143,9
moead_media,MMF1,50,50,50,1,0.02,0
moead_media,MMF11_L,50,50,50,18,0.36,0
moead_media,MMF16_20,105,104,103,65,0.6190476190476191,1
moead_media,MMF4,50,50,50,13,0.26,0
moead_media,WFG1,50,50,50,18,0.36,0
moead_media,WFG2,50,50,50,2,0.04,0
moead_media,WFG4,50,50,50,15,0.3,0
moead_media,WFG5,50,50,50,15,0.3,0
moead_media,WFG9,50,50,50,1,0.02,0
moead_media,ZDT1,50,50,50,23,0.46,0
moead_media,ZDT3,50,50,50,15,0.3,0
moead_media,ZDT4,50,50,50,17,0.34,0
moead_media,ZDT6,50,3,3,18,0.36,47
moead_media,swap_medium-lhs_DTLZ2,105,1,1,105,1.0,104
moead_media,swap_medium-lhs_MMF16_20,105,105,105,38,0.3619047619047619,0
moead_media,swap_medium-lhs_WFG9,50,50,50,1,0.02,0
moead_media,swap_medium-lhs_ZDT1,50,50,50,18,0.36,0
moead_media,swap_medium-lhs_ZDT4,50,6,6,10,0.2,44
moead_media,swap_medium-mvns_DTLZ2,105,10,9,4,0.0380952380952381,95
moead_media,swap_medium-mvns_MMF16_20,105,97,94,6,0.05714285714285714,8
moead_media,swap_medium-mvns_WFG9,50,1,1,50,1.0,49
moead_media,swap_medium-mvns_ZDT1,50,50,50,22,0.44,0
moead_media,swap_medium-mvns_ZDT4,50,2,2,50,1.0,48
moead_media,swap_small-lhs_DTLZ2,105,9,9,99,0.9428571428571428,96
moead_media,swap_small-lhs_MMF16_20,105,104,103,65,0.6190476190476191,1
moead_media,swap_small-lhs_WFG9,50,50,50,1,0.02,0
moead_media,swap_small-lhs_ZDT1,50,50,50,23,0.46,0
moead_media,swap_small-lhs_ZDT4,50,50,50,17,0.34,0
moead_media,swap_small-mvns_DTLZ2,105,24,15,102,0.9714285714285714,81
moead_media,swap_small-mvns_MMF16_20,105,105,105,52,0.49523809523809526,0
moead_media,swap_small-mvns_WFG9,50,50,50,11,0.22,0
moead_media,swap_small-mvns_ZDT1,50,50,50,20,0.4,0
moead_media,swap_small-mvns_ZDT4,50,50,50,1,0.02,0
b5m,BBOB_F1,50,50,50,27,0.54,0
b5m,BBOB_F17,50,25,25,7,0.14,25
b5m,BBOB_F22,50,48,48,22,0.44,2
b5m,BBOB_F37,50,50,50,9,0.18,0
b5m,BBOB_F49,50,28,28,15,0.3,22
b5m,BBOB_F5,50,49,49,21,0.42,1
b5m,BBOB_F55,50,42,42,9,0.18,8
b5m,DTLZ1,105,51,51,4,0.0380952380952381,54
b5m,DTLZ2,105,104,104,83,0.7904761904761904,1
b5m,DTLZ3,105,105,105,26,0.24761904761904763,0
b5m,DTLZ4,105,58,58,12,0.11428571428571428,47
b5m,DTLZ7,105,97,97,28,0.26666666666666666,8
b5m,MMF1,50,41,41,19,0.38,9
b5m,MMF11_L,50,50,50,32,0.64,0
b5m,MMF16_20,105,105,104,45,0.42857142857142855,0
b5m,MMF4,50,49,49,32,0.64,1
b5m,WFG1,50,50,50,24,0.48,0
b5m,WFG2,50,46,46,14,0.28,4
b5m,WFG4,50,50,50,21,0.42,0
b5m,WFG5,50,50,50,21,0.42,0
b5m,WFG9,50,46,46,19,0.38,4
b5m,ZDT1,50,50,50,13,0.26,0
b5m,ZDT3,50,49,49,12,0.24,1
b5m,ZDT4,50,26,26,13,0.26,24
b5m,ZDT6,50,48,48,12,0.24,2
b5m,swap_medium-lhs_DTLZ2,105,105,105,66,0.6285714285714286,0
b5m,swap_medium-lhs_MMF16_20,105,51,44,40,0.38095238095238093,54
b5m,swap_medium-lhs_WFG9,50,48,48,20,0.4,2
b5m,swap_medium-lhs_ZDT1,50,46,46,22,0.44,4
b5m,swap_medium-lhs_ZDT4,50,19,19,2,0.04,31
b5m,swap_medium-mvns_DTLZ2,105,105,105,34,0.3238095238095238,0
b5m,swap_medium-mvns_MMF16_20,105,64,60,19,0.18095238095238095,41
b5m,swap_medium-mvns_WFG9,50,44,44,21,0.42,6
b5m,swap_medium-mvns_ZDT1,50,49,49,27,0.54,1
b5m,swap_medium-mvns_ZDT4,50,1,1,50,1.0,49
b5m,swap_small-lhs_DTLZ2,105,104,104,83,0.7904761904761904,1
