label,problema,tier,dist,ds_path,ds_existe,u2_dX,u2_dF,u2_n,u5_n,u5_dX
BBOB_F1,BBOB_F1,,,ds_BBOB_F1_42.parquet,True,0.0,0.0,309,20000,0.0
BBOB_F17,BBOB_F17,,,ds_BBOB_F17_42.parquet,True,0.0,0.0,309,20000,0.0
BBOB_F22,BBOB_F22,,,ds_BBOB_F22_42.parquet,True,0.0,0.0,309,20000,0.0
BBOB_F37,BBOB_F37,,,ds_BBOB_F37_42.parquet,True,0.0,0.0,309,20000,0.0
BBOB_F49,BBOB_F49,,,ds_BBOB_F49_42.parquet,True,0.0,0.0,309,20000,0.0
BBOB_F5,BBOB_F5,,,ds_BBOB_F5_42.parquet,True,0.0,0.0,309,20000,0.0
BBOB_F55,BBOB_F55,,,ds_BBOB_F55_42.parquet,True,0.0,0.0,309,20000,0.0
DTLZ1,DTLZ1,,,ds_DTLZ1_42.parquet,True,0.0,0.0,216,20000,0.0
DTLZ2,DTLZ2,,,ds_DTLZ2_42.parquet,True,0.0,0.0,371,20000,0.0
DTLZ3,DTLZ3,,,ds_DTLZ3_42.parquet,True,0.0,0.0,371,20000,0.0
DTLZ4,DTLZ4,,,ds_DTLZ4_42.parquet,True,0.0,0.0,371,20000,0.0
DTLZ7,DTLZ7,,,ds_DTLZ7_42.parquet,True,0.0,0.0,681,20000,0.0
MMF1,MMF1,,,ds_MMF1_42.parquet,True,0.0,0.0,61,20000,0.0
MMF11_L,MMF11_L,,,ds_MMF11_L_42.parquet,True,0.0,0.0,61,20000,0.0
MMF16_20,MMF16_20,,,ds_MMF16_20_42.parquet,True,0.0,0.0,619,20000,0.0
MMF4,MMF4,,,ds_MMF4_42.parquet,True,0.0,0.0,61,20000,0.0
WFG1,WFG1,,,ds_WFG1_42.parquet,True,0.0,0.0,681,20000,0.0
WFG2,WFG2,,,ds_WFG2_42.parquet,True,0.0,0.0,681,20000,0.0
WFG4,WFG4,,,ds_WFG4_42.parquet,True,0.0,0.0,681,20000,0.0
WFG5,WFG5,,,ds_WFG5_42.parquet,True,0.0,0.0,681,20000,0.0
WFG9,WFG9,,,ds_WFG9_42.parquet,True,0.0,0.0,681,20000,0.0
ZDT1,ZDT1,,,ds_ZDT1_42.parquet,True,0.0,0.0,929,20000,0.0
ZDT3,ZDT3,,,ds_ZDT3_42.parquet,True,0.0,0.0,929,20000,0.0
ZDT4,ZDT4,,,ds_ZDT4_42.parquet,True,0.0,0.0,309,20000,0.0
ZDT6,ZDT6,,,ds_ZDT6_42.parquet,True,0.0,0.0,309,20000,0.0
swap_medium-lhs_DTLZ2,DTLZ2,medium,lhs,ds_DTLZ2_42_medium_lhs.parquet,True,0.0,0.0,2000,20000,0.0
swap_medium-lhs_MMF16_20,MMF16_20,medium,lhs,ds_MMF16_20_42_medium_lhs.parquet,True,0.0,0.0,2000,20000,0.0
swap_medium-lhs_WFG9,WFG9,medium,lhs,ds_WFG9_42_medium_lhs.parquet,True,0.0,0.0,2000,20000,0.0
swap_medium-lhs_ZDT1,ZDT1,medium,lhs,ds_ZDT1_42_medium_lhs.parquet,True,0.0,0.0,2000,20000,0.0
swap_medium-lhs_ZDT4,ZDT4,medium,lhs,ds_ZDT4_42_medium_lhs.parquet,True,0.0,0.0,2000,20000,0.0
swap_medium-mvns_DTLZ2,DTLZ2,medium,mvns,ds_DTLZ2_42_medium_mvns.parquet,True,0.0,0.0,2000,20000,0.0
swap_medium-mvns_MMF16_20,MMF16_20,medium,mvns,ds_MMF16_20_42_medium_mvns.parquet,True,0.0,0.0,2000,20000,0.0
swap_medium-mvns_WFG9,WFG9,medium,mvns,ds_WFG9_42_medium_mvns.parquet,True,0.0,0.0,2000,20000,0.0
swap_medium-mvns_ZDT1,ZDT1,medium,mvns,ds_ZDT1_42_medium_mvns.parquet,True,0.0,0.0,2000,20000,0.0
swap_medium-mvns_ZDT4,ZDT4,medium,mvns,ds_ZDT4_42_medium_mvns.parquet,True,0.0,0.0,2000,20000,0.0
swap_small-lhs_DTLZ2,DTLZ2,small,lhs,ds_DTLZ2_42.parquet,True,0.0,0.0,371,20000,0.0
swap_small-lhs_MMF16_20,MMF16_20,small,lhs,ds_MMF16_20_42.parquet,True,0.0,0.0,619,20000,0.0
swap_small-lhs_WFG9,WFG9,small,lhs,ds_WFG9_42.parquet,True,0.0,0.0,681,20000,0.0
swap_small-lhs_ZDT1,ZDT1,small,lhs,ds_ZDT1_42.parquet,True,0.0,0.0,929,20000,0.0
swap_small-lhs_ZDT4,ZDT4,small,lhs,ds_ZDT4_42.parquet,True,0.0,0.0,309,20000,0.0
swap_small-mvns_DTLZ2,DTLZ2,small,mvns,ds_DTLZ2_42_small_mvns.parquet,True,0.0,0.0,371,20000,0.0
swap_small-mvns_MMF16_20,MMF16_20,small,mvns,ds_MMF16_20_42_small_mvns.parquet,True,0.0,0.0,619,20000,0.0
swap_small-mvns_WFG9,WFG9,small,mvns,ds_WFG9_42_small_mvns.parquet,True,0.0,0.0,681,20000,0.0
swap_small-mvns_ZDT1,ZDT1,small,mvns,ds_ZDT1_42_small_mvns.parquet,True,0.0,0.0,929,20000,0.0
swap_small-mvns_ZDT4,ZDT4,small,mvns,ds_ZDT4_42_small_mvns.parquet,True,0.0,0.0,309,20000,0.0
