label,problema,schema_version,tem_params,tem_campanha_id,repo_hash,status,motivo_parada,n_geracoes,maxfe,fe_final,cache_hits,n_retries,fallback,stack_trace,env_exec,t_total,t_fit,t_busca,t_sonda,tempo_aval_real_s,n_fit_series,n_sigma_dict,tem_granularidade3,sonda_S,sonda_nblocos,cp_x_hash,doe_hash,doe_eq_cp,tier,dist,n1,n1_init_frac,fe_index_denso,sid_denso,n1_eq_maxfe,D,M,n2,n4,t4_n_acumulado,t4_inv_delta,t4_sonda_pos,n3,n3_offline,n3_sonda,n3_regimes,sigma_nan_frac,mu_nan_frac,fe_treino_max_uniq,fe_treino_max_val,fe_treino_max_eq_n1m1,rsid_null_frac,sonda_geracao_nan,pred_tipo_uniq,pred_classe_null,espaco_modelo_uniq,transf_null,modelo_flag_uniq,pop_uniq,pop_N,n_ger3,ger_densa,n3off_eq_NxG,aval_selecao,aval_total,lhs_g1_medio,lhs_g1_min,lhs_gfinal_medio,lhs_gfinal_min,g1_dentro_bounds,gfinal_dentro_bounds,n7,nd_recomputo_ok,n_nd,razao_fantasia,origem_linha_densa,origem_geracao_uniq,origem_geracao_val,origem_sid_null,link7_dX,n7_eq_popN,j_decision,j_header,j_sonda,j_footer,j_guard,j_malformada,j_recs,dec_keys,n_ds_membros_max,caminho,p_wrong_no_6,fe_dec_uniq,fe_dec_val,dec_eq_nger,footer_status
BBOB_F1,BBOB_F1,1,False,False,,ok,orcamento,801,309,309,0,0,False,,env_b5,38.0442,0.5015,33.9984,0.6046,0.0,1,20,False,20000,1,c5d1ee9e3632a136fbc764a95a0e66515db9cc5983de45ca06568b41cda8ee5c,c5d1ee9e3632a136fbc764a95a0e66515db9cc5983de45ca06568b41cda8ee5c,True,,,309,1.0,True,True,True,10,3,0,1,309,0.0,True,60050,40050,20000,offline|sonda,1.0,0.0,1,308,True,1.0,1.0,valor,1.0,cru,1.0,moead_media/MOEAD-PBI+GPR-media,1,50,801,True,True,40000,40050,0.9620000000000001,0.92,0.14600000000000002,0.08,0.96,1.0,50,True,29,0.58,True,1,801,1.0,0.0,True,801,1,1,2,0,0,decision|footer|header|sonda,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,0,moead_media_gen,0,1,309,True,ok|ok
BBOB_F17,BBOB_F17,1,False,False,,ok,orcamento,801,309,309,0,0,False,,env_b5,40.1838,0.6486,36.1634,0.6112,0.0,1,20,False,20000,1,118801c8e0992bab7dd7bc4a26ac90530a0f676577ef7027deaef0fc4f55598c,118801c8e0992bab7dd7bc4a26ac90530a0f676577ef7027deaef0fc4f55598c,True,,,309,1.0,True,True,True,10,3,0,1,309,0.0,True,60050,40050,20000,offline|sonda,1.0,0.0,1,308,True,1.0,1.0,valor,1.0,cru,1.0,moead_media/MOEAD-PBI+GPR-media,1,50,801,True,True,40000,40050,0.968,0.94,0.019999999999999997,0.02,0.96,1.0,50,True,50,1.0,True,1,801,1.0,0.0,True,801,1,1,2,0,0,decision|footer|header|sonda,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,0,moead_media_gen,0,1,309,True,ok|ok
BBOB_F22,BBOB_F22,1,False,False,,ok,orcamento,801,309,309,0,0,False,,env_b5,37.3012,0.6354,33.6456,0.6046,0.0,1,20,False,20000,1,0b4475f70d78936a8cb286b157ec9a89933c1665a29f2f77c73fb3bee4cac52b,0b4475f70d78936a8cb286b157ec9a89933c1665a29f2f77c73fb3bee4cac52b,True,,,309,1.0,True,True,True,10,3,0,1,309,0.0,True,60050,40050,20000,offline|sonda,1.0,0.0,1,308,True,1.0,1.0,valor,1.0,cru,1.0,moead_media/MOEAD-PBI+GPR-media,1,50,801,True,True,40000,40050,0.962,0.92,0.05600000000000001,0.02,0.96,1.0,50,True,17,0.34,True,1,801,1.0,0.0,True,801,1,1,2,0,0,decision|footer|header|sonda,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,0,moead_media_gen,0,1,309,True,ok|ok
BBOB_F37,BBOB_F37,1,False,False,,ok,orcamento,801,309,309,0,0,False,,env_b5,37.7362,0.5201,34.6357,0.5968,0.0,1,20,False,20000,1,78d44f9fd856d02487d52202bbd05ab7e780ee160fbfccea4b77e2f3ed076eca,78d44f9fd856d02487d52202bbd05ab7e780ee160fbfccea4b77e2f3ed076eca,True,,,309,1.0,True,True,True,10,3,0,1,309,0.0,True,60050,40050,20000,offline|sonda,1.0,0.0,1,308,True,1.0,1.0,valor,1.0,cru,1.0,moead_media/MOEAD-PBI+GPR-media,1,50,801,True,True,40000,40050,0.9540000000000001,0.9,0.194,0.12,0.96,0.68,50,True,3,0.06,True,1,801,1.0,0.0,True,801,1,1,2,0,0,decision|footer|header|sonda,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,0,moead_media_gen,0,1,309,True,ok|ok
BBOB_F49,BBOB_F49,1,False,False,,ok,orcamento,801,309,309,0,0,False,,env_b5,37.3261,0.5533,34.0355,0.6035,0.0,1,20,False,20000,1,4c282ef0de8cdf39acfcdc2b88447b49db95ee2666ec4d6ce5a87cb37e7d96bd,4c282ef0de8cdf39acfcdc2b88447b49db95ee2666ec4d6ce5a87cb37e7d96bd,True,,,309,1.0,True,True,True,10,3,0,1,309,3.814697265625e-06,True,60050,40050,20000,offline|sonda,1.0,0.0,1,308,True,1.0,1.0,valor,1.0,cru,1.0,moead_media/MOEAD-PBI+GPR-media,1,50,801,True,True,40000,40050,0.966,0.92,0.21400000000000002,0.06,0.96,0.08,50,True,4,0.08,True,1,801,1.0,0.0,True,801,1,1,2,0,0,decision|footer|header|sonda,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,0,moead_media_gen,0,1,309,True,ok|ok
BBOB_F5,BBOB_F5,1,False,False,,ok,orcamento,801,309,309,0,0,False,,env_b5,37.2584,0.5723,33.6953,0.5987,0.0,1,20,False,20000,1,33ef83f624ce5393395ba2eb1ea8562911ce6a609c8231f395c42166cc7ba58b,33ef83f624ce5393395ba2eb1ea8562911ce6a609c8231f395c42166cc7ba58b,True,,,309,1.0,True,True,True,10,3,0,1,309,0.0,True,60050,40050,20000,offline|sonda,1.0,0.0,1,308,True,1.0,1.0,valor,1.0,cru,1.0,moead_media/MOEAD-PBI+GPR-media,1,50,801,True,True,40000,40050,0.9720000000000001,0.92,0.12200000000000003,0.06,0.94,1.0,50,True,28,0.56,True,1,801,1.0,0.0,True,801,1,1,2,0,0,decision|footer|header|sonda,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,0,moead_media_gen,0,1,309,True,ok|ok
BBOB_F55,BBOB_F55,1,False,False,,ok,orcamento,801,309,309,0,0,False,,env_b5,37.2644,0.6015,33.9011,0.5997,0.0,1,20,False,20000,1,56dca61b277d6c73ae1334694d7fc6223036f3df64b3d80357010f746fc979d2,56dca61b277d6c73ae1334694d7fc6223036f3df64b3d80357010f746fc979d2,True,,,309,1.0,True,True,True,10,3,0,1,309,0.0,True,60050,40050,20000,offline|sonda,1.0,0.0,1,308,True,1.0,1.0,valor,1.0,cru,1.0,moead_media/MOEAD-PBI+GPR-media,1,50,801,True,True,40000,40050,0.9720000000000001,0.92,0.10800000000000001,0.04,0.96,0.0,50,True,4,0.08,True,1,801,1.0,0.0,True,801,1,1,2,0,0,decision|footer|header|sonda,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,0,moead_media_gen,0,1,309,True,ok|ok
DTLZ1,DTLZ1,1,False,False,,ok,orcamento,381,216,216,0,0,False,,env_b5,40.9151,0.2495,36.5042,0.4819,0.0,1,20,False,20000,1,a5c89886de9b55b78a7caedb4e3fbb26ea3c9783076a315af4cdbf467edf3f08,a5c89886de9b55b78a7caedb4e3fbb26ea3c9783076a315af4cdbf467edf3f08,True,,,216,1.0,True,True,True,7,4,0,1,216,0.0,True,60005,40005,20000,offline|sonda,1.0,0.0,1,215,True,1.0,1.0,valor,1.0,cru,1.0,moead_media/MOEAD-PBI+GPR-media,1,105,381,True,True,39900,40005,0.889795918367347,0.8571428571428571,0.017687074829931974,0.009523809523809525,0.9619047619047619,1.0,105,True,94,0.8952380952380953,True,1,381,1.0,0.0,True,381,1,1,2,0,0,decision|footer|header|sonda,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,0,moead_media_gen,0,1,216,True,ok|ok
DTLZ2,DTLZ2,1,False,False,,ok,orcamento,381,371,371,0,0,False,,env_b5,49.1622,4.404,39.8119,1.1617,0.0,1,20,False,20000,1,77b3ca1a9021b378f86d034ac80784954bed2938c4e61b6ce36e3998171f94f4,77b3ca1a9021b378f86d034ac80784954bed2938c4e61b6ce36e3998171f94f4,True,,,371,1.0,True,True,True,12,4,0,1,371,3.814697265625e-06,True,60005,40005,20000,offline|sonda,1.0,0.0,1,370,True,1.0,1.0,valor,1.0,cru,1.0,moead_media/MOEAD-PBI+GPR-media,1,105,381,True,True,39900,40005,0.9452380952380953,0.8857142857142857,0.022222222222222227,0.009523809523809525,0.9714285714285714,0.009523809523809525,105,True,99,0.9428571428571428,True,1,381,1.0,0.0,True,381,1,1,2,0,0,decision|footer|header|sonda,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,0,moead_media_gen,0,1,371,True,ok|ok
DTLZ3,DTLZ3,1,False,False,,ok,orcamento,381,371,371,0,0,False,,env_b5,45.2814,0.8151,39.3291,1.1771,0.0,1,20,False,20000,1,80e82645869c393d96965bc87eb6427dc0170a913d1333389f893e3bf3bc51d4,80e82645869c393d96965bc87eb6427dc0170a913d1333389f893e3bf3bc51d4,True,,,371,1.0,True,True,True,12,4,0,1,371,0.0,True,60005,40005,20000,offline|sonda,1.0,0.0,1,370,True,1.0,1.0,valor,1.0,cru,1.0,moead_media/MOEAD-PBI+GPR-media,1,105,381,True,True,39900,40005,0.9317460317460319,0.8571428571428571,0.019047619047619046,0.01904761904761905,0.9714285714285714,0.009523809523809525,105,True,104,0.9904761904761905,True,1,381,1.0,0.0,True,381,1,1,2,0,0,decision|footer|header|sonda,caminho|f_best|fe|geracao|motivo|n_ds_membros|n_front1|rec|tempo_fit_s|ts,0,moead_media_gen,0,1,371,True,ok|ok
