problema,D,M,maxfe_formula,maxfe_manifesto,fe_final,n1_linhas,U1_orcamento_ok,U1_fe_index_denso,U1_solution_id_denso,n_init,U1_init_prefixo,U2_doe_bitaBit_f32,U2_doe_dmax_f64,U2_doehash_igual,n_decision,JOIA_lotes_ok,JOIA_dmax_f64,seeds_ok,seeds_distintos,seed_g1,S6_pontos_distintos,S6_bounds_ok,KS_rejeicoes,KS_pmin,KS_media,KS_var,ORACULO_rel_mediana,ORACULO_rel_max,ORACULO_frac_le_1e6,q_manifesto,q_header,q_eventos_ok,ger_fe_ok,n_geracoes,POP_n_grupos,POP_gmin,POP_gmax,POP_tam_ok,POP_linhas,SURR_linhas,SURR_colunas,SONDA_status,SONDA_recs,TIM_linhas,TIM_fit_null,TIM_inv1_ok,TIM_soma_ger,TIM_soma_busca,TIM_proxy_aval,GUARD_eventos,CACHE_manifesto,N_footers,CACHE_footer,DEDUP_x_unicos,motivo_parada,status,T11_params_no_5,T11_campanha_id,T11_repo_hash,T11_schema_version,T11_n_front1_eventos,T11_tempo_aval_real_s,timing_total_s,timing_busca_s,T11_checkpoint_recs,EV_chaves,JSONL_linhas,sigma_dict_chaves
DTLZ2,12,3,2131,2131,2131,2131,True,True,True,131,True,True,2.976508484131557e-08,True,200,200,2.9802322387695312e-08,200,200,933708677,2000,True,0,0.8219483129603272,0.5002478433107802,0.08347335859501279,3.241980703419006e-08,5.7977370652051544e-06,0.9870170498983263,10,10,200,200,200,201,0,200,201,227331,0,33,nao_se_aplica,0,200,200,200,0.30074477195739746,0.16044259071350098,0.14030218124389648,0,0,2,0,2131,orcamento,ok,False,False,True,1,0,0.0,3.2655,0.1604,0,"caminho,f_best,fe,geracao,motivo,q,rec,seed_sobol,ts",203,"lote,modelo,modelo_hp,mu_*,regime,sigma_*,sonda"
MMF16_20,20,3,2219,2219,2219,2219,True,True,True,219,True,True,2.9796276557192414e-08,True,200,200,2.9802322387695312e-08,200,200,933708677,2000,True,0,0.7129710135384715,0.5004928084769054,0.08318970213052426,3.73193442916571e-08,3.672370320241669e-05,0.9840769115217065,10,10,200,200,200,201,0,200,201,245019,0,41,nao_se_aplica,0,200,200,200,0.3580930233001709,0.20643854141235352,0.15165448188781738,0,0,2,0,2219,orcamento,ok,False,False,True,1,0,0.0,3.3378,0.2064,0,"caminho,f_best,fe,geracao,motivo,q,rec,seed_sobol,ts",203,"lote,modelo,modelo_hp,mu_*,regime,sigma_*,sonda"
WFG9,22,2,2241,2241,2241,2241,True,True,True,241,True,True,1.9070339618565413e-06,True,200,200,1.9073486328125e-06,200,200,933708677,2000,True,0,0.6159335975299576,0.500011562393964,0.08328790229476236,4.08064986079065e-08,4.09118834179956e-05,0.9950914770191879,10,10,200,200,200,201,0,200,201,249441,0,41,nao_se_aplica,0,200,200,200,3.4093940258026123,0.24393773078918457,3.1654562950134277,0,0,2,0,2241,orcamento,ok,False,False,True,1,0,0.0,6.8203,0.2439,0,"caminho,f_best,fe,geracao,motivo,q,rec,seed_sobol,ts",203,"lote,modelo,modelo_hp,mu_*,regime,sigma_*,sonda"
ZDT1,30,2,2329,2329,2329,2329,True,True,True,329,True,True,2.978190016822424e-08,True,200,200,2.9802322387695312e-08,200,200,933708677,2000,True,0,0.6734385717198926,0.5003346955582966,0.08333165518242097,8.168159934871969e-12,6.459798788128493e-08,1.0,10,10,200,200,200,201,0,200,201,267129,0,49,nao_se_aplica,0,200,200,200,0.3859548568725586,0.26798391342163086,0.11797094345092773,0,0,2,0,2329,orcamento,ok,False,False,True,1,0,0.0,3.3356,0.268,0,"caminho,f_best,fe,geracao,motivo,q,rec,seed_sobol,ts",203,"lote,modelo,modelo_hp,mu_*,regime,sigma_*,sonda"
ZDT4,10,2,2109,2109,2109,2109,True,True,True,109,True,True,2.374759207057764e-07,True,200,200,2.384185791015625e-07,200,200,933708677,2000,True,0,0.8108559519304759,0.5009915637816396,0.0834058677772366,1.2708279192609015e-12,5.238102458693566e-07,1.0,10,10,200,200,200,201,0,200,201,222909,0,29,nao_se_aplica,0,200,200,200,0.2549560070037842,0.1414790153503418,0.11347699165344238,0,0,2,0,2109,orcamento,ok,False,False,True,1,0,0.0,3.1561,0.1415,0,"caminho,f_best,fe,geracao,motivo,q,rec,seed_sobol,ts",203,"lote,modelo,modelo_hp,mu_*,regime,sigma_*,sonda"
